BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
11, 0.0000938810, 0.0000000025, 18, 0.12, 3.82, 0.0000938810, 0.0000000025, 47, 0.0000864326, 0.0000000301, 326, 1.00, 0.92
12, 0.0000716663, 0.0000000005, 14, 0.08, 3.78, 0.0000716663, 0.0000000005, 68, 0.0000626623, 0.0000000016, 170, 1.00, 0.87
13, 0.0000022827, 0.0000000020, 12, 0.04, 1.70, 0.0000022827, 0.0000000020, 45, 0.0000022827, 0.0000000020, 45, 1.00, 1.00
TOP: 200
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-200 time(s), Meta-200 std(s), trials-200, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-200, speedup-10k
0, 0.0000327020, 0.0000011447, 22, 0.21, 7.62, 0.0000327020, 0.0000011447, 111, 0.0000261827, 0.0000000231, 621, 1.00, 0.80
1, 0.0000022393, 0.0000000004, 7, 0.03, 0.89, 0.0000022393, 0.0000000004, 23, 0.0000022393, 0.0000000004, 23, 1.00, 1.00
2, 0.0000580278, 0.0000005422, 17, 0.34, 7.75, 0.0000580278, 0.0000005422, 150, 0.0000532323, 0.0000000782, 1245, 1.00, 0.92
3, 0.0000022373, 0.0000000006, 6, 0.03, 1.10, 0.0000022373, 0.0000000006, 29, 0.0000022373, 0.0000000006, 29, 1.00, 1.00
4, 0.0000240640, 0.0000004180, 62, 0.46, 7.87, 0.0000317149, 0.0000000132, 167, 0.0000241029, 0.0000000107, 645, 1.32, 1.00
5, 0.0000467113, 0.0000000208, 28, 0.16, 7.57, 0.0000467113, 0.0000000208, 183, 0.0000371399, 0.0000000026, 857, 1.00, 0.80
6, 0.0000197968, 0.0000004827, 87, 0.57, 7.99, 0.0000305879, 0.0000000034, 148, 0.0000221686, 0.0000000314, 206, 1.55, 1.12
7, 0.0000022376, 0.0000000007, 6, 0.03, 2.06, 0.0000022376, 0.0000000007, 55, 0.0000022376, 0.0000000007, 55, 1.00, 1.00
8, 0.0000044096, 0.0000000056, 7, 0.03, 2.40, 0.0000044096, 0.0000000056, 64, 0.0000044096, 0.0000000056, 64, 1.00, 1.00
