BENCH: resnet50
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
34, 0.00080180, 0.00001220, 100, 0.35, 0.00083860, 0.00000043, 962, 0.00083860, 0.00000043, 962, 1.05, 1.05
35, 0.00000742, 0.00000001, 10, 0.02, 0.00000742, 0.00000001, 2, 0.00000742, 0.00000001, 2, 1.00, 1.00
36, 0.00034723, 0.00000107, 65, 0.33, 0.00036678, 0.00000013, 651, 0.00036678, 0.00000013, 651, 1.06, 1.06
37, 0.00000701, 0.00000000, 9, 0.04, 0.00000701, 0.00000000, 1, 0.00000701, 0.00000000, 1, 1.00, 1.00
38, 0.00078887, 0.00001187, 100, 0.28, 0.00081873, 0.00000043, 207, 0.00081873, 0.00000043, 207, 1.04, 1.04
39, 0.00089861, 0.00001063, 76, 0.43, 0.00092640, 0.00000053, 258, 0.00092640, 0.00000053, 258, 1.03, 1.03
40, 0.00000461, 0.00000000, 10, 0.03, 0.00000461, 0.00000000, 1, 0.00000461, 0.00000000, 1, 1.00, 1.00
41, 0.00037906, 0.00000688, 69, 0.14, 0.00040071, 0.00000053, 193, 0.00040071, 0.00000053, 193, 1.06, 1.06
42, 0.00000567, 0.00000000, 11, 0.02, 0.00000567, 0.00000000, 1, 0.00000567, 0.00000000, 1, 1.00, 1.00
43, 0.00075908, 0.00000320, 75, 0.23, 0.00079612, 0.00000307, 449, 0.00079612, 0.00000307, 449, 1.05, 1.05
44, 0.00000259, 0.00000006, 19, 0.06, 0.00000360, 0.00000001, 1, 0.00000360, 0.00000001, 1, 1.39, 1.39
45, 0.00034674, 0.00000208, 73, 0.17, 0.00036525, 0.00000016, 328, 0.00036525, 0.00000016, 328, 1.05, 1.05
46, 0.00000427, 0.00000001, 40, 0.05, 0.00000427, 0.00000001, 7, 0.00000427, 0.00000001, 7, 1.00, 1.00
47, 0.00000037, 0.00000002, 17, 0.06, 0.00001417, 0.00001080, 1, 0.00001417, 0.00001080, 1, 38.25, 38.25
48, 0.00002169, 0.00000004, 1, 0.06, 0.00002169, 0.00000004, 18, 0.00002169, 0.00000004, 18, 1.00, 1.00
49, 0.00000765, 0.00000000, 33, 0.05, 0.00000765, 0.00000000, 38, 0.00000765, 0.00000000, 38, 1.00, 1.00
BENCH: mobilenet_v2
TOP: 1
TOP: 10
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000678, 0.00000003, 10, 0.02, 0.00000678, 0.00000003, 1, 0.00000678, 0.00000003, 1, 1.00, 1.00
1, 0.00017946, 0.00000078, 95, 0.78, 0.00017982, 0.00000098, 6, 0.00009160, 0.00000002, 339, 1.00, 0.51
2, 0.00006121, 0.00000041, 100, 0.53, 0.00010833, 0.00000012, 3, 0.00004191, 0.00000001, 189, 1.77, 0.68
3, 0.00008380, 0.00000005, 82, 0.37, 0.00016486, 0.00000031, 2, 0.00006616, 0.00000004, 200, 1.97, 0.79
4, 0.00052300, 0.00000064, 33, 0.11, 0.00052300, 0.00000064, 9, 0.00016961, 0.00000027, 427, 1.00, 0.32
5, 0.00012773, 0.00000036, 100, 0.36, 0.00016938, 0.00000007, 6, 0.00004140, 0.00000012, 147, 1.33, 0.32
6, 0.00011120, 0.00000089, 99, 0.43, 0.00012871, 0.00000014, 2, 0.00006173, 0.00000002, 143, 1.16, 0.56
7, 0.00012164, 0.00000099, 77, 0.30, 0.00012994, 0.00000013, 4, 0.00004319, 0.00000011, 139, 1.07, 0.36
8, 0.00016401, 0.00000170, 93, 0.67, 0.00020131, 0.00000037, 2, 0.00009109, 0.00000003, 308, 1.23, 0.56
9, 0.00012042, 0.00000249, 71, 0.16, 0.00022802, 0.00000073, 7, 0.00008255, 0.00000016, 586, 1.89, 0.69
10, 0.00003408, 0.00000002, 40, 0.09, 0.00003408, 0.00000002, 5, 0.00002076, 0.00000002, 125, 1.00, 0.61
11, 0.00004444, 0.00000066, 100, 0.32, 0.00005121, 0.00000004, 10, 0.00003359, 0.00000009, 130, 1.15, 0.76
12, 0.00004194, 0.00000158, 28, 0.15, 0.00004194, 0.00000158, 6, 0.00001721, 0.00000001, 94, 1.00, 0.41
