BENCH: shufflenet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
21, 0.0000207420, 0.0000012335, 11, 0.15, 0.20, 0.0000250106, 0.0000063261, 2, 0.0000250106, 0.0000063261, 2, 1.21, 1.21
22, 0.0004420975, 0.0000007113, 99, 1.44, 2.61, 0.0004445119, 0.0000003716, 47, 0.0001521034, 0.0000397452, 184, 1.01, 0.34
23, 0.0000144387, 0.0000008635, 11, 0.13, 0.18, 0.0000271611, 0.0000001047, 2, 0.0000271611, 0.0000001047, 2, 1.88, 1.88
24, 0.0006536413, 0.0000070320, 93, 1.99, 3.16, 0.0009870758, 0.0000009582, 17, 0.0003273761, 0.0000005579, 503, 1.51, 0.50
25, 0.0000139783, 0.0000004267, 11, 0.13, 0.18, 0.0000142131, 0.0000000122, 2, 0.0000142131, 0.0000000122, 2, 1.02, 1.02
26, 0.0001990837, 0.0000003967, 99, 1.73, 2.90, 0.0003530699, 0.0000016167, 46, 0.0001181779, 0.0000001775, 130, 1.77, 0.59
27, 0.0000189373, 0.0000000331, 11, 0.15, 0.18, 0.0000189373, 0.0000000331, 1, 0.0000189373, 0.0000000331, 1, 1.00, 1.00
28, 0.0006466663, 0.0000005529, 98, 1.76, 2.93, 0.0011000592, 0.0000024177, 7, 0.0003343190, 0.0000007112, 92, 1.70, 0.52
29, 0.0008499565, 0.0000005414, 93, 1.89, 3.06, 0.0019407122, 0.0000002750, 48, 0.0011005366, 0.0000009862, 210, 2.28, 1.29
30, 0.0000126278, 0.0000000653, 11, 0.13, 0.16, 0.0000126278, 0.0000000653, 1, 0.0000126278, 0.0000000653, 1, 1.00, 1.00
31, 0.0000157503, 0.0000005124, 11, 0.14, 0.21, 0.0000289510, 0.0000038514, 3, 0.0000289510, 0.0000038514, 3, 1.84, 1.84
32, 0.0003823372, 0.0000002688, 93, 1.64, 2.81, 0.0004534783, 0.0000026786, 28, 0.0001040667, 0.0000000964, 835, 1.19, 0.27
33, 0.0000128299, 0.0000000443, 11, 0.20, 0.30, 0.0000128299, 0.0000000443, 4, 0.0000128299, 0.0000000443, 4, 1.00, 1.00
34, 0.0012551522, 0.0000061382, 71, 1.79, 2.96, 0.0013386241, 0.0000006673, 37, 0.0002963549, 0.0000005388, 1401, 1.07, 0.24
35, 0.0000120195, 0.0000000333, 11, 0.14, 0.16, 0.0000120195, 0.0000000333, 1, 0.0000120195, 0.0000000333, 1, 1.00, 1.00
36, 0.0001509595, 0.0000011575, 99, 1.59, 2.76, 0.0001529444, 0.0000005324, 13, 0.0001051660, 0.0000000720, 777, 1.01, 0.70
37, 0.0000152733, 0.0000003643, 11, 0.14, 0.19, 0.0000343340, 0.0000053616, 2, 0.0000343340, 0.0000053616, 2, 2.25, 2.25
38, 0.0005448268, 0.0000014640, 100, 1.69, 2.86, 0.0010653792, 0.0000005872, 23, 0.0006344470, 0.0000004222, 197, 1.96, 1.16
39, 0.0008839785, 0.0000006880, 96, 2.66, 3.83, 0.0008874559, 0.0000011145, 27, 0.0005722510, 0.0000005060, 210, 1.00, 0.65
40, 0.0000109888, 0.0000000187, 11, 0.13, 0.16, 0.0000109888, 0.0000000187, 1, 0.0000109888, 0.0000000187, 1, 1.00, 1.00
41, 0.0002976580, 0.0000008111, 100, 1.60, 2.77, 0.0006362109, 0.0000003288, 47, 0.0001710102, 0.0000351377, 182, 2.14, 0.57
42, 0.0000117667, 0.0000007360, 11, 0.13, 0.18, 0.0000120821, 0.0000001921, 2, 0.0000120821, 0.0000001921, 2, 1.03, 1.03
43, 0.0016410410, 0.0000027264, 95, 2.23, 3.40, 0.0023000818, 0.0000014072, 12, 0.0003944122, 0.0000065570, 325, 1.40, 0.24
44, 0.0000092300, 0.0000001806, 11, 0.20, 0.25, 0.0000112032, 0.0000000114, 2, 0.0000112032, 0.0000000114, 2, 1.21, 1.21
45, 0.0001335480, 0.0000004296, 100, 1.79, 2.96, 0.0002924339, 0.0000002413, 33, 0.0001167542, 0.0000003209, 133, 2.19, 0.87
46, 0.0000107301, 0.0000001558, 23, 0.25, 1.24, 0.0000107301, 0.0000001558, 42, 0.0000107301, 0.0000001558, 42, 1.00, 1.00
47, 0.0000014083, 0.0000001611, 11, 0.13, 0.15, 0.0000573958, 0.0000002358, 1, 0.0000573958, 0.0000002358, 1, 40.75, 40.75
48, 0.0000392063, 0.0000000198, 49, 0.82, 1.75, 0.0000392063, 0.0000000198, 40, 0.0000392063, 0.0000000198, 40, 1.00, 1.00
49, 0.0000270850, 0.0000000298, 38, 0.45, 1.39, 0.0000270850, 0.0000000298, 40, 0.0000270850, 0.0000000298, 40, 1.00, 1.00
TOP: 100
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-100 time(s), Meta-100 std(s), trials-100, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-100, speedup-10k
0, 0.0000153155, 0.0000002153, 11, 0.14, 0.21, 0.0000153155, 0.0000002153, 3, 0.0000153155, 0.0000002153, 3, 1.00, 1.00
1, 0.0004587012, 0.0000004900, 97, 2.35, 4.69, 0.0006623526, 0.0002021311, 96, 0.0003707163, 0.0000010520, 142, 1.44, 0.81
2, 0.0003474185, 0.0000005874, 94, 2.07, 4.41, 0.0003608163, 0.0000011192, 78, 0.0002192614, 0.0000016489, 174, 1.04, 0.63
3, 0.0001450932, 0.0000008417, 64, 2.14, 3.92, 0.0001844685, 0.0000000448, 76, 0.0001844685, 0.0000000448, 76, 1.27, 1.27
4, 0.0000159751, 0.0000000129, 11, 0.16, 0.23, 0.0000159751, 0.0000000129, 3, 0.0000159751, 0.0000000129, 3, 1.00, 1.00
5, 0.0001277513, 0.0000007344, 100, 1.64, 3.67, 0.0001591705, 0.0000000525, 87, 0.0001591705, 0.0000000525, 87, 1.25, 1.25
6, 0.0000155135, 0.0000009500, 11, 0.14, 0.18, 0.0000221104, 0.0000105175, 2, 0.0000221104, 0.0000105175, 2, 1.43, 1.43
7, 0.0004865524, 0.0000002239, 15, 1.04, 3.38, 0.0004865524, 0.0000002239, 94, 0.0004336730, 0.0000004883, 174, 1.00, 0.89
