BENCH: googlenet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
19, 0.0002723781, 0.0000001020, 46, 0.86, 6.41, 0.0002723781, 0.0000001020, 298, 0.0002723781, 0.0000001020, 298, 1.00, 1.00
20, 0.0002065360, 0.0000007097, 86, 1.89, 6.71, 0.0002078142, 0.0000003092, 259, 0.0002078142, 0.0000003092, 259, 1.01, 1.01
21, 0.0000224329, 0.0000000424, 11, 0.22, 1.37, 0.0000224329, 0.0000000424, 62, 0.0000224329, 0.0000000424, 62, 1.00, 1.00
22, 0.0000676893, 0.0000004495, 99, 1.44, 4.18, 0.0000704730, 0.0000007961, 147, 0.0000704730, 0.0000007961, 147, 1.04, 1.04
23, 0.0000360554, 0.0000000525, 50, 0.58, 2.07, 0.0000360554, 0.0000000525, 80, 0.0000360554, 0.0000000525, 80, 1.00, 1.00
24, 0.0000411204, 0.0000000134, 13, 0.66, 2.97, 0.0000411204, 0.0000000134, 124, 0.0000411204, 0.0000000134, 124, 1.00, 1.00
25, 0.0002273700, 0.0000005839, 87, 1.48, 6.99, 0.0002475495, 0.0000066715, 296, 0.0002475495, 0.0000066715, 296, 1.09, 1.09
26, 0.0000212335, 0.0000010613, 11, 0.22, 1.15, 0.0000250105, 0.0000057513, 50, 0.0000250105, 0.0000057513, 50, 1.18, 1.18
27, 0.0000544708, 0.0000001196, 99, 1.20, 3.45, 0.0000577861, 0.0000000725, 121, 0.0000577861, 0.0000000725, 121, 1.06, 1.06
28, 0.0000314972, 0.0000034285, 100, 1.20, 1.65, 0.0000337015, 0.0000005161, 24, 0.0000337015, 0.0000005161, 24, 1.07, 1.07
29, 0.0000334216, 0.0000004422, 50, 0.62, 1.12, 0.0000334216, 0.0000004422, 27, 0.0000334216, 0.0000004422, 27, 1.00, 1.00
30, 0.0000557957, 0.0000003432, 100, 1.21, 2.70, 0.0000564597, 0.0000000765, 80, 0.0000564597, 0.0000000765, 80, 1.01, 1.01
31, 0.0001627523, 0.0000004731, 94, 1.42, 4.51, 0.0001638699, 0.0000001600, 166, 0.0001638699, 0.0000001600, 166, 1.01, 1.01
32, 0.0000537325, 0.0000003035, 33, 0.64, 1.60, 0.0000557057, 0.0000000605, 52, 0.0000557057, 0.0000000605, 52, 1.04, 1.04
33, 0.0001068632, 0.0000003994, 99, 1.17, 3.45, 0.0001275653, 0.0000013395, 122, 0.0001275653, 0.0000013395, 122, 1.19, 1.19
34, 0.0000736392, 0.0000000664, 50, 0.60, 2.37, 0.0000736392, 0.0000000664, 95, 0.0000736392, 0.0000000664, 95, 1.00, 1.00
35, 0.0000910113, 0.0000002475, 97, 1.63, 3.69, 0.0000937145, 0.0000000578, 111, 0.0000937145, 0.0000000578, 111, 1.03, 1.03
36, 0.0004287410, 0.0000020322, 99, 2.19, 7.77, 0.0004352393, 0.0000004048, 193, 0.0004344647, 0.0000008404, 324, 1.02, 1.01
37, 0.0000265049, 0.0000000448, 11, 0.16, 0.87, 0.0000265049, 0.0000000448, 38, 0.0000265049, 0.0000000448, 38, 1.00, 1.00
38, 0.0000500392, 0.0000002884, 100, 1.37, 3.47, 0.0000524889, 0.0000000300, 113, 0.0000524889, 0.0000000300, 113, 1.05, 1.05
39, 0.0000383772, 0.0000003652, 99, 1.08, 2.07, 0.0000399092, 0.0000001634, 53, 0.0000399092, 0.0000001634, 53, 1.04, 1.04
40, 0.0000596007, 0.0000004446, 97, 1.43, 1.93, 0.0000614221, 0.0000000611, 27, 0.0000614221, 0.0000000611, 27, 1.03, 1.03
41, 0.0000816613, 0.0000002387, 100, 1.30, 2.55, 0.0000836029, 0.0000000705, 67, 0.0000836029, 0.0000000705, 67, 1.02, 1.02
42, 0.0004756478, 0.0000030852, 50, 0.79, 6.38, 0.0004756478, 0.0000030852, 146, 0.0002143805, 0.0000005657, 442, 1.00, 0.45
43, 0.0001744822, 0.0000006032, 86, 2.47, 8.06, 0.0002156411, 0.0000006786, 274, 0.0002072822, 0.0000002658, 302, 1.24, 1.19
44, 0.0000205372, 0.0000012699, 16, 0.42, 0.71, 0.0000206166, 0.0000000109, 16, 0.0000206166, 0.0000000109, 16, 1.00, 1.00
45, 0.0000150503, 0.0000004236, 11, 0.14, 0.20, 0.0000151590, 0.0000000189, 3, 0.0000151590, 0.0000000189, 3, 1.01, 1.01
46, 0.0000487358, 0.0000006018, 98, 1.24, 2.35, 0.0000574556, 0.0000001693, 60, 0.0000574556, 0.0000001693, 60, 1.18, 1.18
47, 0.0000139144, 0.0000000074, 11, 0.21, 0.24, 0.0000139144, 0.0000000074, 2, 0.0000139144, 0.0000000074, 2, 1.00, 1.00
48, 0.0012192720, 0.0000006949, 91, 2.69, 8.28, 0.0012473265, 0.0000247912, 264, 0.0009692326, 0.0000012629, 671, 1.02, 0.79
49, 0.0000218101, 0.0000000950, 16, 0.28, 0.69, 0.0000218101, 0.0000000950, 22, 0.0000218101, 0.0000000950, 22, 1.00, 1.00
50, 0.0000660560, 0.0000001883, 100, 1.37, 3.16, 0.0000724427, 0.0000000277, 96, 0.0000724427, 0.0000000277, 96, 1.10, 1.10
51, 0.0001897464, 0.0000001247, 50, 0.60, 6.19, 0.0001897464, 0.0000001247, 213, 0.0001879841, 0.0000000813, 340, 1.00, 0.99
52, 0.0000188683, 0.0000000843, 15, 0.34, 1.51, 0.0000188683, 0.0000000843, 63, 0.0000188683, 0.0000000843, 63, 1.00, 1.00
53, 0.0001078132, 0.0000006955, 100, 1.24, 4.74, 0.0001229392, 0.0000000571, 188, 0.0001229392, 0.0000000571, 188, 1.14, 1.14
54, 0.0001198235, 0.0000023109, 99, 1.25, 3.70, 0.0001267504, 0.0000020888, 132, 0.0001267504, 0.0000020888, 132, 1.06, 1.06
55, 0.0001110482, 0.0000004538, 100, 1.28, 5.62, 0.0001121873, 0.0000004047, 233, 0.0001121873, 0.0000004047, 233, 1.01, 1.01
56, 0.0000693993, 0.0000006287, 87, 1.48, 4.91, 0.0000875255, 0.0000003116, 184, 0.0000875255, 0.0000003116, 184, 1.26, 1.26
57, 0.0002442902, 0.0000005205, 99, 1.36, 2.78, 0.0002454014, 0.0000005182, 76, 0.0002454014, 0.0000005182, 76, 1.00, 1.00
58, 0.0000116427, 0.0000000348, 11, 0.15, 0.97, 0.0000116427, 0.0000000348, 44, 0.0000116427, 0.0000000348, 44, 1.00, 1.00
