BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-10 time(s), Meta-10 std(s), trials-10, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-10, speedup-10k
0, 0.0000068830, 0.0000002417, 10, 0.023, 0.047, 0.0000070950, 0.0000003447, 1, 0.0000070950, 0.0000003447, 1, 0.024, 1.03, 1.03
1, 0.0011556380, 0.0000167678, 80, 0.229, 0.473, 0.0015011059, 0.0001195251, 8, 0.0005054778, 0.0000015024, 389, 9.486, 1.30, 0.44
2, 0.0000054541, 0.0000000170, 14, 0.190, 0.263, 0.0000054541, 0.0000000170, 3, 0.0000054541, 0.0000000170, 3, 0.073, 1.00, 1.00
3, 0.0021673367, 0.0000189278, 100, 0.528, 0.772, 0.0036723787, 0.0000041814, 3, 0.0016824018, 0.0000020666, 1494, 36.431, 1.69, 0.78
4, 0.0000087345, 0.0000000081, 18, 0.036, 0.280, 0.0000087345, 0.0000000081, 8, 0.0000047938, 0.0000000082, 13, 0.317, 1.00, 0.55
5, 0.0022513930, 0.0000153211, 100, 0.859, 1.103, 0.0035850413, 0.0000049537, 1, 0.0008110403, 0.0000021019, 642, 15.655, 1.59, 0.36
6, 0.0024644840, 0.0000376301, 83, 0.449, 0.693, 0.0025037881, 0.0000016210, 2, 0.0011727186, 0.0000015651, 1048, 25.555, 1.02, 0.48
7, 0.0019090393, 0.0000253635, 28, 0.177, 0.421, 0.0019964666, 0.0000024558, 4, 0.0007714263, 0.0000011495, 597, 14.558, 1.05, 0.40
8, 0.0000030175, 0.0000000279, 15, 0.036, 0.279, 0.0000037583, 0.0000000108, 9, 0.0000036077, 0.0000000061, 25, 0.610, 1.25, 1.20
9, 0.0000009300, 0.0000000303, 15, 0.030, 0.274, 0.0000033064, 0.0000000068, 7, 0.0000033043, 0.0000000018, 25, 0.610, 3.56, 3.55
10, 0.0000036302, 0.0000000932, 10, 0.024, 0.048, 0.0000067770, 0.0000000032, 1, 0.0000067770, 0.0000000032, 1, 0.024, 1.87, 1.87
11, 0.0043952357, 0.0000018834, 18, 0.197, 0.441, 0.0043952357, 0.0000018834, 10, 0.0041966158, 0.0000012039, 2630, 64.132, 1.00, 0.95
12, 0.0019563245, 0.0000012833, 18, 0.103, 0.347, 0.0019563245, 0.0000012833, 2, 0.0015660976, 0.0000005426, 1051, 25.629, 1.00, 0.80
13, 0.0000709636, 0.0000051308, 18, 0.060, 0.304, 0.0000709636, 0.0000051308, 4, 0.0000431422, 0.0000001165, 54, 1.317, 1.00, 0.61
14, 0.0000040945, 0.0000000279, 77, 0.186, 0.430, 0.0000077814, 0.0000000113, 8, 0.0000074649, 0.0000000043, 47, 1.146, 1.90, 1.82
TOP: 50
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-50 time(s), Meta-50 std(s), trials-50, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-50, speedup-10k
0, 0.0000070635, 0.0000001380, 10, 0.023, 0.047, 0.0000070950, 0.0000003447, 1, 0.0000070950, 0.0000003447, 1, 0.024, 1.00, 1.00
1, 0.0008126793, 0.0000186900, 89, 0.544, 1.763, 0.0008583367, 0.0000017968, 31, 0.0005054778, 0.0000015024, 389, 9.486, 1.06, 0.62
2, 0.0000054541, 0.0000000170, 14, 0.190, 0.263, 0.0000054541, 0.0000000170, 3, 0.0000054541, 0.0000000170, 3, 0.073, 1.00, 1.00
3, 0.0021715657, 0.0000184374, 100, 0.513, 1.733, 0.0036723787, 0.0000041814, 3, 0.0016824018, 0.0000020666, 1494, 36.431, 1.69, 0.77
4, 0.0000047938, 0.0000000082, 16, 0.067, 0.384, 0.0000047938, 0.0000000082, 13, 0.0000047938, 0.0000000082, 13, 0.317, 1.00, 1.00
5, 0.0010053787, 0.0000174022, 100, 0.404, 1.623, 0.0010944335, 0.0000021288, 12, 0.0008110403, 0.0000021019, 642, 15.655, 1.09, 0.81
6, 0.0013966028, 0.0000297555, 60, 0.312, 1.531, 0.0018826272, 0.0000011394, 50, 0.0011727186, 0.0000015651, 1048, 25.555, 1.35, 0.84
7, 0.0019210468, 0.0000245545, 28, 0.180, 1.399, 0.0019964666, 0.0000024558, 4, 0.0007714263, 0.0000011495, 597, 14.558, 1.04, 0.40
8, 0.0000029790, 0.0000000439, 15, 0.190, 0.800, 0.0000036077, 0.0000000061, 25, 0.0000036077, 0.0000000061, 25, 0.610, 1.21, 1.21
9, 0.0000009283, 0.0000000242, 10, 0.025, 0.635, 0.0000033043, 0.0000000018, 25, 0.0000033043, 0.0000000018, 25, 0.610, 3.56, 3.56
10, 0.0000035485, 0.0000000241, 10, 0.023, 0.047, 0.0000067770, 0.0000000032, 1, 0.0000067770, 0.0000000032, 1, 0.024, 1.91, 1.91
11, 0.0042316185, 0.0000025034, 18, 0.309, 1.529, 0.0042316185, 0.0000025034, 18, 0.0041966158, 0.0000012039, 2630, 64.132, 1.00, 0.99
12, 0.0016961722, 0.0000654615, 9, 0.540, 1.760, 0.0016961722, 0.0000654615, 15, 0.0015660976, 0.0000005426, 1051, 25.629, 1.00, 0.92
13, 0.0000444138, 0.0000001387, 18, 0.061, 1.280, 0.0000444138, 0.0000001387, 35, 0.0000431422, 0.0000001165, 54, 1.317, 1.00, 0.97
14, 0.0000040977, 0.0000000230, 68, 0.158, 1.304, 0.0000074649, 0.0000000043, 47, 0.0000074649, 0.0000000043, 47, 1.146, 1.82, 1.82
TOP: 100
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-100 time(s), Meta-100 std(s), trials-100, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-100, speedup-10k
0, 0.0000070950, 0.0000003447, 10, 0.023, 0.048, 0.0000070950, 0.0000003447, 1, 0.0000070950, 0.0000003447, 1, 0.024, 1.00, 1.00
1, 0.0005175188, 0.0000014604, 80, 0.263, 2.702, 0.0005648088, 0.0000012174, 64, 0.0005054778, 0.0000015024, 389, 9.486, 1.09, 0.98
2, 0.0000054541, 0.0000000170, 14, 0.190, 0.263, 0.0000054541, 0.0000000170, 3, 0.0000054541, 0.0000000170, 3, 0.073, 1.00, 1.00
3, 0.0018790200, 0.0000073726, 90, 0.820, 3.259, 0.0021834520, 0.0000018395, 98, 0.0016824018, 0.0000020666, 1494, 36.431, 1.16, 0.90
4, 0.0000047938, 0.0000000082, 16, 0.066, 0.383, 0.0000047938, 0.0000000082, 13, 0.0000047938, 0.0000000082, 13, 0.317, 1.00, 1.00
5, 0.0008110392, 0.0000117979, 100, 0.374, 2.812, 0.0009887908, 0.0000016591, 87, 0.0008110403, 0.0000021019, 642, 15.655, 1.22, 1.00
6, 0.0011654972, 0.0000189298, 100, 0.591, 3.029, 0.0012781855, 0.0000747103, 70, 0.0011727186, 0.0000015651, 1048, 25.555, 1.10, 1.01
7, 0.0010718580, 0.0000212819, 92, 0.348, 2.787, 0.0011215587, 0.0000022991, 85, 0.0007714263, 0.0000011495, 597, 14.558, 1.05, 0.72
8, 0.0000029890, 0.0000000298, 15, 0.190, 0.799, 0.0000036077, 0.0000000061, 25, 0.0000036077, 0.0000000061, 25, 0.610, 1.21, 1.21
9, 0.0000009235, 0.0000000211, 10, 0.032, 0.641, 0.0000033043, 0.0000000018, 25, 0.0000033043, 0.0000000018, 25, 0.610, 3.58, 3.58
10, 0.0000035685, 0.0000000203, 10, 0.024, 0.048, 0.0000067770, 0.0000000032, 1, 0.0000067770, 0.0000000032, 1, 0.024, 1.90, 1.90
11, 0.0042137325, 0.0000036502, 17, 0.294, 2.733, 0.0042137325, 0.0000036502, 71, 0.0041966158, 0.0000012039, 2630, 64.132, 1.00, 1.00
12, 0.0015838569, 0.0000014454, 14, 0.277, 2.716, 0.0015838569, 0.0000014454, 78, 0.0015660976, 0.0000005426, 1051, 25.629, 1.00, 0.99
13, 0.0000431422, 0.0000001165, 18, 0.058, 1.375, 0.0000431422, 0.0000001165, 54, 0.0000431422, 0.0000001165, 54, 1.317, 1.00, 1.00
14, 0.0000041080, 0.0000000495, 68, 0.161, 1.308, 0.0000074649, 0.0000000043, 47, 0.0000074649, 0.0000000043, 47, 1.146, 1.82, 1.82
TOP: 200
TOP: 300
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-300 time(s), Meta-300 std(s), trials-300, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-300, speedup-10k
0, 0.0000070950, 0.0000003447, 10, 0.023, 0.047, 0.0000070950, 0.0000003447, 1, 0.0000070950, 0.0000003447, 1, 0.024, 1.00, 1.00
1, 0.0005022532, 0.0000050084, 82, 0.704, 8.020, 0.0005323501, 0.0000007140, 132, 0.0005054778, 0.0000015024, 389, 9.486, 1.06, 1.01
2, 0.0000054541, 0.0000000170, 14, 0.198, 0.271, 0.0000054541, 0.0000000170, 3, 0.0000054541, 0.0000000170, 3, 0.073, 1.00, 1.00
3, 0.0016999463, 0.0000235997, 83, 0.460, 7.776, 0.0017803054, 0.0000022235, 275, 0.0016824018, 0.0000020666, 1494, 36.431, 1.05, 0.99
4, 0.0000047938, 0.0000000082, 16, 0.066, 0.383, 0.0000047938, 0.0000000082, 13, 0.0000047938, 0.0000000082, 13, 0.317, 1.00, 1.00
5, 0.0007806167, 0.0000107292, 100, 0.316, 7.631, 0.0008214880, 0.0000015987, 296, 0.0008110403, 0.0000021019, 642, 15.655, 1.05, 1.04
6, 0.0011476297, 0.0000176548, 100, 0.513, 7.829, 0.0011857783, 0.0000021011, 210, 0.0011727186, 0.0000015651, 1048, 25.555, 1.03, 1.02
7, 0.0007909547, 0.0000055786, 88, 0.452, 7.768, 0.0008103861, 0.0000005223, 196, 0.0007714263, 0.0000011495, 597, 14.558, 1.02, 0.98
8, 0.0000029588, 0.0000000232, 15, 0.191, 0.800, 0.0000036077, 0.0000000061, 25, 0.0000036077, 0.0000000061, 25, 0.610, 1.22, 1.22
9, 0.0000009350, 0.0000000157, 10, 0.029, 0.639, 0.0000033043, 0.0000000018, 25, 0.0000033043, 0.0000000018, 25, 0.610, 3.53, 3.53
10, 0.0000035618, 0.0000000354, 10, 0.024, 0.049, 0.0000067770, 0.0000000032, 1, 0.0000067770, 0.0000000032, 1, 0.024, 1.90, 1.90
11, 0.0042102465, 0.0000013347, 18, 0.204, 7.519, 0.0042102465, 0.0000013347, 257, 0.0041966158, 0.0000012039, 2630, 64.132, 1.00, 1.00
12, 0.0015790390, 0.0000004224, 18, 0.184, 7.499, 0.0015790390, 0.0000004224, 137, 0.0015660976, 0.0000005426, 1051, 25.629, 1.00, 0.99
13, 0.0000431422, 0.0000001165, 18, 0.050, 1.366, 0.0000431422, 0.0000001165, 54, 0.0000431422, 0.0000001165, 54, 1.317, 1.00, 1.00
14, 0.0000043398, 0.0000000263, 35, 0.078, 1.224, 0.0000074649, 0.0000000043, 47, 0.0000074649, 0.0000000043, 47, 1.146, 1.72, 1.72
TOP: 1000
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1000 time(s), Meta-1000 std(s), trials-1000, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1000, speedup-10k
0, 0.0000070485, 0.0000001984, 10, 0.023, 0.047, 0.0000070950, 0.0000003447, 1, 0.0000070950, 0.0000003447, 1, 0.024, 1.01, 1.01
1, 0.0004845478, 0.0000026409, 56, 0.328, 9.813, 0.0005054778, 0.0000015024, 389, 0.0005054778, 0.0000015024, 389, 9.486, 1.04, 1.04
2, 0.0000054541, 0.0000000170, 14, 0.190, 0.263, 0.0000054541, 0.0000000170, 3, 0.0000054541, 0.0000000170, 3, 0.073, 1.00, 1.00
3, 0.0016244345, 0.0000249731, 56, 0.274, 24.659, 0.0016953717, 0.0000014819, 985, 0.0016824018, 0.0000020666, 1494, 36.431, 1.04, 1.04
4, 0.0000047938, 0.0000000082, 16, 0.067, 0.384, 0.0000047938, 0.0000000082, 13, 0.0000047938, 0.0000000082, 13, 0.317, 1.00, 1.00
5, 0.0007733525, 0.0000110583, 60, 0.200, 15.855, 0.0008110403, 0.0000021019, 642, 0.0008110403, 0.0000021019, 642, 15.655, 1.05, 1.05
6, 0.0011427705, 0.0000091899, 99, 0.393, 24.778, 0.0011745818, 0.0000015923, 967, 0.0011727186, 0.0000015651, 1048, 25.555, 1.03, 1.03
7, 0.0007433155, 0.0000099673, 60, 0.241, 14.799, 0.0007714263, 0.0000011495, 597, 0.0007714263, 0.0000011495, 597, 14.558, 1.04, 1.04
8, 0.0000030005, 0.0000000319, 15, 0.189, 0.799, 0.0000036077, 0.0000000061, 25, 0.0000036077, 0.0000000061, 25, 0.610, 1.20, 1.20
9, 0.0000009503, 0.0000000332, 10, 0.031, 0.641, 0.0000033043, 0.0000000018, 25, 0.0000033043, 0.0000000018, 25, 0.610, 3.48, 3.48
10, 0.0000036002, 0.0000000127, 10, 0.024, 0.048, 0.0000067770, 0.0000000032, 1, 0.0000067770, 0.0000000032, 1, 0.024, 1.88, 1.88
11, 0.0042022227, 0.0000003428, 18, 0.210, 24.595, 0.0042022227, 0.0000003428, 858, 0.0041966158, 0.0000012039, 2630, 64.132, 1.00, 1.00
12, 0.0015722770, 0.0000009965, 18, 0.185, 24.570, 0.0015722770, 0.0000009965, 987, 0.0015660976, 0.0000005426, 1051, 25.629, 1.00, 1.00
13, 0.0000431422, 0.0000001165, 18, 0.049, 1.366, 0.0000431422, 0.0000001165, 54, 0.0000431422, 0.0000001165, 54, 1.317, 1.00, 1.00
14, 0.0000042898, 0.0000000226, 34, 0.075, 1.221, 0.0000074649, 0.0000000043, 47, 0.0000074649, 0.0000000043, 47, 1.146, 1.74, 1.74
BENCH: vgg11
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000070599, 0.0000003619, 10, 0.024, 0.045, 0.0000070599, 0.0000003619, 1, 0.0000070599, 0.0000003619, 1, 0.021, 1.00, 1.00
1, 0.0013260667, 0.0000019549, 97, 0.393, 0.414, 0.0016340762, 0.0000354484, 1, 0.0007333273, 0.0000010488, 125, 2.588, 1.23, 0.55
2, 0.0000939650, 0.0000004487, 43, 0.138, 0.159, 0.0002458672, 0.0000001548, 1, 0.0000321488, 0.0000000044, 4, 0.083, 2.62, 0.34
3, 0.0090058375, 0.0000045568, 100, 1.554, 1.575, 0.0136043498, 0.0000144011, 1, 0.0063137910, 0.0000235797, 940, 19.464, 1.51, 0.70
4, 0.0000261810, 0.0000003642, 18, 0.040, 0.061, 0.0000261810, 0.0000003642, 1, 0.0000167155, 0.0000000146, 37, 0.766, 1.00, 0.64
5, 0.0000083292, 0.0000000077, 10, 0.024, 0.045, 0.0000083292, 0.0000000077, 1, 0.0000083292, 0.0000000077, 1, 0.021, 1.00, 1.00
6, 0.0241965575, 0.0022880271, 56, 1.059, 1.080, 0.0348890996, 0.0011703234, 1, 0.0060597224, 0.0000030526, 789, 16.337, 1.44, 0.25
7, 0.0000637175, 0.0000005273, 10, 0.026, 0.047, 0.0000678717, 0.0000000802, 1, 0.0000678717, 0.0000000802, 1, 0.021, 1.07, 1.07
8, 0.0156173325, 0.0001339344, 96, 1.234, 1.255, 0.0201360667, 0.0000423517, 1, 0.0121901604, 0.0000041372, 1042, 21.576, 1.29, 0.78
9, 0.0000352033, 0.0000006472, 31, 0.082, 0.103, 0.0001214472, 0.0000085191, 1, 0.0000078519, 0.0000000137, 43, 0.890, 3.45, 0.22
10, 0.0000201585, 0.0000003309, 11, 0.025, 0.045, 0.0000203734, 0.0000001668, 1, 0.0000191875, 0.0000009956, 2, 0.041, 1.01, 0.95
11, 0.0087235197, 0.0000200539, 96, 1.513, 1.534, 0.0151831379, 0.0000208709, 1, 0.0061968703, 0.0000044808, 704, 14.577, 1.74, 0.71
12, 0.0000367915, 0.0000001851, 11, 0.025, 0.046, 0.0000376928, 0.0000001023, 1, 0.0000344729, 0.0000000659, 2, 0.041, 1.02, 0.94
13, 0.0456182078, 0.0000310201, 96, 6.860, 6.881, 0.5382453532, 0.0196124959, 1, 0.0123669163, 0.0000016322, 1753, 36.298, 11.80, 0.27
14, 0.0000054017, 0.0000000360, 14, 0.176, 0.197, 0.0000054017, 0.0000000360, 1, 0.0000054017, 0.0000000360, 1, 0.021, 1.00, 1.00
15, 0.0000121198, 0.0000004052, 10, 0.024, 0.045, 0.0000133052, 0.0000022006, 1, 0.0000124201, 0.0000000140, 2, 0.041, 1.10, 1.02
16, 0.0113780275, 0.0000045119, 100, 1.221, 1.242, 0.0207540188, 0.0033864356, 1, 0.0031463854, 0.0000003966, 579, 11.989, 1.82, 0.28
17, 0.0000139863, 0.0000004727, 42, 0.273, 0.294, 0.0000145202, 0.0000010762, 1, 0.0000039037, 0.0000000011, 22, 0.456, 1.04, 0.28
18, 0.0000041377, 0.0000000674, 15, 0.192, 0.212, 0.0000097752, 0.0000000099, 1, 0.0000035036, 0.0000000053, 12, 0.248, 2.36, 0.85
19, 0.0000079267, 0.0000000034, 10, 0.029, 0.049, 0.0000079267, 0.0000000034, 1, 0.0000079267, 0.0000000034, 1, 0.021, 1.00, 1.00
20, 0.0115216017, 0.0000989633, 6, 0.332, 0.353, 0.0115216017, 0.0000989633, 1, 0.0114152649, 0.0000037059, 1081, 22.384, 1.00, 0.99
21, 0.0046223065, 0.0004957291, 18, 0.292, 0.313, 0.0046223065, 0.0004957291, 1, 0.0015838905, 0.0000034018, 23, 0.476, 1.00, 0.34
22, 0.0001223137, 0.0000008494, 67, 0.196, 0.217, 0.0001962405, 0.0000001283, 1, 0.0000430183, 0.0000017960, 60, 1.242, 1.60, 0.35
23, 0.0000046555, 0.0000000223, 50, 0.111, 0.131, 0.0000075332, 0.0000000174, 1, 0.0000075332, 0.0000000174, 1, 0.021, 1.62, 1.62
TOP: 10
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-10 time(s), Meta-10 std(s), trials-10, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-10, speedup-10k
0, 0.0000070599, 0.0000003619, 10, 0.023, 0.044, 0.0000070599, 0.0000003619, 1, 0.0000070599, 0.0000003619, 1, 0.021, 1.00, 1.00
1, 0.0007899312, 0.0000198058, 96, 0.428, 0.635, 0.0008998672, 0.0000022664, 4, 0.0007333273, 0.0000010488, 125, 2.588, 1.14, 0.93
2, 0.0000298917, 0.0000006570, 15, 0.044, 0.127, 0.0000321488, 0.0000000044, 4, 0.0000321488, 0.0000000044, 4, 0.083, 1.08, 1.08
3, 0.0083641283, 0.0000065313, 100, 0.697, 0.904, 0.0099360028, 0.0004357331, 8, 0.0063137910, 0.0000235797, 940, 19.464, 1.19, 0.75
4, 0.0000173674, 0.0000007450, 10, 0.026, 0.233, 0.0000173674, 0.0000007450, 10, 0.0000167155, 0.0000000146, 37, 0.766, 1.00, 0.96
5, 0.0000083292, 0.0000000077, 10, 0.024, 0.045, 0.0000083292, 0.0000000077, 1, 0.0000083292, 0.0000000077, 1, 0.021, 1.00, 1.00
6, 0.0079481503, 0.0000099165, 97, 0.967, 1.174, 0.0265587639, 0.0010367723, 5, 0.0060597224, 0.0000030526, 789, 16.337, 3.34, 0.76
7, 0.0000646910, 0.0000002937, 10, 0.026, 0.047, 0.0000678717, 0.0000000802, 1, 0.0000678717, 0.0000000802, 1, 0.021, 1.05, 1.05
8, 0.0157028707, 0.0000095565, 96, 1.134, 1.341, 0.0201360667, 0.0000423517, 1, 0.0121901604, 0.0000041372, 1042, 21.576, 1.28, 0.78
9, 0.0000166478, 0.0000000097, 18, 0.037, 0.244, 0.0000166478, 0.0000000097, 2, 0.0000078519, 0.0000000137, 43, 0.890, 1.00, 0.47
10, 0.0000187888, 0.0000004035, 10, 0.023, 0.065, 0.0000191875, 0.0000009956, 2, 0.0000191875, 0.0000009956, 2, 0.041, 1.02, 1.02
11, 0.0079115912, 0.0000110915, 96, 1.512, 1.719, 0.0096746093, 0.0000191777, 3, 0.0061968703, 0.0000044808, 704, 14.577, 1.22, 0.78
12, 0.0000340162, 0.0000003215, 10, 0.024, 0.065, 0.0000344729, 0.0000000659, 2, 0.0000344729, 0.0000000659, 2, 0.041, 1.01, 1.01
13, 0.0229506443, 0.0000170147, 100, 4.806, 5.013, 0.0441003377, 0.0000319555, 4, 0.0123669163, 0.0000016322, 1753, 36.298, 1.92, 0.54
14, 0.0000054017, 0.0000000360, 14, 0.179, 0.200, 0.0000054017, 0.0000000360, 1, 0.0000054017, 0.0000000360, 1, 0.021, 1.00, 1.00
15, 0.0000124201, 0.0000000140, 11, 0.027, 0.068, 0.0000124201, 0.0000000140, 2, 0.0000124201, 0.0000000140, 2, 0.041, 1.00, 1.00
16, 0.0057245787, 0.0000702213, 85, 0.516, 0.723, 0.0124604628, 0.0000129216, 4, 0.0031463854, 0.0000003966, 579, 11.989, 2.18, 0.55
17, 0.0000039382, 0.0000000019, 14, 0.060, 0.267, 0.0000039382, 0.0000000019, 5, 0.0000039037, 0.0000000011, 22, 0.456, 1.00, 0.99
18, 0.0000024378, 0.0000000205, 11, 0.026, 0.233, 0.0000035332, 0.0000000004, 3, 0.0000035036, 0.0000000053, 12, 0.248, 1.45, 1.44
19, 0.0000079267, 0.0000000034, 10, 0.024, 0.045, 0.0000079267, 0.0000000034, 1, 0.0000079267, 0.0000000034, 1, 0.021, 1.00, 1.00
20, 0.0115216017, 0.0000989633, 5, 0.295, 0.502, 0.0115216017, 0.0000989633, 1, 0.0114152649, 0.0000037059, 1081, 22.384, 1.00, 0.99
21, 0.0018386610, 0.0000006732, 18, 0.141, 0.348, 0.0018386610, 0.0000006732, 10, 0.0015838905, 0.0000034018, 23, 0.476, 1.00, 0.86
22, 0.0001038895, 0.0000000272, 18, 0.143, 0.350, 0.0001038895, 0.0000000272, 10, 0.0000430183, 0.0000017960, 60, 1.242, 1.00, 0.41
23, 0.0000046890, 0.0000000227, 50, 0.114, 0.135, 0.0000075332, 0.0000000174, 1, 0.0000075332, 0.0000000174, 1, 0.021, 1.61, 1.61
TOP: 50
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-50 time(s), Meta-50 std(s), trials-50, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-50, speedup-10k
0, 0.0000070599, 0.0000003619, 10, 0.023, 0.044, 0.0000070599, 0.0000003619, 1, 0.0000070599, 0.0000003619, 1, 0.021, 1.00, 1.00
1, 0.0008156072, 0.0000062876, 86, 0.456, 1.492, 0.0008998672, 0.0000022664, 4, 0.0007333273, 0.0000010488, 125, 2.588, 1.10, 0.90
2, 0.0000301122, 0.0000002521, 15, 0.044, 0.127, 0.0000321488, 0.0000000044, 4, 0.0000321488, 0.0000000044, 4, 0.083, 1.07, 1.07
3, 0.0087964127, 0.0000068787, 86, 0.648, 1.684, 0.0099360028, 0.0004357331, 8, 0.0063137910, 0.0000235797, 940, 19.464, 1.13, 0.72
4, 0.0000167155, 0.0000000146, 15, 0.048, 0.814, 0.0000167155, 0.0000000146, 37, 0.0000167155, 0.0000000146, 37, 0.766, 1.00, 1.00
5, 0.0000083292, 0.0000000077, 10, 0.026, 0.046, 0.0000083292, 0.0000000077, 1, 0.0000083292, 0.0000000077, 1, 0.021, 1.00, 1.00
6, 0.0076067497, 0.0000979488, 98, 0.813, 1.848, 0.0082839222, 0.0003194995, 20, 0.0060597224, 0.0000030526, 789, 16.337, 1.09, 0.80
7, 0.0000635940, 0.0000002348, 10, 0.026, 0.047, 0.0000678717, 0.0000000802, 1, 0.0000678717, 0.0000000802, 1, 0.021, 1.07, 1.07
8, 0.0164365635, 0.0000240532, 96, 1.557, 2.592, 0.0192684284, 0.0012727516, 26, 0.0121901604, 0.0000041372, 1042, 21.576, 1.17, 0.74
9, 0.0000078519, 0.0000000137, 15, 0.035, 0.926, 0.0000078519, 0.0000000137, 43, 0.0000078519, 0.0000000137, 43, 0.890, 1.00, 1.00
10, 0.0000187590, 0.0000003025, 10, 0.023, 0.065, 0.0000191875, 0.0000009956, 2, 0.0000191875, 0.0000009956, 2, 0.041, 1.02, 1.02
11, 0.0083428182, 0.0000715561, 96, 1.438, 2.474, 0.0096746093, 0.0000191777, 3, 0.0061968703, 0.0000044808, 704, 14.577, 1.16, 0.74
