BENCH: vgg16
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
21, 0.00000397, 0.00000001, 24, 0.07, 0.00000397, 0.00000001, 45, 0.00000397, 0.00000001, 45, 1.00, 1.00
22, 0.00000245, 0.00000003, 34, 0.09, 0.00000349, 0.00000001, 18, 0.00000349, 0.00000001, 18, 1.42, 1.42
23, 0.00000784, 0.00000001, 10, 0.02, 0.00000784, 0.00000001, 1, 0.00000784, 0.00000001, 1, 1.00, 1.00
24, 0.01144223, 0.00000554, 1, 0.89, 0.01144223, 0.00000554, 135, 0.01143665, 0.00000256, 934, 1.00, 1.00
25, 0.00157072, 0.00000299, 1, 0.20, 0.00157072, 0.00000299, 98, 0.00157072, 0.00000299, 98, 1.00, 1.00
26, 0.00004745, 0.00000008, 1, 0.08, 0.00004745, 0.00000008, 48, 0.00004745, 0.00000008, 48, 1.00, 1.00
27, 0.00000754, 0.00000001, 35, 0.05, 0.00000754, 0.00000001, 35, 0.00000754, 0.00000001, 35, 1.00, 1.00
TOP: 300
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000680, 0.00000001, 10, 0.02, 0.00000680, 0.00000001, 1, 0.00000680, 0.00000001, 1, 1.00, 1.00
1, 0.00065685, 0.00000509, 82, 0.26, 0.00070303, 0.00000063, 104, 0.00070303, 0.00000063, 104, 1.07, 1.07
2, 0.00008900, 0.00000565, 14, 0.06, 0.00024358, 0.00000073, 2, 0.00024358, 0.00000073, 2, 2.74, 2.74
3, 0.01397983, 0.00002554, 100, 1.33, 0.01403461, 0.00000602, 260, 0.01214060, 0.00000917, 768, 1.00, 0.87
4, 0.00003238, 0.00000002, 16, 0.05, 0.00003238, 0.00000002, 8, 0.00003238, 0.00000002, 8, 1.00, 1.00
5, 0.00624743, 0.00002866, 75, 0.79, 0.00638744, 0.00007359, 283, 0.00623709, 0.00000451, 464, 1.02, 1.00
6, 0.01249615, 0.00001192, 77, 0.61, 0.01249686, 0.00002987, 257, 0.01238074, 0.00000419, 833, 1.00, 0.99
7, 0.00001760, 0.00000005, 16, 0.05, 0.00001760, 0.00000005, 28, 0.00001760, 0.00000005, 28, 1.00, 1.00
8, 0.00000889, 0.00000001, 10, 0.02, 0.00000889, 0.00000001, 2, 0.00000889, 0.00000001, 2, 1.00, 1.00
9, 0.00647980, 0.00000175, 40, 0.23, 0.00647980, 0.00000175, 290, 0.00613623, 0.00000184, 400, 1.00, 0.95
10, 0.00006474, 0.00000013, 10, 0.03, 0.00006805, 0.00000006, 2, 0.00006805, 0.00000006, 2, 1.05, 1.05
11, 0.01278837, 0.00001943, 87, 1.13, 0.01281475, 0.00000519, 260, 0.01238309, 0.00001230, 1409, 1.00, 0.97
12, 0.00000796, 0.00000000, 16, 0.04, 0.00000796, 0.00000000, 49, 0.00000796, 0.00000000, 49, 1.00, 1.00
13, 0.00001877, 0.00000005, 10, 0.02, 0.00001877, 0.00000005, 1, 0.00001877, 0.00000005, 1, 1.00, 1.00
14, 0.00648411, 0.00001754, 74, 1.32, 0.00654513, 0.00000192, 263, 0.00623398, 0.00000170, 449, 1.01, 0.96
15, 0.00003428, 0.00000019, 17, 0.06, 0.00003526, 0.00000111, 1, 0.00003526, 0.00000111, 1, 1.03, 1.03
16, 0.00003543, 0.00000032, 10, 0.02, 0.00003543, 0.00000002, 1, 0.00003543, 0.00000002, 1, 1.00, 1.00
17, 0.01372259, 0.00001056, 40, 0.38, 0.01372259, 0.00001056, 262, 0.01231063, 0.00000150, 868, 1.00, 0.90
18, 0.00000532, 0.00000001, 16, 0.03, 0.00000532, 0.00000001, 27, 0.00000532, 0.00000001, 27, 1.00, 1.00
19, 0.00001185, 0.00000004, 10, 0.02, 0.00001185, 0.00000004, 2, 0.00001185, 0.00000004, 2, 1.00, 1.00
20, 0.00317685, 0.00001464, 72, 0.31, 0.00324032, 0.00000402, 194, 0.00310026, 0.00000354, 704, 1.02, 0.98
21, 0.00000397, 0.00000001, 24, 0.07, 0.00000397, 0.00000001, 45, 0.00000397, 0.00000001, 45, 1.00, 1.00
22, 0.00000245, 0.00000002, 36, 0.09, 0.00000349, 0.00000001, 18, 0.00000349, 0.00000001, 18, 1.42, 1.42
23, 0.00000784, 0.00000001, 10, 0.02, 0.00000784, 0.00000001, 1, 0.00000784, 0.00000001, 1, 1.00, 1.00
24, 0.01144031, 0.00000597, 1, 0.76, 0.01144031, 0.00000597, 216, 0.01143665, 0.00000256, 934, 1.00, 1.00
25, 0.00157072, 0.00000299, 1, 0.19, 0.00157072, 0.00000299, 98, 0.00157072, 0.00000299, 98, 1.00, 1.00
26, 0.00004745, 0.00000008, 1, 0.08, 0.00004745, 0.00000008, 48, 0.00004745, 0.00000008, 48, 1.00, 1.00
27, 0.00000754, 0.00000001, 35, 0.05, 0.00000754, 0.00000001, 35, 0.00000754, 0.00000001, 35, 1.00, 1.00
TOP: 1000
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000680, 0.00000001, 10, 0.02, 0.00000680, 0.00000001, 1, 0.00000680, 0.00000001, 1, 1.00, 1.00
1, 0.00065122, 0.00000625, 100, 0.36, 0.00070303, 0.00000063, 104, 0.00070303, 0.00000063, 104, 1.08, 1.08
2, 0.00009543, 0.00000633, 14, 0.06, 0.00024358, 0.00000073, 2, 0.00024358, 0.00000073, 2, 2.55, 2.55
3, 0.01214060, 0.00000917, 40, 0.41, 0.01214060, 0.00000917, 768, 0.01214060, 0.00000917, 768, 1.00, 1.00
4, 0.00003195, 0.00000046, 25, 0.08, 0.00003238, 0.00000002, 8, 0.00003238, 0.00000002, 8, 1.01, 1.01
5, 0.00623432, 0.00003293, 85, 1.20, 0.00623709, 0.00000451, 464, 0.00623709, 0.00000451, 464, 1.00, 1.00
6, 0.01237255, 0.00003698, 48, 0.93, 0.01238074, 0.00000419, 833, 0.01238074, 0.00000419, 833, 1.00, 1.00
7, 0.00001760, 0.00000005, 16, 0.05, 0.00001760, 0.00000005, 28, 0.00001760, 0.00000005, 28, 1.00, 1.00
8, 0.00000889, 0.00000001, 10, 0.03, 0.00000889, 0.00000001, 2, 0.00000889, 0.00000001, 2, 1.00, 1.00
9, 0.00606936, 0.00002488, 72, 0.48, 0.00613623, 0.00000184, 400, 0.00613623, 0.00000184, 400, 1.01, 1.01
10, 0.00006521, 0.00000012, 20, 0.08, 0.00006805, 0.00000006, 2, 0.00006805, 0.00000006, 2, 1.04, 1.04
11, 0.01240165, 0.00001305, 72, 0.59, 0.01241281, 0.00000166, 775, 0.01238309, 0.00001230, 1409, 1.00, 1.00
12, 0.00000796, 0.00000000, 16, 0.04, 0.00000796, 0.00000000, 49, 0.00000796, 0.00000000, 49, 1.00, 1.00
13, 0.00001877, 0.00000005, 10, 0.02, 0.00001877, 0.00000005, 1, 0.00001877, 0.00000005, 1, 1.00, 1.00
14, 0.00623398, 0.00000170, 40, 0.22, 0.00623398, 0.00000170, 449, 0.00623398, 0.00000170, 449, 1.00, 1.00
15, 0.00003436, 0.00000015, 14, 0.04, 0.00003526, 0.00000111, 1, 0.00003526, 0.00000111, 1, 1.03, 1.03
16, 0.00003543, 0.00000002, 10, 0.02, 0.00003543, 0.00000002, 1, 0.00003543, 0.00000002, 1, 1.00, 1.00
17, 0.01230205, 0.00002970, 71, 0.91, 0.01231063, 0.00000150, 868, 0.01231063, 0.00000150, 868, 1.00, 1.00
18, 0.00000532, 0.00000001, 16, 0.04, 0.00000532, 0.00000001, 27, 0.00000532, 0.00000001, 27, 1.00, 1.00
19, 0.00001185, 0.00000004, 10, 0.03, 0.00001185, 0.00000004, 2, 0.00001185, 0.00000004, 2, 1.00, 1.00
20, 0.00307691, 0.00003869, 69, 0.32, 0.00310026, 0.00000354, 704, 0.00310026, 0.00000354, 704, 1.01, 1.01
21, 0.00000397, 0.00000001, 24, 0.07, 0.00000397, 0.00000001, 45, 0.00000397, 0.00000001, 45, 1.00, 1.00
22, 0.00000243, 0.00000002, 34, 0.09, 0.00000349, 0.00000001, 18, 0.00000349, 0.00000001, 18, 1.44, 1.44
23, 0.00000784, 0.00000001, 10, 0.02, 0.00000784, 0.00000001, 1, 0.00000784, 0.00000001, 1, 1.00, 1.00
24, 0.01143665, 0.00000256, 1, 0.84, 0.01143665, 0.00000256, 934, 0.01143665, 0.00000256, 934, 1.00, 1.00
25, 0.00157072, 0.00000299, 1, 0.22, 0.00157072, 0.00000299, 98, 0.00157072, 0.00000299, 98, 1.00, 1.00
26, 0.00004745, 0.00000008, 1, 0.08, 0.00004745, 0.00000008, 48, 0.00004745, 0.00000008, 48, 1.00, 1.00
27, 0.00000754, 0.00000001, 35, 0.05, 0.00000754, 0.00000001, 35, 0.00000754, 0.00000001, 35, 1.00, 1.00
