BENCH: alexnet
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
11, 0.01517252, 0.00015097, 75, 1.11, 0.01690407, 0.00016621, 79, 0.01339213, 0.00000273, 1359, 1.11, 0.88
12, 0.00000818, 0.00000013, 16, 0.04, 0.00000818, 0.00000013, 17, 0.00000818, 0.00000013, 17, 1.00, 1.00
13, 0.00001864, 0.00000025, 9, 0.04, 0.00001877, 0.00000000, 2, 0.00001877, 0.00000000, 2, 1.01, 1.01
14, 0.00767051, 0.00003131, 73, 0.71, 0.00783547, 0.00001794, 88, 0.00704128, 0.00000238, 673, 1.02, 0.92
15, 0.00003445, 0.00000029, 14, 0.04, 0.00003454, 0.00000004, 1, 0.00003454, 0.00000004, 1, 1.00, 1.00
16, 0.01631402, 0.00002195, 81, 2.70, 0.01680929, 0.00001483, 68, 0.01332228, 0.00001239, 1314, 1.03, 0.82
17, 0.00000531, 0.00000001, 16, 0.03, 0.00000531, 0.00000001, 40, 0.00000531, 0.00000001, 40, 1.00, 1.00
18, 0.00001187, 0.00000001, 10, 0.02, 0.00001187, 0.00000001, 2, 0.00001187, 0.00000001, 2, 1.00, 1.00
19, 0.00436464, 0.00001664, 73, 0.70, 0.00457836, 0.00000367, 84, 0.00341606, 0.00000167, 669, 1.05, 0.78
20, 0.00000374, 0.00000001, 24, 0.07, 0.00000374, 0.00000001, 5, 0.00000374, 0.00000001, 5, 1.00, 1.00
21, 0.00000243, 0.00000003, 35, 0.11, 0.00000334, 0.00000001, 17, 0.00000334, 0.00000001, 17, 1.38, 1.38
22, 0.00000750, 0.00000002, 10, 0.02, 0.00000750, 0.00000002, 1, 0.00000750, 0.00000002, 1, 1.00, 1.00
23, 0.01145475, 0.00000269, 1, 0.83, 0.01145475, 0.00000269, 76, 0.01142182, 0.00000368, 815, 1.00, 1.00
24, 0.00184265, 0.00000015, 1, 0.18, 0.00184265, 0.00000015, 71, 0.00157382, 0.00000016, 168, 1.00, 0.85
25, 0.00005016, 0.00000002, 1, 0.08, 0.00005016, 0.00000002, 19, 0.00005016, 0.00000002, 19, 1.00, 1.00
26, 0.00000777, 0.00000002, 37, 0.05, 0.00000777, 0.00000002, 13, 0.00000777, 0.00000002, 13, 1.00, 1.00
TOP: 200
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000678, 0.00000001, 10, 0.02, 0.00000678, 0.00000001, 1, 0.00000678, 0.00000001, 1, 1.00, 1.00
1, 0.00069433, 0.00000496, 77, 0.43, 0.00074202, 0.00000109, 111, 0.00074202, 0.00000109, 111, 1.07, 1.07
2, 0.00008253, 0.00000516, 14, 0.06, 0.00014861, 0.00000018, 2, 0.00014861, 0.00000018, 2, 1.80, 1.80
3, 0.01399576, 0.00007001, 74, 1.00, 0.01410905, 0.00001972, 129, 0.01222441, 0.00003078, 1026, 1.01, 0.87
4, 0.00003146, 0.00000057, 23, 0.09, 0.00003215, 0.00000002, 27, 0.00003215, 0.00000002, 27, 1.02, 1.02
5, 0.00665747, 0.00001556, 100, 0.86, 0.00674377, 0.00000290, 115, 0.00674377, 0.00000290, 115, 1.01, 1.01
6, 0.01479060, 0.00002532, 74, 0.94, 0.01488131, 0.00001815, 193, 0.01339986, 0.00000362, 1350, 1.01, 0.91
7, 0.00001676, 0.00000008, 16, 0.05, 0.00001676, 0.00000008, 18, 0.00001676, 0.00000008, 18, 1.00, 1.00
8, 0.00000846, 0.00000000, 10, 0.02, 0.00000846, 0.00000000, 2, 0.00000846, 0.00000000, 2, 1.00, 1.00
9, 0.00734934, 0.00001773, 72, 0.64, 0.00741430, 0.00000674, 198, 0.00693513, 0.00000138, 698, 1.01, 0.94
10, 0.00006457, 0.00000016, 10, 0.03, 0.00006751, 0.00000013, 2, 0.00006751, 0.00000013, 2, 1.05, 1.05
11, 0.01500685, 0.00002934, 100, 1.34, 0.01512475, 0.00001354, 200, 0.01339213, 0.00000273, 1359, 1.01, 0.89
12, 0.00000818, 0.00000013, 16, 0.04, 0.00000818, 0.00000013, 17, 0.00000818, 0.00000013, 17, 1.00, 1.00
13, 0.00001877, 0.00000000, 10, 0.02, 0.00001877, 0.00000000, 2, 0.00001877, 0.00000000, 2, 1.00, 1.00
14, 0.00731339, 0.00003860, 100, 1.50, 0.00749193, 0.00000201, 140, 0.00704128, 0.00000238, 673, 1.02, 0.96
15, 0.00003420, 0.00000019, 10, 0.02, 0.00003454, 0.00000004, 1, 0.00003454, 0.00000004, 1, 1.01, 1.01
16, 0.01511160, 0.00017528, 72, 0.75, 0.01573314, 0.00000529, 150, 0.01332228, 0.00001239, 1314, 1.04, 0.88
17, 0.00000531, 0.00000001, 16, 0.03, 0.00000531, 0.00000001, 40, 0.00000531, 0.00000001, 40, 1.00, 1.00
18, 0.00001187, 0.00000001, 10, 0.02, 0.00001187, 0.00000001, 2, 0.00001187, 0.00000001, 2, 1.00, 1.00
