BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
29, 0.0000289048, 0.0000000421, 49, 0.66, 1.06, 0.0000289048, 0.0000000421, 7, 0.0000185393, 0.0000000136, 11, 1.00, 0.64
30, 0.0000277485, 0.0000012405, 39, 0.53, 0.94, 0.0000290387, 0.0000000110, 1, 0.0000235190, 0.0000001284, 53, 1.05, 0.85
TOP: 25
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-25 time(s), Meta-25 std(s), trials-25, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-25, speedup-10k
0, 0.0000489788, 0.0000000987, 100, 1.20, 2.21, 0.0000973563, 0.0000001374, 23, 0.0000546699, 0.0000001060, 143, 1.99, 1.12
1, 0.0000219367, 0.0000006375, 11, 0.14, 0.22, 0.0000236384, 0.0000002053, 2, 0.0000236384, 0.0000002053, 2, 1.08, 1.08
2, 0.0000681340, 0.0000003648, 100, 1.28, 2.29, 0.0000691086, 0.0000000168, 18, 0.0000455743, 0.0000000472, 94, 1.01, 0.67
3, 0.0000141082, 0.0000001332, 11, 0.15, 0.27, 0.0000141082, 0.0000001332, 3, 0.0000141082, 0.0000001332, 3, 1.00, 1.00
4, 0.0000757725, 0.0000016279, 100, 1.28, 2.29, 0.0000797478, 0.0000003328, 7, 0.0000316923, 0.0000000373, 85, 1.05, 0.42
5, 0.0000168250, 0.0000011266, 11, 0.14, 0.18, 0.0000301035, 0.0000000842, 1, 0.0000301035, 0.0000000842, 1, 1.79, 1.79
6, 0.0007366617, 0.0000017802, 97, 2.11, 3.12, 0.0008881954, 0.0000029003, 18, 0.0002042228, 0.0000002152, 645, 1.21, 0.28
7, 0.0000355989, 0.0000000322, 33, 0.69, 1.70, 0.0000355989, 0.0000000322, 10, 0.0000195375, 0.0000000067, 28, 1.00, 0.55
8, 0.0005411332, 0.0000002368, 92, 2.30, 3.31, 0.0009803917, 0.0000002921, 22, 0.0002179982, 0.0000004541, 902, 1.81, 0.40
9, 0.0000224385, 0.0000002356, 11, 0.14, 0.18, 0.0000687889, 0.0000019545, 1, 0.0000687889, 0.0000019545, 1, 3.07, 3.07
10, 0.0007680068, 0.0000091573, 100, 2.15, 3.16, 0.0010380491, 0.0000006314, 17, 0.0002145986, 0.0000001080, 833, 1.35, 0.28
11, 0.0005509382, 0.0000008721, 97, 1.99, 3.00, 0.0006580818, 0.0000013220, 22, 0.0001953302, 0.0000004341, 402, 1.19, 0.35
12, 0.0000135990, 0.0000000172, 11, 0.13, 0.22, 0.0000135990, 0.0000000172, 2, 0.0000135990, 0.0000000172, 2, 1.00, 1.00
13, 0.0016259808, 0.0000062153, 90, 1.83, 2.84, 0.0021419688, 0.0000027446, 10, 0.0002100534, 0.0000001183, 468, 1.32, 0.13
14, 0.0000133083, 0.0000000127, 11, 0.13, 0.21, 0.0000133083, 0.0000000127, 2, 0.0000133083, 0.0000000127, 2, 1.00, 1.00
15, 0.0008676258, 0.0000014165, 100, 1.88, 2.89, 0.0010562665, 0.0000038848, 22, 0.0002135138, 0.0000001050, 874, 1.22, 0.25
16, 0.0000128984, 0.0000000065, 11, 0.13, 0.25, 0.0000128984, 0.0000000065, 3, 0.0000128984, 0.0000000065, 3, 1.00, 1.00
17, 0.0007594448, 0.0000004606, 58, 1.67, 2.68, 0.0009540245, 0.0000009054, 3, 0.0001947782, 0.0000001242, 450, 1.26, 0.26
18, 0.0000124485, 0.0000009881, 11, 0.14, 0.30, 0.0000130139, 0.0000000259, 4, 0.0000130139, 0.0000000259, 4, 1.05, 1.05
19, 0.0008052970, 0.0000005208, 96, 2.01, 3.02, 0.0010339668, 0.0000003628, 9, 0.0002726487, 0.0000001831, 580, 1.28, 0.34
20, 0.0000101582, 0.0000000423, 11, 0.13, 0.29, 0.0000101582, 0.0000000423, 4, 0.0000101582, 0.0000000423, 4, 1.00, 1.00
21, 0.0017514572, 0.0000008388, 45, 1.04, 2.05, 0.0017514572, 0.0000008388, 18, 0.0002557951, 0.0000004536, 1025, 1.00, 0.15
22, 0.0000098437, 0.0000000243, 10, 0.12, 0.20, 0.0000098437, 0.0000000243, 2, 0.0000098437, 0.0000000243, 2, 1.00, 1.00
23, 0.0002012267, 0.0000019380, 93, 1.95, 2.96, 0.0002504843, 0.0000004544, 1, 0.0001418498, 0.0000001882, 323, 1.24, 0.70
24, 0.0016165527, 0.0000049297, 90, 2.41, 3.42, 0.0021180156, 0.0000324358, 5, 0.0002749489, 0.0000003750, 449, 1.31, 0.17
25, 0.0000110339, 0.0000000132, 11, 0.13, 0.25, 0.0000110339, 0.0000000132, 3, 0.0000110339, 0.0000000132, 3, 1.00, 1.00
26, 0.0013683437, 0.0000045435, 58, 2.21, 3.22, 0.0014604738, 0.0000008187, 20, 0.0002801498, 0.0000007041, 385, 1.07, 0.20
27, 0.0000039783, 0.0000001815, 34, 0.43, 1.44, 0.0000095594, 0.0000000611, 13, 0.0000094594, 0.0000000049, 52, 2.40, 2.38
28, 0.0000011017, 0.0000001793, 11, 0.12, 0.16, 0.0000208777, 0.0000000600, 1, 0.0000208777, 0.0000000600, 1, 18.95, 18.95
29, 0.0000185393, 0.0000000136, 47, 0.58, 1.02, 0.0000185393, 0.0000000136, 11, 0.0000185393, 0.0000000136, 11, 1.00, 1.00
30, 0.0000274385, 0.0000002054, 39, 0.50, 1.51, 0.0000276568, 0.0000000539, 25, 0.0000235190, 0.0000001284, 53, 1.01, 0.86
TOP: 50
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-50 time(s), Meta-50 std(s), trials-50, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-50, speedup-10k
0, 0.0000621590, 0.0000004874, 100, 1.18, 3.21, 0.0000798237, 0.0000001366, 38, 0.0000546699, 0.0000001060, 143, 1.28, 0.88
1, 0.0000220735, 0.0000005319, 11, 0.14, 0.22, 0.0000236384, 0.0000002053, 2, 0.0000236384, 0.0000002053, 2, 1.07, 1.07
2, 0.0000520755, 0.0000006094, 92, 1.38, 3.41, 0.0000524486, 0.0000000364, 40, 0.0000455743, 0.0000000472, 94, 1.01, 0.88
3, 0.0000141082, 0.0000001332, 11, 0.15, 0.27, 0.0000141082, 0.0000001332, 3, 0.0000141082, 0.0000001332, 3, 1.00, 1.00
4, 0.0000446887, 0.0000004199, 99, 1.33, 3.35, 0.0000484867, 0.0000007288, 43, 0.0000316923, 0.0000000373, 85, 1.08, 0.71
5, 0.0000157752, 0.0000002233, 11, 0.14, 0.18, 0.0000301035, 0.0000000842, 1, 0.0000301035, 0.0000000842, 1, 1.91, 1.91
