BENCH: googlenet
TOP: 50
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-50 time(s), Meta-50 std(s), trials-50, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-50, speedup-10k
53, 0.0000035993, 0.0000000006, 2, 0.15, 1.44, 0.0000035993, 0.0000000006, 16, 0.0000035285, 0.0000000007, 95, 1.00, 0.98
54, 0.0000157008, 0.0000004827, 77, 1.43, 2.72, 0.0000299261, 0.0000000025, 26, 0.0000152808, 0.0000000026, 353, 1.91, 0.97
55, 0.0000032187, 0.0000000017, 2, 0.15, 0.18, 0.0000032187, 0.0000000017, 1, 0.0000032187, 0.0000000017, 1, 1.00, 1.00
56, 0.0000190790, 0.0000000171, 66, 0.80, 2.09, 0.0000190790, 0.0000000171, 42, 0.0000129359, 0.0000000005, 365, 1.00, 0.68
57, 0.0000030958, 0.0000000000, 2, 0.15, 0.41, 0.0000030958, 0.0000000000, 10, 0.0000030958, 0.0000000000, 10, 1.00, 1.00
58, 0.0000153597, 0.0000004178, 86, 1.41, 2.69, 0.0000167645, 0.0000000015, 6, 0.0000106796, 0.0000000083, 459, 1.09, 0.70
59, 0.0000030994, 0.0000000014, 2, 0.15, 0.38, 0.0000030994, 0.0000000014, 9, 0.0000030994, 0.0000000014, 9, 1.00, 1.00
60, 0.0000208208, 0.0000002414, 98, 1.29, 2.58, 0.0000216530, 0.0000000007, 15, 0.0000104848, 0.0000000008, 568, 1.04, 0.50
61, 0.0000028655, 0.0000000001, 2, 0.15, 0.38, 0.0000028655, 0.0000000001, 9, 0.0000028655, 0.0000000001, 9, 1.00, 1.00
62, 0.0000274770, 0.0000004830, 100, 1.48, 2.77, 0.0000318570, 0.0000000003, 2, 0.0000184067, 0.0000000052, 338, 1.16, 0.67
63, 0.0000031840, 0.0000000027, 2, 0.15, 0.31, 0.0000031840, 0.0000000027, 6, 0.0000031840, 0.0000000027, 6, 1.00, 1.00
64, 0.0000031457, 0.0000000003, 6, 0.17, 1.45, 0.0000031457, 0.0000000003, 40, 0.0000029879, 0.0000000014, 93, 1.00, 0.95
65, 0.0000199675, 0.0000004180, 97, 1.30, 2.59, 0.0000410524, 0.0000011690, 8, 0.0000154885, 0.0000000008, 278, 2.06, 0.78
66, 0.0000029180, 0.0000000019, 2, 0.15, 0.41, 0.0000029180, 0.0000000019, 10, 0.0000029180, 0.0000000019, 10, 1.00, 1.00
67, 0.0002201595, 0.0000000000, 94, 1.51, 2.80, 0.0002856261, 0.0000129912, 65, 0.0000167387, 0.0000000001, 214, 1.30, 0.08
68, 0.0000028248, 0.0000000000, 2, 0.15, 0.36, 0.0000028248, 0.0000000000, 8, 0.0000028248, 0.0000000000, 8, 1.00, 1.00
69, 0.0000034509, 0.0000000005, 6, 0.17, 1.07, 0.0000034509, 0.0000000005, 35, 0.0000034509, 0.0000000005, 35, 1.00, 1.00
70, 0.0000023580, 0.0000000000, 2, 0.16, 0.47, 0.0000023580, 0.0000000000, 12, 0.0000023580, 0.0000000000, 12, 1.00, 1.00
71, 0.0000238545, 0.0000001085, 42, 0.85, 2.14, 0.0000238545, 0.0000001085, 1, 0.0000195670, 0.0000000007, 386, 1.00, 0.82
72, 0.0000415185, 0.0000001761, 2, 0.15, 1.44, 0.0000415185, 0.0000001761, 63, 0.0000035889, 0.0000000000, 84, 1.00, 0.09
