BENCH: alexnet
SIZE: 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
39, 0.00030348, 31.49, 56.56, 32, 0.00062315, 25.07, 25, 0.00043677, 128.38, 128, 2.05, 1.44, 0.44, 2.27
40, 0.00014451, 25.39, 50.47, 24, 0.00029363, 25.07, 25, 0.00027910, 64.19, 64, 2.03, 1.93, 0.50, 1.27
41, 0.00004115, 7.31, 32.38, 12, 0.00008830, 25.07, 25, 0.00008597, 64.19, 64, 2.15, 2.09, 0.77, 1.98
42, 0.00156122, 15.24, 40.31, 11, 0.00156122, 25.07, 25, 0.00113182, 256.76, 256, 1.00, 0.72, 0.62, 6.37
43, 0.00013943, 6.63, 31.70, 12, 0.00031087, 25.07, 25, 0.00031087, 64.19, 64, 2.23, 2.23, 0.79, 2.02
44, 0.00003634, 15.29, 40.37, 22, 0.00006414, 25.07, 25, 0.00006414, 64.19, 64, 1.77, 1.77, 0.62, 1.59
45, 0.00011773, 53.64, 78.71, 54, 0.00043486, 25.07, 25, 0.00026580, 64.19, 64, 3.69, 2.26, 0.32, 0.82
46, 0.00023457, 28.70, 53.77, 33, 0.00048451, 25.07, 25, 0.00034747, 128.38, 128, 2.07, 1.48, 0.47, 2.39
47, 0.00054559, 27.94, 53.02, 32, 0.00083311, 25.07, 25, 0.00053120, 192.57, 192, 1.53, 0.97, 0.47, 3.63
48, 0.00000574, 0.66, 25.73, 2, 0.00000723, 25.07, 25, 0.00000723, 64.19, 64, 1.26, 1.26, 0.97, 2.49
49, 0.00109568, 16.67, 41.74, 21, 0.00157697, 25.07, 25, 0.00114196, 256.76, 256, 1.44, 1.04, 0.60, 6.15
50, 0.00008501, 26.43, 51.50, 34, 0.00022326, 25.07, 25, 0.00022326, 64.19, 64, 2.63, 2.63, 0.49, 1.25
51, 0.00024466, 6.31, 31.38, 12, 0.00042106, 25.07, 25, 0.00030316, 128.38, 128, 1.72, 1.24, 0.80, 4.09
52, 0.00007246, 34.30, 59.38, 41, 0.00014244, 25.07, 25, 0.00012743, 64.19, 64, 1.97, 1.76, 0.42, 1.08
53, 0.00010733, 20.31, 45.39, 23, 0.00018188, 25.07, 25, 0.00015752, 64.19, 64, 1.69, 1.47, 0.55, 1.41
54, 0.00016762, 18.39, 43.46, 21, 0.00037013, 25.07, 25, 0.00024422, 128.38, 128, 2.21, 1.46, 0.58, 2.95
55, 0.00006848, 28.35, 53.42, 41, 0.00013655, 25.07, 25, 0.00013541, 64.19, 64, 1.99, 1.98, 0.47, 1.20
56, 0.00018970, 5.31, 30.38, 9, 0.00029646, 25.07, 25, 0.00029646, 64.19, 64, 1.56, 1.56, 0.83, 2.11
57, 0.00105483, 14.87, 39.94, 21, 0.00138735, 25.07, 25, 0.00101945, 256.76, 256, 1.32, 0.97, 0.63, 6.43
58, 0.00018138, 15.24, 40.32, 24, 0.00032867, 25.07, 25, 0.00032425, 128.38, 128, 1.81, 1.79, 0.62, 3.18
59, 0.00005406, 29.37, 54.45, 40, 0.00011288, 25.07, 25, 0.00011288, 64.19, 64, 2.09, 2.09, 0.46, 1.18
60, 0.00043277, 15.41, 40.49, 21, 0.00079045, 25.07, 25, 0.00053799, 128.38, 128, 1.83, 1.24, 0.62, 3.17
61, 0.00001747, 4.56, 29.63, 9, 0.00002755, 25.07, 25, 0.00002755, 64.19, 64, 1.58, 1.58, 0.85, 2.17
62, 0.00021467, 5.23, 30.31, 10, 0.00034035, 25.07, 25, 0.00029789, 128.38, 128, 1.59, 1.39, 0.83, 4.24
63, 0.00006265, 28.05, 53.12, 34, 0.00011990, 25.07, 25, 0.00008038, 64.19, 64, 1.91, 1.28, 0.47, 1.21
64, 0.00065019, 38.06, 63.14, 36, 0.00113075, 25.07, 25, 0.00066766, 192.57, 192, 1.74, 1.03, 0.40, 3.05
65, 0.00049905, 25.41, 50.49, 32, 0.00087680, 25.07, 25, 0.00062360, 128.38, 128, 1.76, 1.25, 0.50, 2.54
66, 0.00019826, 13.97, 39.05, 21, 0.00043890, 25.07, 25, 0.00024324, 128.38, 128, 2.21, 1.23, 0.64, 3.29
67, 0.00005293, 17.07, 42.14, 21, 0.00014039, 25.07, 25, 0.00011788, 64.19, 64, 2.65, 2.23, 0.59, 1.52
68, 0.00043699, 28.08, 53.15, 39, 0.00060503, 25.07, 25, 0.00045880, 128.38, 128, 1.38, 1.05, 0.47, 2.42
69, 0.00022954, 45.43, 70.51, 23, 0.00043871, 25.07, 25, 0.00030104, 128.38, 128, 1.91, 1.31, 0.36, 1.82
70, 0.00013394, 17.42, 42.49, 21, 0.00030215, 25.07, 25, 0.00030215, 64.19, 64, 2.26, 2.26, 0.59, 1.51
71, 0.00002060, 20.55, 45.62, 28, 0.00004471, 25.07, 25, 0.00003456, 128.38, 128, 2.17, 1.68, 0.55, 2.81
72, 0.00003924, 15.90, 40.97, 21, 0.00009961, 25.07, 25, 0.00007987, 64.19, 64, 2.54, 2.04, 0.61, 1.57
SIZE: 50
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-50 (s), tuning time Ansor-50, task Ansor-50, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-50, speedup 10k, speed tuning time top-50, speed tuning time 10k
0, 0.00025048, 36.44, 86.59, 38, 0.00050128, 50.15, 50, 0.00036640, 128.38, 128, 2.00, 1.46, 0.58, 1.48
1, 0.00004697, 31.36, 81.51, 31, 0.00010426, 50.15, 50, 0.00010426, 64.19, 64, 2.22, 2.22, 0.62, 0.79
2, 0.00021121, 25.06, 75.21, 31, 0.00041937, 50.15, 50, 0.00034305, 128.38, 128, 1.99, 1.62, 0.67, 1.71
3, 0.00092220, 9.53, 59.68, 10, 0.00138842, 50.15, 50, 0.00112244, 256.76, 256, 1.51, 1.22, 0.84, 4.30
4, 0.00012241, 36.61, 86.76, 50, 0.00023388, 50.15, 50, 0.00023388, 64.19, 64, 1.91, 1.91, 0.58, 0.74
5, 0.00000377, 0.77, 50.92, 2, 0.00000377, 50.15, 50, 0.00000377, 64.19, 64, 1.00, 1.00, 0.98, 1.26
6, 0.00004211, 28.58, 78.73, 31, 0.00007657, 50.15, 50, 0.00007273, 64.19, 64, 1.82, 1.73, 0.64, 0.82
7, 0.00081241, 30.11, 80.25, 31, 0.00098575, 50.15, 50, 0.00082146, 192.57, 192, 1.21, 1.01, 0.62, 2.40
8, 0.00007664, 23.79, 73.93, 25, 0.00017532, 50.15, 50, 0.00011142, 577.71, 576, 2.29, 1.45, 0.68, 7.81
9, 0.00012544, 26.51, 76.66, 37, 0.00025521, 50.15, 50, 0.00023705, 64.19, 64, 2.03, 1.89, 0.65, 0.84
10, 0.00004058, 7.26, 57.41, 11, 0.00007196, 50.15, 50, 0.00007196, 64.19, 64, 1.77, 1.77, 0.87, 1.12
11, 0.00002313, 8.70, 58.85, 13, 0.00002313, 50.15, 50, 0.00002313, 64.19, 64, 1.00, 1.00, 0.85, 1.09
12, 0.00107376, 8.79, 58.94, 15, 0.00154537, 50.15, 50, 0.00095556, 1219.61, 1216, 1.44, 0.89, 0.85, 20.69
13, 0.00010613, 14.91, 65.06, 21, 0.00020209, 50.15, 50, 0.00020209, 64.19, 64, 1.90, 1.90, 0.77, 0.99
14, 0.00028061, 5.21, 55.36, 10, 0.00049943, 50.15, 50, 0.00036293, 128.38, 128, 1.78, 1.29, 0.91, 2.32
15, 0.00000313, 0.83, 50.97, 2, 0.00000313, 50.15, 50, 0.00000313, 64.19, 64, 1.00, 1.00, 0.98, 1.26
16, 0.00011533, 29.52, 79.67, 21, 0.00017694, 50.15, 50, 0.00017694, 64.19, 64, 1.53, 1.53, 0.63, 0.81
17, 0.00024344, 6.87, 57.02, 13, 0.00047071, 50.15, 50, 0.00038635, 128.38, 128, 1.93, 1.59, 0.88, 2.25
18, 0.00006230, 15.84, 65.99, 22, 0.00011517, 50.15, 50, 0.00011517, 64.19, 64, 1.85, 1.85, 0.76, 0.97
19, 0.00027079, 11.44, 61.59, 20, 0.00045881, 50.15, 50, 0.00036766, 898.66, 896, 1.69, 1.36, 0.81, 14.59
20, 0.00007557, 28.94, 79.09, 31, 0.00015538, 50.15, 50, 0.00015538, 64.19, 64, 2.06, 2.06, 0.63, 0.81
