BENCH: googlenet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0000266704, 0.0000000005, 50, 0.57, 0.83, 0.0000266704, 0.0000000005, 4, 0.0000112858, 0.0000000004, 219, 1.00, 0.42
1, 0.0000134823, 0.0000002416, 90, 1.13, 1.15, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 741711375380127.12, 741711375380127.12
2, 0.0001034238, 0.0000004180, 97, 1.07, 1.33, 0.0002550382, 0.0000027002, 18, 0.0000166258, 0.0000000046, 147, 2.47, 0.16
3, 0.0000563200, 0.0000004180, 100, 0.99, 1.25, 0.0001428269, 0.0000054115, 65, 0.0000179433, 0.0000000010, 212, 2.54, 0.32
4, 0.0000037390, 0.0000000022, 6, 0.11, 0.37, 0.0000037390, 0.0000000022, 62, 0.0000031763, 0.0000000001, 119, 1.00, 0.85
5, 0.0002124571, 0.0000000169, 58, 0.44, 0.70, 0.0002124571, 0.0000000169, 10, 0.0000105715, 0.0000000012, 265, 1.00, 0.05
6, 0.0000472747, 0.0000002414, 97, 0.86, 1.12, 0.0000478022, 0.0000019701, 65, 0.0000107496, 0.0000000014, 174, 1.01, 0.23
7, 0.0000117157, 0.0000000033, 44, 0.49, 0.75, 0.0000117157, 0.0000000033, 28, 0.0000099949, 0.0000000017, 74, 1.00, 0.85
8, 0.0000366933, 0.0000008702, 93, 0.83, 1.09, 0.0000450716, 0.0000000173, 5, 0.0000131309, 0.0000000089, 99, 1.23, 0.36
9, 0.0000215358, 0.0000000026, 49, 0.68, 0.93, 0.0000215358, 0.0000000026, 10, 0.0000196229, 0.0000000164, 178, 1.00, 0.91
10, 0.0000037681, 0.0000000001, 6, 0.11, 0.37, 0.0000037681, 0.0000000001, 7, 0.0000037145, 0.0000000001, 122, 1.00, 0.99
11, 0.0000184320, 0.0000004180, 84, 0.98, 1.23, 0.0000264432, 0.0000000014, 6, 0.0000117994, 0.0000000007, 282, 1.43, 0.64
12, 0.0000155989, 0.0000005066, 64, 0.55, 0.81, 0.0000155989, 0.0000005066, 1, 0.0000066635, 0.0000000006, 207, 1.00, 0.43
13, 0.0000173878, 0.0000000018, 53, 0.64, 0.90, 0.0000173878, 0.0000000018, 4, 0.0000114000, 0.0000000005, 241, 1.00, 0.66
14, 0.0000402768, 0.0000002414, 93, 0.93, 1.19, 0.0000525910, 0.0000000035, 9, 0.0000117920, 0.0000000004, 79, 1.31, 0.29
15, 0.0000637128, 0.0000000105, 35, 0.51, 0.77, 0.0000637128, 0.0000000105, 10, 0.0000215026, 0.0000000144, 486, 1.00, 0.34
16, 0.0000085540, 0.0000000003, 56, 0.44, 0.57, 0.0000085540, 0.0000000003, 5, 0.0000085540, 0.0000000003, 5, 1.00, 1.00
17, 0.0000163626, 0.0000000024, 65, 0.56, 0.82, 0.0000163626, 0.0000000024, 2, 0.0000107591, 0.0000000026, 245, 1.00, 0.66
18, 0.0000453973, 0.0000006386, 85, 0.88, 1.13, 0.0000511360, 0.0000000168, 7, 0.0000121701, 0.0000000003, 264, 1.13, 0.27
19, 0.0000332798, 0.0000004183, 81, 0.93, 1.19, 0.0000497915, 0.0000000020, 7, 0.0000198681, 0.0000000022, 376, 1.50, 0.60
20, 0.0000462181, 0.0000000043, 35, 0.53, 0.79, 0.0000462181, 0.0000000043, 7, 0.0000184180, 0.0000000006, 287, 1.00, 0.40
21, 0.0000031754, 0.0000000013, 2, 0.09, 0.22, 0.0000031754, 0.0000000013, 5, 0.0000031754, 0.0000000013, 5, 1.00, 1.00
22, 0.0000382293, 0.0000002414, 96, 0.90, 1.15, 0.0000393627, 0.0000000029, 7, 0.0000096163, 0.0000000004, 625, 1.03, 0.25
23, 0.0000155302, 0.0000002414, 73, 1.09, 1.35, 0.0000174248, 0.0000000036, 9, 0.0000076890, 0.0000000006, 361, 1.12, 0.50
24, 0.0000131917, 0.0000000028, 66, 0.65, 0.91, 0.0000131917, 0.0000000028, 2, 0.0000112665, 0.0000000054, 427, 1.00, 0.85
25, 0.0000305492, 0.0000004825, 57, 0.96, 1.21, 0.0000316964, 0.0000000041, 9, 0.0000217327, 0.0000000002, 435, 1.04, 0.71
26, 0.0000034365, 0.0000000021, 7, 0.11, 0.37, 0.0000034365, 0.0000000021, 3, 0.0000033718, 0.0000000000, 114, 1.00, 0.98
27, 0.0000143618, 0.0000000109, 65, 0.51, 0.76, 0.0000143618, 0.0000000109, 5, 0.0000098818, 0.0000000004, 244, 1.00, 0.69
28, 0.0000102925, 0.0000000004, 64, 0.49, 0.75, 0.0000102925, 0.0000000004, 10, 0.0000067239, 0.0000000048, 230, 1.00, 0.65
29, 0.0000124885, 0.0000000023, 63, 0.51, 0.77, 0.0000124885, 0.0000000023, 5, 0.0000112003, 0.0000000020, 88, 1.00, 0.90
30, 0.0000307702, 0.0000000112, 66, 0.56, 0.82, 0.0000307702, 0.0000000112, 4, 0.0000112234, 0.0000000005, 197, 1.00, 0.36
31, 0.0000276518, 0.0000000026, 54, 0.49, 0.75, 0.0000276518, 0.0000000026, 5, 0.0000151171, 0.0000000091, 287, 1.00, 0.55
32, 0.0000038802, 0.0000000003, 2, 0.09, 0.35, 0.0000038802, 0.0000000003, 8, 0.0000038660, 0.0000000001, 94, 1.00, 1.00
33, 0.0000162044, 0.0000000032, 66, 0.54, 0.80, 0.0000162044, 0.0000000032, 8, 0.0000090264, 0.0000000004, 248, 1.00, 0.56
