BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
4, 0.0001455679, 0.0000004375, 10, 0.079, 1.029, 0.0001455679, 0.0000004375, 29, 0.0001455679, 0.0000004375, 29, 0.949, 1.00, 1.00
5, 0.0000224853, 0.0000000106, 10, 0.075, 0.141, 0.0000224853, 0.0000000106, 2, 0.0000224853, 0.0000000106, 2, 0.065, 1.00, 1.00
6, 0.0179086562, 0.0000306784, 100, 2.490, 9.037, 0.0188524486, 0.0000096708, 124, 0.0174059682, 0.0000006654, 618, 20.232, 1.05, 0.97
7, 0.0001719801, 0.0000001901, 10, 0.077, 0.110, 0.0001719801, 0.0000001901, 1, 0.0001719801, 0.0000001901, 1, 0.033, 1.00, 1.00
8, 0.0348241555, 0.0000170090, 100, 1.620, 8.168, 0.0350160971, 0.0000092041, 182, 0.0349032073, 0.0000035902, 451, 14.765, 1.01, 1.00
9, 0.0000233103, 0.0000041067, 22, 0.267, 0.594, 0.0000337091, 0.0000003952, 10, 0.0000337091, 0.0000003952, 10, 0.327, 1.45, 1.45
10, 0.0000445685, 0.0000001018, 10, 0.077, 0.143, 0.0000445685, 0.0000001018, 2, 0.0000445685, 0.0000001018, 2, 0.065, 1.00, 1.00
11, 0.0176750968, 0.0000091856, 100, 1.291, 7.838, 0.0183114427, 0.0000038305, 200, 0.0175102084, 0.0000025736, 788, 25.797, 1.04, 0.99
12, 0.0000856021, 0.0000000826, 10, 0.077, 0.143, 0.0000856021, 0.0000000826, 2, 0.0000856021, 0.0000000826, 2, 0.065, 1.00, 1.00
13, 0.0351314107, 0.0000107314, 100, 2.288, 8.835, 0.0380540250, 0.0001676098, 144, 0.0347967882, 0.0000069069, 1351, 44.228, 1.08, 0.99
14, 0.0000149648, 0.0000000319, 10, 0.077, 0.928, 0.0000175983, 0.0000012747, 26, 0.0000175983, 0.0000012747, 26, 0.851, 1.18, 1.18
15, 0.0000238671, 0.0000000467, 10, 0.074, 0.107, 0.0000238671, 0.0000000467, 1, 0.0000238671, 0.0000000467, 1, 0.033, 1.00, 1.00
16, 0.0102054325, 0.0000267765, 100, 1.253, 7.801, 0.0103331054, 0.0000051164, 179, 0.0088566570, 0.0000016726, 672, 21.999, 1.01, 0.87
