BENCH: alexnet
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
26, 0.00016640, 0.00000052, 90, 0.64, 0.00017675, 0.00000026, 1.06
27, 0.00020058, 0.00000040, 37, 0.09, 0.00020058, 0.00000040, 1.00
28, 0.00015156, 0.00000111, 100, 0.36, 0.00017983, 0.00000016, 1.19
29, 0.00013186, 0.00000151, 37, 0.09, 0.00013186, 0.00000151, 1.00
30, 0.00013881, 0.00000176, 71, 0.29, 0.00014745, 0.00000024, 1.06
31, 0.00013096, 0.00000031, 73, 0.33, 0.00014106, 0.00000017, 1.08
32, 0.00012182, 0.00000015, 71, 0.31, 0.00013308, 0.00000039, 1.09
33, 0.00012783, 0.00000013, 37, 0.10, 0.00012783, 0.00000013, 1.00
34, 0.00009795, 0.00000103, 100, 0.17, 0.00010523, 0.00000013, 1.07
35, 0.00010182, 0.00000023, 100, 0.55, 0.00010703, 0.00000013, 1.05
36, 0.00008932, 0.00000007, 100, 0.27, 0.00009777, 0.00000015, 1.09
37, 0.00007749, 0.00000059, 96, 0.33, 0.00009922, 0.00000009, 1.28
38, 0.00011473, 0.00000236, 76, 0.33, 0.00013251, 0.00000023, 1.15
39, 0.00006161, 0.00000027, 100, 0.28, 0.00006530, 0.00000008, 1.06
40, 0.00006415, 0.00000011, 96, 0.44, 0.00006669, 0.00000005, 1.04
41, 0.00006324, 0.00000125, 69, 0.35, 0.00006471, 0.00000010, 1.02
42, 0.00037621, 0.00000438, 72, 0.17, 0.00041251, 0.00000064, 1.10
43, 0.00037016, 0.00000459, 82, 0.24, 0.00038835, 0.00000090, 1.05
44, 0.00031379, 0.00000223, 82, 0.25, 0.00032907, 0.00000029, 1.05
45, 0.00031938, 0.00000361, 77, 0.32, 0.00032792, 0.00000058, 1.03
46, 0.00028450, 0.00000131, 100, 0.24, 0.00030515, 0.00000134, 1.07
47, 0.00030736, 0.00000025, 37, 0.10, 0.00030736, 0.00000025, 1.00
48, 0.00024290, 0.00000086, 74, 0.37, 0.00025510, 0.00000032, 1.05
49, 0.00021328, 0.00000018, 51, 0.27, 0.00022679, 0.00000118, 1.06
50, 0.00017548, 0.00000061, 60, 0.34, 0.00018708, 0.00000014, 1.07
51, 0.00016292, 0.00000073, 100, 0.34, 0.00020296, 0.00000025, 1.25
52, 0.00013547, 0.00000046, 72, 0.37, 0.00014845, 0.00000031, 1.10
53, 0.00016713, 0.00000029, 46, 0.15, 0.00016713, 0.00000029, 1.00
54, 0.00020398, 0.00000143, 72, 0.21, 0.00021586, 0.00000018, 1.06
55, 0.00059921, 0.00001048, 84, 0.65, 0.00062755, 0.00000104, 1.05
56, 0.00045891, 0.00000461, 100, 0.45, 0.00048401, 0.00000018, 1.05
57, 0.00038372, 0.00000831, 46, 0.15, 0.00038372, 0.00000831, 1.00
58, 0.00029845, 0.00000149, 100, 0.33, 0.00030663, 0.00000027, 1.03
59, 0.00023387, 0.00000107, 46, 0.19, 0.00023387, 0.00000107, 1.00
60, 0.00000608, 0.00000002, 11, 0.02, 0.00000608, 0.00000002, 1.00
61, 0.00000683, 0.00000002, 10, 0.02, 0.00000683, 0.00000002, 1.00
62, 0.00082611, 0.00000828, 82, 0.39, 0.00086318, 0.00000222, 1.04
63, 0.00001666, 0.00000002, 16, 0.05, 0.00001666, 0.00000002, 1.00
64, 0.00001963, 0.00000006, 10, 0.02, 0.00001963, 0.00000006, 1.00
65, 0.00065575, 0.00001161, 71, 0.18, 0.00068912, 0.00000086, 1.05
66, 0.00079793, 0.00001277, 96, 0.75, 0.00084733, 0.00000075, 1.06
67, 0.00080286, 0.00000057, 46, 0.20, 0.00080286, 0.00000057, 1.00
68, 0.00003272, 0.00000173, 14, 0.04, 0.00011340, 0.00000009, 3.47
69, 0.00000584, 0.00000000, 38, 0.06, 0.00000584, 0.00000000, 1.00
70, 0.00076236, 0.00001114, 71, 0.19, 0.00084948, 0.00000097, 1.11
71, 0.00001612, 0.00000033, 14, 0.04, 0.00005735, 0.00000008, 3.56
72, 0.00000473, 0.00000001, 41, 0.06, 0.00000473, 0.00000001, 1.00
73, 0.00074052, 0.00001010, 84, 0.31, 0.00077954, 0.00000051, 1.05
74, 0.00000751, 0.00000008, 14, 0.04, 0.00002876, 0.00000012, 3.83
75, 0.00000393, 0.00000001, 33, 0.05, 0.00000393, 0.00000001, 1.00
76, 0.00000351, 0.00000000, 37, 0.05, 0.00000351, 0.00000000, 1.00
77, 0.00000022, 0.00000001, 14, 0.04, 0.00000656, 0.00000001, 29.74
78, 0.00001243, 0.00000002, 1, 0.07, 0.00001243, 0.00000002, 1.00
79, 0.00000732, 0.00000000, 33, 0.05, 0.00000732, 0.00000000, 1.00
BENCH: densenet161
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00016996, 0.00000103, 83, 0.17, 0.00018884, 0.00000094, 1.11
1, 0.00018300, 0.00000145, 84, 0.16, 0.00019930, 0.00000021, 1.09
2, 0.00015096, 0.00000317, 72, 0.13, 0.00016135, 0.00000015, 1.07
3, 0.00021157, 0.00000075, 74, 0.14, 0.00022609, 0.00000020, 1.07
4, 0.00018457, 0.00000203, 80, 0.16, 0.00020047, 0.00000014, 1.09
5, 0.00017429, 0.00000864, 100, 0.19, 0.00021145, 0.00000039, 1.21
6, 0.00016758, 0.00000081, 100, 0.22, 0.00018459, 0.00000032, 1.10
7, 0.00016384, 0.00000158, 81, 0.16, 0.00016826, 0.00000055, 1.03
8, 0.00014510, 0.00000157, 100, 0.21, 0.00025022, 0.00000034, 1.72
9, 0.00017627, 0.00000212, 100, 0.23, 0.00024140, 0.00000011, 1.37
10, 0.00014610, 0.00000017, 100, 0.23, 0.00016164, 0.00000018, 1.11
11, 0.00011384, 0.00000018, 81, 0.14, 0.00018245, 0.00000022, 1.60
12, 0.00014641, 0.00000039, 100, 0.20, 0.00017814, 0.00000010, 1.22
13, 0.00013518, 0.00000105, 100, 0.39, 0.00018334, 0.00000246, 1.36
14, 0.00011891, 0.00000274, 100, 0.19, 0.00013381, 0.00000012, 1.13
15, 0.00011610, 0.00000033, 100, 0.22, 0.00013199, 0.00000019, 1.14
16, 0.00015253, 0.00000072, 100, 0.20, 0.00016518, 0.00000033, 1.08
17, 0.00011272, 0.00000033, 100, 0.18, 0.00022196, 0.00000035, 1.97
18, 0.00010597, 0.00000013, 74, 0.12, 0.00012121, 0.00000006, 1.14
19, 0.00012601, 0.00000145, 100, 0.28, 0.00014189, 0.00000019, 1.13
20, 0.00011933, 0.00000117, 72, 0.13, 0.00012890, 0.00000018, 1.08
21, 0.00009766, 0.00000085, 72, 0.13, 0.00011138, 0.00000025, 1.14
22, 0.00007716, 0.00000023, 100, 0.17, 0.00008291, 0.00000005, 1.07
23, 0.00012479, 0.00000021, 72, 0.23, 0.00013109, 0.00000006, 1.05
24, 0.00004358, 0.00000040, 100, 0.45, 0.00004739, 0.00000003, 1.09
25, 0.00063347, 0.00000596, 100, 0.24, 0.00071531, 0.00000047, 1.13
26, 0.00061271, 0.00000537, 100, 0.27, 0.00070430, 0.00000158, 1.15
27, 0.00057039, 0.00000758, 89, 0.23, 0.00060357, 0.00000044, 1.06
28, 0.00065560, 0.00000253, 77, 0.25, 0.00071530, 0.00000055, 1.09
29, 0.00060588, 0.00000489, 75, 0.24, 0.00063926, 0.00000063, 1.06
30, 0.00052232, 0.00000981, 100, 0.25, 0.00057248, 0.00000043, 1.10
31, 0.00056224, 0.00000959, 100, 0.24, 0.00063878, 0.00000260, 1.14
32, 0.00055985, 0.00000849, 100, 0.29, 0.00061703, 0.00000046, 1.10
33, 0.00053112, 0.00000938, 100, 0.22, 0.00057019, 0.00000015, 1.07
34, 0.00047756, 0.00000215, 100, 0.27, 0.00059105, 0.00000065, 1.24
35, 0.00055567, 0.00001086, 100, 0.25, 0.00065260, 0.00000131, 1.17
36, 0.00053722, 0.00001099, 100, 0.43, 0.00067675, 0.00000040, 1.26
37, 0.00056726, 0.00001115, 82, 0.26, 0.00065700, 0.00000057, 1.16
38, 0.00055335, 0.00001557, 100, 0.36, 0.00057054, 0.00000188, 1.03
39, 0.00048319, 0.00000409, 71, 0.18, 0.00057094, 0.00000325, 1.18
40, 0.00044109, 0.00000370, 96, 0.41, 0.00052332, 0.00000104, 1.19
41, 0.00040749, 0.00000809, 100, 0.48, 0.00055500, 0.00000053, 1.36
42, 0.00042474, 0.00000361, 70, 0.37, 0.00049803, 0.00000081, 1.17
43, 0.00037079, 0.00000443, 76, 0.17, 0.00049160, 0.00000053, 1.33
44, 0.00037949, 0.00000671, 100, 0.27, 0.00048469, 0.00000036, 1.28
45, 0.00036936, 0.00000195, 72, 0.18, 0.00040535, 0.00000079, 1.10
46, 0.00041576, 0.00000939, 100, 0.43, 0.00046441, 0.00000076, 1.12
47, 0.00035355, 0.00000350, 100, 0.36, 0.00040809, 0.00000162, 1.15
48, 0.00028577, 0.00000200, 79, 0.31, 0.00030893, 0.00000046, 1.08
49, 0.00031422, 0.00000362, 81, 0.18, 0.00041785, 0.00000170, 1.33
50, 0.00031058, 0.00000196, 99, 0.52, 0.00036997, 0.00000074, 1.19
51, 0.00038353, 0.00000156, 100, 0.30, 0.00040980, 0.00000104, 1.07
52, 0.00030382, 0.00000048, 100, 0.64, 0.00035160, 0.00000077, 1.16
53, 0.00026824, 0.00000254, 71, 0.17, 0.00028640, 0.00000028, 1.07
54, 0.00021581, 0.00000039, 100, 0.36, 0.00035591, 0.00000029, 1.65
55, 0.00027841, 0.00000011, 40, 0.07, 0.00027841, 0.00000011, 1.00
56, 0.00019926, 0.00000142, 100, 0.32, 0.00021535, 0.00000027, 1.08
57, 0.00018568, 0.00000069, 100, 0.31, 0.00021301, 0.00000038, 1.15
58, 0.00014846, 0.00000154, 100, 0.51, 0.00016542, 0.00000071, 1.11
59, 0.00013228, 0.00000150, 100, 0.18, 0.00014106, 0.00000032, 1.07
60, 0.00017605, 0.00000124, 100, 0.21, 0.00018712, 0.00000019, 1.06
61, 0.00012029, 0.00000015, 81, 0.17, 0.00013327, 0.00000024, 1.11
62, 0.00087854, 0.00001656, 89, 0.33, 0.00092291, 0.00000051, 1.05
63, 0.00078858, 0.00000554, 100, 0.41, 0.00083633, 0.00000138, 1.06
64, 0.00075359, 0.00000326, 100, 0.33, 0.00076867, 0.00000055, 1.02
65, 0.00076042, 0.00001155, 89, 0.37, 0.00079798, 0.00000084, 1.05
66, 0.00068309, 0.00000009, 37, 0.09, 0.00068309, 0.00000009, 1.00
67, 0.00064098, 0.00000779, 75, 0.35, 0.00066171, 0.00000021, 1.03
68, 0.00050056, 0.00000048, 40, 0.14, 0.00050056, 0.00000048, 1.00
69, 0.00048128, 0.00000051, 37, 0.10, 0.00048128, 0.00000051, 1.00
70, 0.00045738, 0.00000249, 69, 0.31, 0.00049662, 0.00000214, 1.09
71, 0.00043640, 0.00000170, 91, 0.57, 0.00046634, 0.00000123, 1.07
72, 0.00037399, 0.00000441, 97, 0.50, 0.00039521, 0.00000014, 1.06
73, 0.00029676, 0.00000047, 37, 0.14, 0.00029676, 0.00000047, 1.00
74, 0.00049554, 0.00000166, 75, 0.36, 0.00052052, 0.00000039, 1.05
75, 0.00149571, 0.00003535, 95, 0.51, 0.00154967, 0.00000079, 1.04
76, 0.00143507, 0.00003261, 75, 0.37, 0.00148278, 0.00000187, 1.03
77, 0.00104668, 0.00001491, 80, 0.29, 0.00106945, 0.00000080, 1.02
78, 0.00093178, 0.00001606, 73, 0.18, 0.00096170, 0.00000115, 1.03
79, 0.00066843, 0.00000637, 100, 0.37, 0.00069504, 0.00000029, 1.04
80, 0.00056802, 0.00000214, 99, 0.52, 0.00058564, 0.00000024, 1.03
81, 0.00189907, 0.00003018, 86, 0.85, 0.00195996, 0.00000026, 1.03
82, 0.00000674, 0.00000002, 10, 0.02, 0.00000674, 0.00000002, 1.00
83, 0.00132865, 0.00002667, 100, 0.46, 0.00136477, 0.00000032, 1.03
84, 0.00002030, 0.00000004, 16, 0.04, 0.00002030, 0.00000004, 1.00
85, 0.00163512, 0.00002233, 100, 0.48, 0.00165827, 0.00000089, 1.01
86, 0.00005316, 0.00000277, 14, 0.05, 0.00016781, 0.00000031, 3.16
87, 0.00000808, 0.00000001, 33, 0.05, 0.00000808, 0.00000001, 1.00
88, 0.00191312, 0.00003873, 73, 0.21, 0.00193543, 0.00000334, 1.01
89, 0.00002726, 0.00000022, 14, 0.04, 0.00008427, 0.00000009, 3.09
90, 0.00000523, 0.00000000, 16, 0.04, 0.00000523, 0.00000000, 1.00
91, 0.00357287, 0.00002491, 75, 0.31, 0.00358624, 0.00000160, 1.00
92, 0.00001605, 0.00000034, 14, 0.04, 0.00005655, 0.00000106, 3.52
93, 0.00000470, 0.00000000, 38, 0.07, 0.00000470, 0.00000000, 1.00
94, 0.00000397, 0.00000001, 16, 0.03, 0.00000397, 0.00000001, 1.00
95, 0.00000038, 0.00000002, 17, 0.06, 0.00000666, 0.00000002, 17.34
96, 0.00002233, 0.00000001, 1, 0.06, 0.00002233, 0.00000001, 1.00
97, 0.00000729, 0.00000003, 36, 0.05, 0.00000729, 0.00000003, 1.00
BENCH: densenet169
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00008395, 0.00000094, 100, 0.23, 0.00013068, 0.00000016, 1.56
1, 0.00011474, 0.00000028, 100, 0.27, 0.00012462, 0.00000007, 1.09
2, 0.00009167, 0.00000124, 72, 0.13, 0.00009699, 0.00000026, 1.06
3, 0.00009276, 0.00000014, 75, 0.27, 0.00010022, 0.00000006, 1.08
4, 0.00010188, 0.00000053, 100, 0.26, 0.00010817, 0.00000022, 1.06
5, 0.00008919, 0.00000062, 100, 0.18, 0.00013381, 0.00000001, 1.50
6, 0.00010156, 0.00000143, 72, 0.14, 0.00010977, 0.00000010, 1.08
7, 0.00008481, 0.00000185, 79, 0.16, 0.00009305, 0.00000014, 1.10
8, 0.00007804, 0.00000036, 82, 0.14, 0.00008266, 0.00000002, 1.06
9, 0.00008060, 0.00000031, 100, 0.21, 0.00009862, 0.00000009, 1.22
10, 0.00008911, 0.00000025, 72, 0.22, 0.00009113, 0.00000007, 1.02
11, 0.00008129, 0.00000137, 79, 0.17, 0.00008539, 0.00000005, 1.05
12, 0.00007616, 0.00000063, 72, 0.19, 0.00008181, 0.00000026, 1.07
13, 0.00007798, 0.00000172, 74, 0.14, 0.00008404, 0.00000007, 1.08
14, 0.00006419, 0.00000012, 72, 0.14, 0.00007963, 0.00000005, 1.24
15, 0.00007199, 0.00000024, 100, 0.25, 0.00008526, 0.00000003, 1.18
16, 0.00007578, 0.00000067, 99, 0.38, 0.00008032, 0.00000018, 1.06
17, 0.00007193, 0.00000130, 72, 0.13, 0.00007278, 0.00000019, 1.01
18, 0.00006048, 0.00000015, 98, 0.20, 0.00007764, 0.00000005, 1.28
19, 0.00007509, 0.00000131, 71, 0.30, 0.00007543, 0.00000023, 1.00
20, 0.00005918, 0.00000092, 100, 0.28, 0.00006371, 0.00000011, 1.08
21, 0.00007585, 0.00000010, 40, 0.07, 0.00007585, 0.00000010, 1.00
22, 0.00005775, 0.00000031, 82, 0.22, 0.00005988, 0.00000018, 1.04
23, 0.00005804, 0.00000020, 37, 0.07, 0.00005804, 0.00000020, 1.00
24, 0.00005594, 0.00000051, 100, 0.30, 0.00006249, 0.00000010, 1.12
25, 0.00005270, 0.00000009, 37, 0.08, 0.00005270, 0.00000009, 1.00
26, 0.00004770, 0.00000059, 100, 0.16, 0.00005175, 0.00000003, 1.08
27, 0.00004089, 0.00000013, 100, 0.18, 0.00004575, 0.00000015, 1.12
28, 0.00004505, 0.00000032, 81, 0.15, 0.00004617, 0.00000006, 1.02
29, 0.00004325, 0.00000011, 100, 0.28, 0.00005493, 0.00000363, 1.27
30, 0.00004375, 0.00000018, 72, 0.11, 0.00005201, 0.00000058, 1.19
31, 0.00003996, 0.00000018, 100, 0.23, 0.00004878, 0.00000011, 1.22
32, 0.00001858, 0.00000011, 100, 0.22, 0.00001968, 0.00000003, 1.06
33, 0.00026358, 0.00000035, 71, 0.21, 0.00028923, 0.00000010, 1.10
34, 0.00024652, 0.00000081, 100, 0.25, 0.00025849, 0.00000120, 1.05
35, 0.00022644, 0.00000152, 82, 0.19, 0.00024450, 0.00000029, 1.08
36, 0.00024737, 0.00000120, 92, 0.55, 0.00028399, 0.00000003, 1.15
37, 0.00024434, 0.00000091, 93, 0.55, 0.00026142, 0.00000010, 1.07
38, 0.00021386, 0.00000017, 37, 0.08, 0.00021386, 0.00000017, 1.00
39, 0.00024912, 0.00000205, 98, 0.49, 0.00027902, 0.00000020, 1.12
40, 0.00028085, 0.00000139, 97, 0.22, 0.00029976, 0.00000072, 1.07
41, 0.00023234, 0.00000116, 73, 0.13, 0.00030101, 0.00000073, 1.30
42, 0.00018069, 0.00000037, 91, 0.18, 0.00022957, 0.00000029, 1.27
43, 0.00022729, 0.00000182, 70, 0.13, 0.00024651, 0.00000031, 1.08
44, 0.00018680, 0.00000194, 100, 0.20, 0.00025514, 0.00000520, 1.37
45, 0.00016442, 0.00000230, 79, 0.15, 0.00021487, 0.00000006, 1.31
46, 0.00022630, 0.00000107, 72, 0.28, 0.00024017, 0.00000017, 1.06
47, 0.00019093, 0.00000015, 97, 0.52, 0.00023929, 0.00000003, 1.25
48, 0.00021143, 0.00000241, 72, 0.14, 0.00022418, 0.00000034, 1.06
49, 0.00019498, 0.00000031, 91, 0.57, 0.00020908, 0.00000055, 1.07
50, 0.00017830, 0.00000215, 100, 0.45, 0.00020694, 0.00000694, 1.16
51, 0.00015446, 0.00000093, 100, 0.20, 0.00019849, 0.00000024, 1.29
52, 0.00014877, 0.00000223, 100, 0.43, 0.00018544, 0.00000066, 1.25
53, 0.00015128, 0.00000472, 100, 0.24, 0.00016763, 0.00000015, 1.11
54, 0.00013504, 0.00000025, 81, 0.38, 0.00014423, 0.00000017, 1.07
55, 0.00011396, 0.00000106, 100, 0.26, 0.00013730, 0.00000028, 1.20
56, 0.00015078, 0.00000201, 56, 0.27, 0.00016134, 0.00000036, 1.07
57, 0.00012282, 0.00000045, 84, 0.13, 0.00013292, 0.00000016, 1.08
58, 0.00010069, 0.00000009, 37, 0.07, 0.00010069, 0.00000009, 1.00
59, 0.00009128, 0.00000055, 100, 0.17, 0.00011078, 0.00000046, 1.21
60, 0.00009429, 0.00000122, 82, 0.32, 0.00009827, 0.00000022, 1.04
61, 0.00010653, 0.00000117, 79, 0.17, 0.00011531, 0.00000030, 1.08
62, 0.00011023, 0.00000116, 75, 0.32, 0.00011405, 0.00000006, 1.03
63, 0.00006656, 0.00000008, 40, 0.09, 0.00006656, 0.00000008, 1.00
64, 0.00005937, 0.00000060, 100, 0.44, 0.00006692, 0.00000009, 1.13
65, 0.00005749, 0.00000025, 72, 0.20, 0.00006218, 0.00000006, 1.08
66, 0.00039089, 0.00000308, 100, 0.31, 0.00043369, 0.00000036, 1.11
67, 0.00034049, 0.00000121, 81, 0.23, 0.00036251, 0.00000078, 1.06
68, 0.00035114, 0.00000668, 71, 0.31, 0.00035711, 0.00000031, 1.02
69, 0.00030747, 0.00000429, 79, 0.22, 0.00031683, 0.00000024, 1.03
70, 0.00028996, 0.00000119, 96, 0.36, 0.00029828, 0.00000012, 1.03
71, 0.00025030, 0.00000281, 81, 0.19, 0.00028331, 0.00000010, 1.13
72, 0.00025069, 0.00000015, 96, 0.51, 0.00027169, 0.00000024, 1.08
73, 0.00026578, 0.00000141, 81, 0.43, 0.00027801, 0.00000062, 1.05
74, 0.00019411, 0.00000136, 95, 0.55, 0.00025532, 0.00000027, 1.32
75, 0.00017958, 0.00000013, 37, 0.16, 0.00017958, 0.00000013, 1.00
76, 0.00016333, 0.00000120, 82, 0.26, 0.00018340, 0.00000012, 1.12
77, 0.00018446, 0.00000204, 100, 0.21, 0.00019292, 0.00000030, 1.05
78, 0.00020196, 0.00000109, 100, 0.31, 0.00021703, 0.00000044, 1.07
79, 0.00055898, 0.00000343, 75, 0.28, 0.00058461, 0.00001116, 1.05
80, 0.00046859, 0.00000051, 37, 0.10, 0.00046859, 0.00000051, 1.00
81, 0.00042216, 0.00000275, 60, 0.41, 0.00044040, 0.00000039, 1.04
82, 0.00032005, 0.00000060, 74, 0.19, 0.00033962, 0.00000037, 1.06
83, 0.00020311, 0.00000199, 67, 0.36, 0.00021886, 0.00000037, 1.08
84, 0.00000583, 0.00000005, 10, 0.02, 0.00000583, 0.00000005, 1.00
85, 0.00000707, 0.00000001, 10, 0.02, 0.00000707, 0.00000001, 1.00
86, 0.00085883, 0.00000931, 76, 0.34, 0.00090090, 0.00000309, 1.05
87, 0.00001671, 0.00000025, 16, 0.05, 0.00001692, 0.00000002, 1.01
88, 0.00002067, 0.00000031, 15, 0.04, 0.00002072, 0.00000003, 1.00
89, 0.00068176, 0.00001086, 72, 0.15, 0.00072366, 0.00000089, 1.06
90, 0.00079885, 0.00001514, 99, 0.52, 0.00084572, 0.00000153, 1.06
91, 0.00077037, 0.00000782, 91, 0.30, 0.00080225, 0.00000090, 1.04
92, 0.00003230, 0.00000065, 20, 0.08, 0.00011402, 0.00000010, 3.53
93, 0.00000591, 0.00000001, 38, 0.06, 0.00000591, 0.00000001, 1.00
94, 0.00073726, 0.00000322, 100, 0.32, 0.00080710, 0.00000033, 1.09
95, 0.00001625, 0.00000015, 10, 0.02, 0.00005729, 0.00000016, 3.53
96, 0.00000498, 0.00000001, 33, 0.05, 0.00000498, 0.00000001, 1.00
97, 0.00131247, 0.00002996, 70, 0.19, 0.00134841, 0.00000322, 1.03
98, 0.00000957, 0.00000020, 14, 0.04, 0.00003523, 0.00000010, 3.68
99, 0.00000418, 0.00000003, 33, 0.05, 0.00000418, 0.00000003, 1.00
100, 0.00000390, 0.00000001, 16, 0.03, 0.00000390, 0.00000001, 1.00
101, 0.00000032, 0.00000002, 14, 0.04, 0.00000679, 0.00000000, 21.28
102, 0.00001813, 0.00000003, 1, 0.07, 0.00001813, 0.00000003, 1.00
103, 0.00000432, 0.00000004, 89, 0.15, 0.00000761, 0.00000001, 1.76
BENCH: densenet201
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00010353, 0.00000022, 100, 0.22, 0.00011544, 0.00000037, 1.12
1, 0.00008925, 0.00000084, 100, 0.26, 0.00011374, 0.00000011, 1.27
2, 0.00015517, 0.00000037, 40, 0.07, 0.00015517, 0.00000037, 1.00
3, 0.00013285, 0.00000010, 82, 0.21, 0.00014370, 0.00000015, 1.08
4, 0.00010839, 0.00000011, 72, 0.15, 0.00011708, 0.00000046, 1.08
5, 0.00010586, 0.00000127, 82, 0.22, 0.00011159, 0.00000036, 1.05
6, 0.00010187, 0.00000181, 74, 0.18, 0.00010764, 0.00000014, 1.06
7, 0.00010026, 0.00000031, 100, 0.50, 0.00011169, 0.00000007, 1.11
8, 0.00011876, 0.00000213, 100, 0.20, 0.00012511, 0.00000017, 1.05
9, 0.00010214, 0.00000227, 92, 0.56, 0.00011451, 0.00000011, 1.12
10, 0.00009101, 0.00000033, 95, 0.55, 0.00010232, 0.00000006, 1.12
11, 0.00009480, 0.00000001, 100, 0.39, 0.00010281, 0.00000003, 1.08
12, 0.00007323, 0.00000081, 100, 0.25, 0.00007540, 0.00000007, 1.03
13, 0.00010472, 0.00000191, 84, 0.19, 0.00011121, 0.00000024, 1.06
14, 0.00009193, 0.00000040, 100, 0.21, 0.00009574, 0.00000010, 1.04
15, 0.00009932, 0.00000080, 96, 0.36, 0.00011993, 0.00000001, 1.21
16, 0.00012038, 0.00000066, 66, 0.34, 0.00012921, 0.00000009, 1.07
17, 0.00009911, 0.00000017, 100, 0.18, 0.00011969, 0.00000019, 1.21
18, 0.00007616, 0.00000011, 37, 0.06, 0.00007616, 0.00000011, 1.00
19, 0.00008792, 0.00000018, 69, 0.15, 0.00009087, 0.00000017, 1.03
        20, 0.00008761, 0.00000063, 100, 0.18, 0.00009469, 0.00000013, 1.08
21, 0.00008228, 0.00000022, 77, 0.34, 0.00008723, 0.00000005, 1.06
22, 0.00006606, 0.00000059, 100, 0.18, 0.00007061, 0.00000008, 1.07
23, 0.00006166, 0.00000075, 72, 0.12, 0.00006982, 0.00000022, 1.13
24, 0.00005740, 0.00000018, 74, 0.12, 0.00007253, 0.00000011, 1.26
25, 0.00007091, 0.00000016, 72, 0.15, 0.00007562, 0.00000003, 1.07
26, 0.00007582, 0.00000030, 100, 0.16, 0.00008194, 0.00000008, 1.08
27, 0.00007154, 0.00000171, 100, 0.19, 0.00008196, 0.00000010, 1.15
28, 0.00007525, 0.00000051, 72, 0.13, 0.00007960, 0.00000001, 1.06
29, 0.00006841, 0.00000048, 100, 0.22, 0.00007236, 0.00000010, 1.06
30, 0.00006845, 0.00000015, 100, 0.48, 0.00008716, 0.00000016, 1.27
31, 0.00006521, 0.00000058, 82, 0.23, 0.00006606, 0.00000008, 1.01
32, 0.00002036, 0.00000003, 82, 0.18, 0.00002098, 0.00000002, 1.03
33, 0.00034779, 0.00000351, 75, 0.17, 0.00038487, 0.00000098, 1.11
34, 0.00033478, 0.00000570, 79, 0.20, 0.00037538, 0.00000046, 1.12
35, 0.00037866, 0.00000405, 75, 0.30, 0.00039964, 0.00000021, 1.06
36, 0.00042794, 0.00000657, 70, 0.18, 0.00046477, 0.00000082, 1.09
37, 0.00035467, 0.00000421, 81, 0.35, 0.00037987, 0.00000028, 1.07
38, 0.00034336, 0.00000115, 72, 0.20, 0.00037102, 0.00000006, 1.08
39, 0.00030735, 0.00000112, 82, 0.24, 0.00033364, 0.00000035, 1.09
40, 0.00035401, 0.00000142, 100, 0.32, 0.00040321, 0.00000108, 1.14
41, 0.00039839, 0.00002476, 75, 0.19, 0.00044855, 0.00000040, 1.13
42, 0.00036439, 0.00001806, 100, 0.46, 0.00042585, 0.00000072, 1.17
43, 0.00034010, 0.00000249, 100, 0.23, 0.00038412, 0.00000193, 1.13
44, 0.00038461, 0.00000358, 72, 0.14, 0.00042096, 0.00000035, 1.09
45, 0.00030643, 0.00000250, 84, 0.16, 0.00030823, 0.00000010, 1.01
46, 0.00033616, 0.00000014, 40, 0.09, 0.00033616, 0.00000014, 1.00
47, 0.00029373, 0.00000069, 72, 0.28, 0.00031648, 0.00000025, 1.08
48, 0.00034308, 0.00000095, 70, 0.16, 0.00036421, 0.00000112, 1.06
49, 0.00028682, 0.00000403, 100, 0.32, 0.00031184, 0.00000021, 1.09
50, 0.00026116, 0.00000228, 100, 0.26, 0.00035186, 0.00000016, 1.35
51, 0.00028428, 0.00000544, 100, 0.23, 0.00029367, 0.00000084, 1.03
52, 0.00023930, 0.00000534, 100, 0.25, 0.00028272, 0.00000072, 1.18
53, 0.00032654, 0.00000265, 71, 0.15, 0.00035147, 0.00000034, 1.08
54, 0.00026366, 0.00000206, 100, 0.33, 0.00028634, 0.00000017, 1.09
55, 0.00027428, 0.00000202, 72, 0.20, 0.00029031, 0.00000015, 1.06
56, 0.00028118, 0.00000187, 79, 0.18, 0.00028892, 0.00000044, 1.03
57, 0.00022295, 0.00000024, 67, 0.35, 0.00024440, 0.00000061, 1.10
58, 0.00023682, 0.00000113, 100, 0.51, 0.00024908, 0.00000094, 1.05
59, 0.00020883, 0.00000147, 79, 0.14, 0.00022380, 0.00000047, 1.07
60, 0.00019575, 0.00000086, 100, 0.38, 0.00023783, 0.00000054, 1.21
61, 0.00022081, 0.00000225, 100, 0.25, 0.00027950, 0.00000056, 1.27
62, 0.00016260, 0.00000133, 100, 0.31, 0.00020525, 0.00000043, 1.26
