BENCH: alexnet
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
13, 0.00076352, 0.00000380, 87, 0.30, 0.00079615, 0.00000022, 1.04
14, 0.00001111, 0.00000002, 10, 0.02, 0.00001111, 0.00000002, 1.00
15, 0.00073971, 0.00000354, 100, 0.51, 0.00077746, 0.00000126, 1.05
16, 0.00000445, 0.00000001, 11, 0.02, 0.00000445, 0.00000001, 1.00
17, 0.00041023, 0.00000271, 72, 0.26, 0.00043831, 0.00000028, 1.07
18, 0.00000765, 0.00000036, 16, 0.04, 0.00000765, 0.00000001, 1.00
19, 0.00079379, 0.00001670, 100, 0.40, 0.00083539, 0.00000093, 1.05
20, 0.00000762, 0.00000013, 11, 0.02, 0.00000762, 0.00000013, 1.00
21, 0.00079495, 0.00001483, 81, 0.38, 0.00083308, 0.00000026, 1.05
22, 0.00000386, 0.00000001, 11, 0.02, 0.00000386, 0.00000001, 1.00
23, 0.00045427, 0.00000614, 79, 0.27, 0.00045454, 0.00000045, 1.00
24, 0.00075716, 0.00001454, 74, 0.23, 0.00079554, 0.00000066, 1.05
25, 0.00000554, 0.00000001, 11, 0.02, 0.00000554, 0.00000001, 1.00
26, 0.00074680, 0.00000612, 100, 0.31, 0.00079081, 0.00000109, 1.06
27, 0.00000232, 0.00000002, 25, 0.10, 0.00000329, 0.00000000, 1.42
28, 0.00000017, 0.00000002, 14, 0.04, 0.00000626, 0.00000002, 36.07
29, 0.00000983, 0.00000001, 1, 0.19, 0.00000983, 0.00000001, 1.00
30, 0.00000731, 0.00000003, 34, 0.05, 0.00000731, 0.00000003, 1.00
BENCH: resnet34
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta time(s), Meta std(s), speedup
0, 0.00005913, 0.00000043, 88, 0.20, 0.00006279, 0.00000401, 1.06
1, 0.00000908, 0.00000000, 10, 0.02, 0.00000908, 0.00000000, 1.00
2, 0.00006803, 0.00000119, 65, 0.30, 0.00007154, 0.00000002, 1.05
3, 0.00000598, 0.00000044, 10, 0.02, 0.00000598, 0.00000044, 1.00
4, 0.00005136, 0.00000031, 100, 0.22, 0.00005972, 0.00000257, 1.16
5, 0.00000676, 0.00000001, 10, 0.02, 0.00000676, 0.00000001, 1.00
6, 0.00090150, 0.00001983, 100, 0.51, 0.00096701, 0.00000176, 1.07
7, 0.00001689, 0.00000029, 16, 0.05, 0.00001757, 0.00000072, 1.04
8, 0.00073955, 0.00001247, 85, 0.21, 0.00077696, 0.00000030, 1.05
9, 0.00001391, 0.00000024, 17, 0.06, 0.00001502, 0.00000231, 1.08
10, 0.00076310, 0.00001522, 73, 0.33, 0.00078038, 0.00000098, 1.02
11, 0.00044979, 0.00000012, 40, 0.12, 0.00044979, 0.00000012, 1.00
12, 0.00001156, 0.00000002, 11, 0.02, 0.00001156, 0.00000002, 1.00
13, 0.00075757, 0.00001146, 72, 0.27, 0.00078812, 0.00000036, 1.04
14, 0.00001162, 0.00000003, 11, 0.02, 0.00001162, 0.00000003, 1.00
15, 0.00073741, 0.00000551, 71, 0.19, 0.00077490, 0.00000056, 1.05
16, 0.00000453, 0.00000000, 10, 0.02, 0.00000453, 0.00000000, 1.00
17, 0.00046879, 0.00000359, 86, 0.24, 0.00049360, 0.00000010, 1.05
18, 0.00000718, 0.00000002, 10, 0.02, 0.00000718, 0.00000002, 1.00
19, 0.00079204, 0.00001370, 100, 0.43, 0.00082638, 0.00000079, 1.04
20, 0.00000762, 0.00000038, 10, 0.02, 0.00000762, 0.00000038, 1.00
21, 0.00079345, 0.00001765, 100, 0.66, 0.00083059, 0.00000074, 1.05
22, 0.00000397, 0.00000002, 10, 0.02, 0.00000397, 0.00000002, 1.00
23, 0.00036514, 0.00000226, 74, 0.28, 0.00039055, 0.00000021, 1.07
24, 0.00075210, 0.00001272, 100, 0.50, 0.00079151, 0.00000078, 1.05
25, 0.00000561, 0.00000001, 11, 0.02, 0.00000561, 0.00000001, 1.00
