BENCH: densenet169
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
58, 0.0001898373, 0.0000005170, 100, 1.43, 1.44, 0.0023585426, 0.0000074958, 1, 0.0001671429, 0.0000002144, 19, 12.42, 0.88
59, 0.0001487102, 0.0000004266, 93, 1.30, 1.31, 0.0003855564, 0.0000103293, 1, 0.0001184007, 0.0000004179, 39, 2.59, 0.80
60, 0.0002971052, 0.0000010869, 100, 1.33, 1.34, 0.0025108337, 0.0000009260, 1, 0.0001479324, 0.0000005291, 14, 8.45, 0.50
61, 0.0001545402, 0.0000019780, 100, 1.26, 1.28, 0.0003771961, 0.0000111382, 1, 0.0001035990, 0.0000000815, 63, 2.44, 0.67
62, 0.0001720970, 0.0000003531, 100, 1.32, 1.33, 0.0009043442, 0.0000028906, 1, 0.0001533956, 0.0000002154, 13, 5.25, 0.89
63, 0.0003931198, 0.0000024080, 89, 1.44, 1.45, 0.0004950746, 0.0000010277, 1, 0.0000810979, 0.0000002230, 21, 1.26, 0.21
64, 0.0001969842, 0.0000032171, 100, 1.46, 1.47, 0.0189689874, 0.0003786182, 1, 0.0001061521, 0.0000001192, 44, 96.30, 0.54
65, 0.0003017202, 0.0000023823, 92, 1.52, 1.53, 0.0004036195, 0.0000816740, 1, 0.0000826129, 0.0000018375, 449, 1.34, 0.27
66, 0.0007729743, 0.0000081071, 99, 1.77, 1.78, 0.0016768145, 0.0000001088, 1, 0.0002338082, 0.0000156989, 84, 2.17, 0.30
67, 0.0005297613, 0.0000005829, 100, 1.54, 1.55, 0.0035944597, 0.0000005935, 1, 0.0004159325, 0.0000004057, 106, 6.79, 0.79
68, 0.0004148933, 0.0000010430, 96, 1.59, 1.60, 0.0009808016, 0.0000064529, 1, 0.0002300332, 0.0000028026, 125, 2.36, 0.55
69, 0.0002738033, 0.0000020641, 100, 1.68, 1.69, 0.0006484721, 0.0000015417, 1, 0.0002711131, 0.0000001415, 91, 2.37, 0.99
70, 0.0003639445, 0.0000035675, 98, 1.62, 1.63, 0.0006909401, 0.0000003711, 1, 0.0002798332, 0.0000031843, 125, 1.90, 0.77
71, 0.0007963580, 0.0000069120, 100, 1.73, 1.74, 0.0339926603, 0.0001369106, 1, 0.0002409023, 0.0000005703, 120, 42.69, 0.30
72, 0.0006935900, 0.0000006998, 99, 1.45, 1.46, 0.0021233657, 0.0000004279, 1, 0.0002591731, 0.0000003192, 42, 3.06, 0.37
73, 0.0002605500, 0.0000007233, 65, 1.50, 1.51, 0.0042693257, 0.0000093762, 1, 0.0001978963, 0.0000013528, 120, 16.39, 0.76
74, 0.0002928103, 0.0000019689, 98, 1.44, 1.45, 0.0011960022, 0.0000021939, 1, 0.0001893563, 0.0000002248, 102, 4.08, 0.65
75, 0.0002584865, 0.0000001624, 93, 1.55, 1.56, 0.0009200894, 0.0000027315, 1, 0.0002217268, 0.0000003307, 8, 3.56, 0.86
76, 0.0003071955, 0.0000004917, 100, 1.43, 1.44, 0.0009665854, 0.0000036360, 1, 0.0001862877, 0.0000001341, 52, 3.15, 0.61
77, 0.0004490637, 0.0000045289, 99, 1.54, 1.55, 0.0015574872, 0.0003469597, 1, 0.0001329432, 0.0000000691, 50, 3.47, 0.30
78, 0.0075770858, 0.0000039358, 89, 1.70, 1.71, 0.0150831250, 0.0001935597, 1, 0.0001848576, 0.0000001987, 456, 1.99, 0.02
79, 0.0009536250, 0.0000026822, 97, 1.62, 1.63, 0.0021610079, 0.0000004236, 1, 0.0005489751, 0.0000001227, 148, 2.27, 0.58
80, 0.0011263722, 0.0000050761, 99, 1.80, 1.81, 0.0015794308, 0.0000012578, 1, 0.0005168511, 0.0000023512, 106, 1.40, 0.46
81, 0.0008334302, 0.0000075258, 67, 1.67, 1.68, 0.0016538993, 0.0000089662, 1, 0.0002588977, 0.0000001919, 67, 1.98, 0.31
82, 0.0010734932, 0.0000059811, 98, 1.77, 1.78, 0.0021926153, 0.0000005885, 1, 0.0002773524, 0.0000006172, 119, 2.04, 0.26
83, 0.0005277165, 0.0000028531, 97, 1.46, 1.47, 0.0043928952, 0.0019699422, 1, 0.0002705208, 0.0000010877, 59, 8.32, 0.51
84, 0.0000162017, 0.0000008192, 11, 0.15, 0.16, 0.0000341361, 0.0000000341, 1, 0.0000151545, 0.0000000126, 2, 2.11, 0.94
85, 0.0000123982, 0.0000000908, 11, 0.14, 0.15, 0.0000123982, 0.0000000908, 1, 0.0000123982, 0.0000000908, 1, 1.00, 1.00
86, 0.0026814862, 0.0000024756, 83, 2.50, 2.51, 0.0129887310, 0.0001474303, 1, 0.0004782083, 0.0000007810, 136, 4.84, 0.18
87, 0.0001390732, 0.0000044359, 34, 0.62, 0.63, 0.0003050454, 0.0000001638, 1, 0.0000268070, 0.0000005185, 3, 2.19, 0.19
88, 0.0000336771, 0.0000000084, 11, 0.15, 0.16, 0.0000336771, 0.0000000084, 1, 0.0000325426, 0.0000017548, 2, 1.00, 0.97
89, 0.0016413295, 0.0000086522, 99, 1.84, 1.85, 0.0035686746, 0.0000011454, 1, 0.0004124479, 0.0000007860, 184, 2.17, 0.25
90, 0.0022665430, 0.0000066500, 96, 2.64, 2.65, 0.0051460959, 0.0000869591, 1, 0.0003252515, 0.0000000453, 215, 2.27, 0.14
91, 0.0018491513, 0.0000019527, 99, 1.84, 1.85, 0.0083424195, 0.0000011368, 1, 0.0007682391, 0.0000015004, 144, 4.51, 0.42
92, 0.0000734260, 0.0000004445, 11, 0.16, 0.17, 0.0001029191, 0.0000421289, 1, 0.0001029191, 0.0000421289, 1, 1.40, 1.40
93, 0.0000205820, 0.0000005410, 24, 0.62, 0.63, 0.0000211008, 0.0000000114, 1, 0.0000125667, 0.0000000063, 3, 1.03, 0.61
94, 0.0067462047, 0.0000061829, 59, 2.71, 2.72, 0.0126346250, 0.0000006420, 1, 0.0003941771, 0.0000004642, 90, 1.87, 0.06
95, 0.0000321405, 0.0000002103, 11, 0.15, 0.16, 0.0000401785, 0.0000002107, 1, 0.0000401785, 0.0000002107, 1, 1.25, 1.25
96, 0.0000145733, 0.0000003487, 21, 0.26, 0.27, 0.0000182517, 0.0000000145, 1, 0.0000105607, 0.0000000444, 19, 1.25, 0.72
97, 0.0021192858, 0.0000066188, 100, 2.48, 2.49, 0.0184627682, 0.0000490046, 1, 0.0009104970, 0.0000000559, 193, 8.71, 0.43
98, 0.0000202153, 0.0000002994, 11, 0.14, 0.16, 0.0000302679, 0.0000000379, 1, 0.0000302679, 0.0000000379, 1, 1.50, 1.50
99, 0.0000297503, 0.0000009867, 33, 0.45, 0.46, 0.0000801195, 0.0000007445, 1, 0.0000100966, 0.0000000334, 11, 2.69, 0.34
100, 0.0000236452, 0.0000001183, 34, 0.41, 0.42, 0.0000533240, 0.0000015352, 1, 0.0000107671, 0.0000000245, 7, 2.26, 0.46
101, 0.0000203535, 0.0000000110, 11, 0.13, 0.14, 0.0000203535, 0.0000000110, 1, 0.0000203535, 0.0000000110, 1, 1.00, 1.00
102, 0.0010812635, 0.0000003270, 49, 0.77, 0.78, 0.0010812635, 0.0000003270, 1, 0.0000403235, 0.0000001312, 30, 1.00, 0.04
103, 0.0000287787, 0.0000004280, 39, 0.50, 0.51, 0.0000382234, 0.0000153444, 1, 0.0000216345, 0.0000000425, 41, 1.33, 0.75
TOP: 10
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-10 time(s), Meta-10 std(s), trials-10, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-10, speedup-10k
0, 0.0002873402, 0.0000005727, 98, 1.50, 1.61, 0.0003131078, 0.0000004349, 4, 0.0001326978, 0.0000003902, 19, 1.09, 0.46
1, 0.0001902640, 0.0000004170, 100, 1.42, 1.53, 0.0002158309, 0.0000002126, 1, 0.0001579025, 0.0000044886, 30, 1.13, 0.83
2, 0.0001705270, 0.0000002941, 100, 1.31, 1.41, 0.0002178296, 0.0000008719, 10, 0.0001335493, 0.0000000596, 48, 1.28, 0.78
3, 0.0002058875, 0.0000058992, 100, 1.29, 1.39, 0.0004909819, 0.0000668461, 6, 0.0001327208, 0.0000091694, 54, 2.38, 0.64
4, 0.0001288715, 0.0000003855, 91, 1.50, 1.61, 0.0002516762, 0.0000002563, 4, 0.0001291184, 0.0000001600, 57, 1.95, 1.00
