BENCH: alexnet
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
11, 0.0004423677, 0.0000007243, 66, 0.472, 0.510, 0.0019305832, 0.0001250830, 4, 0.0000864326, 0.0000000301, 326, 12.083, 4.36, 0.20
12, 0.0003284850, 0.0000008047, 35, 0.173, 0.210, 0.0005973737, 0.0000125983, 1, 0.0000626623, 0.0000000016, 170, 6.301, 1.82, 0.19
13, 0.0000191558, 0.0000015109, 10, 0.061, 0.098, 0.0000191558, 0.0000015109, 1, 0.0000022827, 0.0000000020, 45, 1.668, 1.00, 0.12
TOP: 10
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-10 time(s), Meta-10 std(s), trials-10, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-10, speedup-10k
0, 0.0001257810, 0.0000008702, 35, 0.179, 0.550, 0.0003219847, 0.0000215864, 11, 0.0000261827, 0.0000000231, 621, 23.016, 2.56, 0.21
1, 0.0000022637, 0.0000000006, 2, 0.020, 0.391, 0.0000022637, 0.0000000006, 10, 0.0000022393, 0.0000000004, 23, 0.852, 1.00, 0.99
2, 0.0009777488, 0.0000004827, 35, 0.286, 0.656, 0.0010417754, 0.0000000491, 2, 0.0000532323, 0.0000000782, 1245, 46.143, 1.07, 0.05
3, 0.0000022401, 0.0000000021, 2, 0.020, 0.391, 0.0000022401, 0.0000000021, 5, 0.0000022373, 0.0000000006, 29, 1.075, 1.00, 1.00
4, 0.0000540714, 0.0000000032, 18, 0.099, 0.470, 0.0000540714, 0.0000000032, 6, 0.0000241029, 0.0000000107, 645, 23.906, 1.00, 0.45
5, 0.0000582602, 0.0000001411, 18, 0.101, 0.472, 0.0000582602, 0.0000001411, 7, 0.0000371399, 0.0000000026, 857, 31.763, 1.00, 0.64
6, 0.0000662557, 0.0000006889, 86, 0.519, 0.889, 0.0000696827, 0.0000040814, 1, 0.0000221686, 0.0000000314, 206, 7.635, 1.05, 0.33
7, 0.0000023001, 0.0000000009, 2, 0.020, 0.391, 0.0000023001, 0.0000000009, 3, 0.0000022376, 0.0000000007, 55, 2.038, 1.00, 0.97
8, 0.0000044717, 0.0000000015, 2, 0.020, 0.391, 0.0000044717, 0.0000000015, 6, 0.0000044096, 0.0000000056, 64, 2.372, 1.00, 0.99
9, 0.0000022708, 0.0000000006, 2, 0.020, 0.242, 0.0000022708, 0.0000000006, 6, 0.0000022708, 0.0000000006, 6, 0.222, 1.00, 1.00
10, 0.0002681170, 0.0000006384, 35, 0.368, 0.739, 0.0002741072, 0.0000066162, 13, 0.0001854967, 0.0000002183, 1025, 37.990, 1.02, 0.69
11, 0.0002388850, 0.0000002076, 69, 0.463, 0.834, 0.0002990048, 0.0000000058, 7, 0.0000864326, 0.0000000301, 326, 12.083, 1.25, 0.36
12, 0.0002360317, 0.0000004178, 52, 0.220, 0.591, 0.0004595349, 0.0000000269, 2, 0.0000626623, 0.0000000016, 170, 6.301, 1.95, 0.27
13, 0.0000028063, 0.0000000000, 12, 0.039, 0.409, 0.0000028063, 0.0000000000, 7, 0.0000022827, 0.0000000020, 45, 1.668, 1.00, 0.81
TOP: 50
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-50 time(s), Meta-50 std(s), trials-50, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-50, speedup-10k
0, 0.0000599259, 0.0000002806, 17, 0.131, 1.984, 0.0000599259, 0.0000002806, 44, 0.0000261827, 0.0000000231, 621, 23.016, 1.00, 0.44
1, 0.0000022393, 0.0000000004, 2, 0.020, 0.873, 0.0000022393, 0.0000000004, 23, 0.0000022393, 0.0000000004, 23, 0.852, 1.00, 1.00
2, 0.0000748905, 0.0000001959, 48, 0.325, 2.178, 0.0000826268, 0.0000004221, 17, 0.0000532323, 0.0000000782, 1245, 46.143, 1.10, 0.71
3, 0.0000022373, 0.0000000006, 2, 0.020, 1.095, 0.0000022373, 0.0000000006, 29, 0.0000022373, 0.0000000006, 29, 1.075, 1.00, 1.00
4, 0.0000384237, 0.0000000033, 18, 0.095, 1.948, 0.0000384237, 0.0000000033, 14, 0.0000241029, 0.0000000107, 645, 23.906, 1.00, 0.63
5, 0.0000531143, 0.0000002718, 47, 0.289, 2.142, 0.0000569350, 0.0000000049, 37, 0.0000371399, 0.0000000026, 857, 31.763, 1.07, 0.70
6, 0.0000333082, 0.0000000213, 18, 0.096, 1.949, 0.0000333082, 0.0000000213, 15, 0.0000221686, 0.0000000314, 206, 7.635, 1.00, 0.67
7, 0.0000022378, 0.0000000003, 2, 0.020, 1.874, 0.0000022378, 0.0000000003, 26, 0.0000022376, 0.0000000007, 55, 2.038, 1.00, 1.00
8, 0.0000044579, 0.0000000070, 2, 0.020, 1.873, 0.0000044579, 0.0000000070, 24, 0.0000044096, 0.0000000056, 64, 2.372, 1.00, 0.99
9, 0.0000022708, 0.0000000006, 2, 0.020, 0.242, 0.0000022708, 0.0000000006, 6, 0.0000022708, 0.0000000006, 6, 0.222, 1.00, 1.00
10, 0.0002669109, 0.0000000159, 18, 0.186, 2.039, 0.0002669109, 0.0000000159, 39, 0.0001854967, 0.0000002183, 1025, 37.990, 1.00, 0.69
11, 0.0000938810, 0.0000000025, 18, 0.114, 1.968, 0.0000938810, 0.0000000025, 47, 0.0000864326, 0.0000000301, 326, 12.083, 1.00, 0.92
12, 0.0000914185, 0.0000004455, 71, 0.547, 2.400, 0.0001049860, 0.0000002254, 40, 0.0000626623, 0.0000000016, 170, 6.301, 1.15, 0.69
13, 0.0000022827, 0.0000000020, 12, 0.043, 1.711, 0.0000022827, 0.0000000020, 45, 0.0000022827, 0.0000000020, 45, 1.668, 1.00, 1.00
TOP: 100
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-100 time(s), Meta-100 std(s), trials-100, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-100, speedup-10k
0, 0.0000599259, 0.0000002806, 17, 0.132, 3.838, 0.0000599259, 0.0000002806, 44, 0.0000261827, 0.0000000231, 621, 23.016, 1.00, 0.44
1, 0.0000022393, 0.0000000004, 2, 0.020, 0.873, 0.0000022393, 0.0000000004, 23, 0.0000022393, 0.0000000004, 23, 0.852, 1.00, 1.00
2, 0.0000749225, 0.0000002411, 46, 0.327, 4.033, 0.0000826268, 0.0000004221, 17, 0.0000532323, 0.0000000782, 1245, 46.143, 1.10, 0.71
3, 0.0000022373, 0.0000000006, 2, 0.020, 1.095, 0.0000022373, 0.0000000006, 29, 0.0000022373, 0.0000000006, 29, 1.075, 1.00, 1.00
4, 0.0000384237, 0.0000000033, 18, 0.094, 3.801, 0.0000384237, 0.0000000033, 14, 0.0000241029, 0.0000000107, 645, 23.906, 1.00, 0.63
5, 0.0000530768, 0.0000004827, 45, 0.287, 3.993, 0.0000569350, 0.0000000049, 37, 0.0000371399, 0.0000000026, 857, 31.763, 1.07, 0.70
6, 0.0000318120, 0.0000000379, 18, 0.092, 3.798, 0.0000318120, 0.0000000379, 62, 0.0000221686, 0.0000000314, 206, 7.635, 1.00, 0.70
7, 0.0000022376, 0.0000000007, 2, 0.020, 2.059, 0.0000022376, 0.0000000007, 55, 0.0000022376, 0.0000000007, 55, 2.038, 1.00, 1.00
8, 0.0000044096, 0.0000000056, 2, 0.020, 2.392, 0.0000044096, 0.0000000056, 64, 0.0000044096, 0.0000000056, 64, 2.372, 1.00, 1.00
9, 0.0000022708, 0.0000000006, 2, 0.020, 0.242, 0.0000022708, 0.0000000006, 6, 0.0000022708, 0.0000000006, 6, 0.222, 1.00, 1.00
10, 0.0001995899, 0.0000009185, 18, 0.191, 3.897, 0.0001995899, 0.0000009185, 81, 0.0001854967, 0.0000002183, 1025, 37.990, 1.00, 0.93
11, 0.0000938810, 0.0000000025, 18, 0.125, 3.831, 0.0000938810, 0.0000000025, 47, 0.0000864326, 0.0000000301, 326, 12.083, 1.00, 0.92
12, 0.0000716663, 0.0000000005, 18, 0.074, 3.780, 0.0000716663, 0.0000000005, 68, 0.0000626623, 0.0000000016, 170, 6.301, 1.00, 0.87
13, 0.0000022827, 0.0000000020, 12, 0.036, 1.704, 0.0000022827, 0.0000000020, 45, 0.0000022827, 0.0000000020, 45, 1.668, 1.00, 1.00
TOP: 200
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-200 time(s), Meta-200 std(s), trials-200, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-200, speedup-10k
0, 0.0000327020, 0.0000011447, 17, 0.092, 7.505, 0.0000327020, 0.0000011447, 111, 0.0000261827, 0.0000000231, 621, 23.016, 1.00, 0.80
1, 0.0000022393, 0.0000000004, 2, 0.020, 0.873, 0.0000022393, 0.0000000004, 23, 0.0000022393, 0.0000000004, 23, 0.852, 1.00, 1.00
2, 0.0000580278, 0.0000005422, 18, 0.211, 7.623, 0.0000580278, 0.0000005422, 150, 0.0000532323, 0.0000000782, 1245, 46.143, 1.00, 0.92
3, 0.0000022373, 0.0000000006, 2, 0.020, 1.095, 0.0000022373, 0.0000000006, 29, 0.0000022373, 0.0000000006, 29, 1.075, 1.00, 1.00
4, 0.0000317149, 0.0000000132, 18, 0.099, 7.512, 0.0000317149, 0.0000000132, 167, 0.0000241029, 0.0000000107, 645, 23.906, 1.00, 0.76
5, 0.0000467113, 0.0000000208, 18, 0.100, 7.513, 0.0000467113, 0.0000000208, 183, 0.0000371399, 0.0000000026, 857, 31.763, 1.00, 0.80
6, 0.0000305879, 0.0000000034, 18, 0.149, 7.562, 0.0000305879, 0.0000000034, 148, 0.0000221686, 0.0000000314, 206, 7.635, 1.00, 0.72
7, 0.0000022376, 0.0000000007, 2, 0.020, 2.059, 0.0000022376, 0.0000000007, 55, 0.0000022376, 0.0000000007, 55, 2.038, 1.00, 1.00
8, 0.0000044096, 0.0000000056, 2, 0.020, 2.392, 0.0000044096, 0.0000000056, 64, 0.0000044096, 0.0000000056, 64, 2.372, 1.00, 1.00
9, 0.0000022708, 0.0000000006, 2, 0.020, 0.242, 0.0000022708, 0.0000000006, 6, 0.0000022708, 0.0000000006, 6, 0.222, 1.00, 1.00
10, 0.0001941517, 0.0000007287, 18, 0.187, 7.600, 0.0001941517, 0.0000007287, 189, 0.0001854967, 0.0000002183, 1025, 37.990, 1.00, 0.96
11, 0.0000902641, 0.0000000047, 18, 0.116, 7.529, 0.0000902641, 0.0000000047, 181, 0.0000864326, 0.0000000301, 326, 12.083, 1.00, 0.96
12, 0.0000626623, 0.0000000016, 14, 0.060, 6.360, 0.0000626623, 0.0000000016, 170, 0.0000626623, 0.0000000016, 170, 6.301, 1.00, 1.00
13, 0.0000022827, 0.0000000020, 12, 0.037, 1.705, 0.0000022827, 0.0000000020, 45, 0.0000022827, 0.0000000020, 45, 1.668, 1.00, 1.00
TOP: 300
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-300 time(s), Meta-300 std(s), trials-300, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-300, speedup-10k
0, 0.0000327020, 0.0000011447, 17, 0.089, 11.208, 0.0000327020, 0.0000011447, 111, 0.0000261827, 0.0000000231, 621, 23.016, 1.00, 0.80
1, 0.0000022393, 0.0000000004, 2, 0.020, 0.873, 0.0000022393, 0.0000000004, 23, 0.0000022393, 0.0000000004, 23, 0.852, 1.00, 1.00
2, 0.0000580278, 0.0000005422, 18, 0.215, 11.334, 0.0000580278, 0.0000005422, 150, 0.0000532323, 0.0000000782, 1245, 46.143, 1.00, 0.92
3, 0.0000022373, 0.0000000006, 2, 0.020, 1.095, 0.0000022373, 0.0000000006, 29, 0.0000022373, 0.0000000006, 29, 1.075, 1.00, 1.00
4, 0.0000288922, 0.0000000118, 18, 0.100, 11.219, 0.0000288922, 0.0000000118, 271, 0.0000241029, 0.0000000107, 645, 23.906, 1.00, 0.83
5, 0.0000400722, 0.0000001622, 18, 0.094, 11.213, 0.0000400722, 0.0000001622, 201, 0.0000371399, 0.0000000026, 857, 31.763, 1.00, 0.93
6, 0.0000221686, 0.0000000314, 18, 0.116, 7.751, 0.0000221686, 0.0000000314, 206, 0.0000221686, 0.0000000314, 206, 7.635, 1.00, 1.00
7, 0.0000022376, 0.0000000007, 2, 0.020, 2.059, 0.0000022376, 0.0000000007, 55, 0.0000022376, 0.0000000007, 55, 2.038, 1.00, 1.00
8, 0.0000044096, 0.0000000056, 2, 0.020, 2.392, 0.0000044096, 0.0000000056, 64, 0.0000044096, 0.0000000056, 64, 2.372, 1.00, 1.00
9, 0.0000022708, 0.0000000006, 2, 0.020, 0.242, 0.0000022708, 0.0000000006, 6, 0.0000022708, 0.0000000006, 6, 0.222, 1.00, 1.00
10, 0.0001932741, 0.0000006848, 18, 0.128, 11.247, 0.0001932741, 0.0000006848, 260, 0.0001854967, 0.0000002183, 1025, 37.990, 1.00, 0.96
11, 0.0000902641, 0.0000000047, 18, 0.118, 11.237, 0.0000902641, 0.0000000047, 181, 0.0000864326, 0.0000000301, 326, 12.083, 1.00, 0.96
12, 0.0000626623, 0.0000000016, 14, 0.059, 6.360, 0.0000626623, 0.0000000016, 170, 0.0000626623, 0.0000000016, 170, 6.301, 1.00, 1.00
13, 0.0000022827, 0.0000000020, 12, 0.038, 1.706, 0.0000022827, 0.0000000020, 45, 0.0000022827, 0.0000000020, 45, 1.668, 1.00, 1.00
TOP: 1000
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1000 time(s), Meta-1000 std(s), trials-1000, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1000, speedup-10k
0, 0.0000261827, 0.0000000231, 18, 0.083, 23.099, 0.0000261827, 0.0000000231, 621, 0.0000261827, 0.0000000231, 621, 23.016, 1.00, 1.00
1, 0.0000022393, 0.0000000004, 2, 0.021, 0.873, 0.0000022393, 0.0000000004, 23, 0.0000022393, 0.0000000004, 23, 0.852, 1.00, 1.00
2, 0.0000541677, 0.0000002000, 18, 0.129, 37.192, 0.0000541677, 0.0000002000, 962, 0.0000532323, 0.0000000782, 1245, 46.143, 1.00, 0.98
3, 0.0000022373, 0.0000000006, 2, 0.020, 1.095, 0.0000022373, 0.0000000006, 29, 0.0000022373, 0.0000000006, 29, 1.075, 1.00, 1.00
4, 0.0000241029, 0.0000000107, 18, 0.111, 24.016, 0.0000241029, 0.0000000107, 645, 0.0000241029, 0.0000000107, 645, 23.906, 1.00, 1.00
5, 0.0000371399, 0.0000000026, 18, 0.114, 31.877, 0.0000371399, 0.0000000026, 857, 0.0000371399, 0.0000000026, 857, 31.763, 1.00, 1.00
6, 0.0000221686, 0.0000000314, 18, 0.112, 7.747, 0.0000221686, 0.0000000314, 206, 0.0000221686, 0.0000000314, 206, 7.635, 1.00, 1.00
7, 0.0000022376, 0.0000000007, 2, 0.020, 2.059, 0.0000022376, 0.0000000007, 55, 0.0000022376, 0.0000000007, 55, 2.038, 1.00, 1.00
8, 0.0000044096, 0.0000000056, 2, 0.020, 2.392, 0.0000044096, 0.0000000056, 64, 0.0000044096, 0.0000000056, 64, 2.372, 1.00, 1.00
9, 0.0000022708, 0.0000000006, 2, 0.020, 0.242, 0.0000022708, 0.0000000006, 6, 0.0000022708, 0.0000000006, 6, 0.222, 1.00, 1.00
10, 0.0001856062, 0.0000002675, 18, 0.156, 37.219, 0.0001856062, 0.0000002675, 963, 0.0001854967, 0.0000002183, 1025, 37.990, 1.00, 1.00
11, 0.0000864326, 0.0000000301, 18, 0.118, 12.200, 0.0000864326, 0.0000000301, 326, 0.0000864326, 0.0000000301, 326, 12.083, 1.00, 1.00
12, 0.0000626623, 0.0000000016, 14, 0.059, 6.360, 0.0000626623, 0.0000000016, 170, 0.0000626623, 0.0000000016, 170, 6.301, 1.00, 1.00
13, 0.0000022827, 0.0000000020, 12, 0.036, 1.704, 0.0000022827, 0.0000000020, 45, 0.0000022827, 0.0000000020, 45, 1.668, 1.00, 1.00
BENCH: vgg11
TOP: 1
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-1 time(s), Meta-1 std(s), trials-1, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-1, speedup-10k
0, 0.0001025185, 0.0000005920, 18, 0.194, 0.244, 0.0001025185, 0.0000005920, 1, 0.0000943525, 0.0000001843, 873, 44.118, 1.00, 0.92
1, 0.0000212549, 0.0000000497, 2, 0.021, 0.071, 0.0000212549, 0.0000000497, 1, 0.0000212549, 0.0000000497, 1, 0.051, 1.00, 1.00
2, 0.0027642557, 0.0000166133, 34, 0.462, 0.513, 0.0033966420, 0.0000199751, 1, 0.0000909042, 0.0000010939, 976, 49.323, 1.23, 0.03
3, 0.0002403640, 0.0000056799, 2, 0.020, 0.071, 0.0002403640, 0.0000056799, 1, 0.0000113302, 0.0000000020, 3, 0.152, 1.00, 0.05
4, 0.0001180797, 0.0000002275, 23, 0.527, 0.578, 0.0001263039, 0.0000028609, 1, 0.0000682810, 0.0000009192, 395, 19.962, 1.07, 0.58
5, 0.0027200850, 0.0000037704, 27, 0.763, 0.814, 0.0033730422, 0.0000801589, 1, 0.0001132625, 0.0000014897, 1047, 52.911, 1.24, 0.04
6, 0.0000035944, 0.0000001668, 2, 0.020, 0.071, 0.0000035944, 0.0000001668, 1, 0.0000029076, 0.0000000008, 15, 0.758, 1.00, 0.81
7, 0.0003078663, 0.0000014475, 69, 0.452, 0.503, 0.0003791830, 0.0000125484, 2, 0.0000877419, 0.0000010880, 899, 45.432, 1.23, 0.28
8, 0.0056662130, 0.0000249889, 35, 1.109, 1.160, 0.0087699680, 0.0000859028, 1, 0.0001669714, 0.0000022080, 1666, 84.193, 1.55, 0.03
9, 0.0000617123, 0.0000018900, 2, 0.020, 0.071, 0.0000617123, 0.0000018900, 1, 0.0000023245, 0.0000000022, 40, 2.021, 1.00, 0.04
10, 0.0011783306, 0.0000473204, 18, 0.221, 0.271, 0.0011783306, 0.0000473204, 1, 0.0000490637, 0.0000005538, 1051, 53.113, 1.00, 0.04
11, 0.0000167234, 0.0000007731, 2, 0.021, 0.072, 0.0000167234, 0.0000007731, 1, 0.0000022378, 0.0000000003, 26, 1.314, 1.00, 0.13
12, 0.0000044550, 0.0000000095, 2, 0.020, 0.071, 0.0000044550, 0.0000000095, 1, 0.0000043731, 0.0000000132, 19, 0.960, 1.00, 0.98
13, 0.0000022714, 0.0000000090, 2, 0.020, 0.070, 0.0000022714, 0.0000000090, 1, 0.0000022714, 0.0000000090, 1, 0.051, 1.00, 1.00
14, 0.0034086613, 0.0000002643, 52, 1.357, 1.407, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 0.051, 2933703005989.45, 2933703005989.45
15, 0.0001367518, 0.0000004237, 100, 0.667, 0.717, 0.0002365324, 0.0000010501, 1, 0.0000866447, 0.0000000077, 334, 16.879, 1.73, 0.63
16, 0.0002933353, 0.0000087359, 17, 0.065, 0.115, 0.0002933353, 0.0000087359, 1, 0.0000625234, 0.0000000011, 200, 10.107, 1.00, 0.21
17, 0.0000030731, 0.0000002071, 10, 0.042, 0.093, 0.0000030731, 0.0000002071, 1, 0.0000022777, 0.0000000009, 39, 1.971, 1.00, 0.74
TOP: 10
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-10 time(s), Meta-10 std(s), trials-10, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-10, speedup-10k
0, 0.0000996194, 0.0000001581, 18, 0.199, 0.705, 0.0000996194, 0.0000001581, 10, 0.0000943525, 0.0000001843, 873, 44.118, 1.00, 0.95
1, 0.0000212549, 0.0000000497, 2, 0.021, 0.072, 0.0000212549, 0.0000000497, 1, 0.0000212549, 0.0000000497, 1, 0.051, 1.00, 1.00
2, 0.0001941040, 0.0000029032, 18, 0.173, 0.679, 0.0001941040, 0.0000029032, 2, 0.0000909042, 0.0000010939, 976, 49.323, 1.00, 0.47
3, 0.0000113302, 0.0000000020, 2, 0.021, 0.172, 0.0000113302, 0.0000000020, 3, 0.0000113302, 0.0000000020, 3, 0.152, 1.00, 1.00
4, 0.0000899153, 0.0000010145, 18, 0.181, 0.687, 0.0000899153, 0.0000010145, 3, 0.0000682810, 0.0000009192, 395, 19.962, 1.00, 0.76
5, 0.0002001970, 0.0000004179, 27, 0.371, 0.877, 0.0002110830, 0.0000015687, 2, 0.0001132625, 0.0000014897, 1047, 52.911, 1.05, 0.57
6, 0.0000029876, 0.0000000015, 2, 0.020, 0.526, 0.0000029876, 0.0000000015, 5, 0.0000029076, 0.0000000008, 15, 0.758, 1.00, 0.97
7, 0.0002278398, 0.0000004178, 39, 0.316, 0.822, 0.0002310162, 0.0000004141, 7, 0.0000877419, 0.0000010880, 899, 45.432, 1.01, 0.39
8, 0.0005363783, 0.0000002247, 52, 0.325, 0.830, 0.0005532902, 0.0000039480, 7, 0.0001669714, 0.0000022080, 1666, 84.193, 1.03, 0.31
9, 0.0000023338, 0.0000000008, 2, 0.020, 0.526, 0.0000023338, 0.0000000008, 4, 0.0000023245, 0.0000000022, 40, 2.021, 1.00, 1.00
10, 0.0001024101, 0.0000001824, 18, 0.110, 0.615, 0.0001024101, 0.0000001824, 6, 0.0000490637, 0.0000005538, 1051, 53.113, 1.00, 0.48
11, 0.0000023374, 0.0000000008, 2, 0.020, 0.526, 0.0000023374, 0.0000000008, 8, 0.0000022378, 0.0000000003, 26, 1.314, 1.00, 0.96
12, 0.0000044365, 0.0000000063, 2, 0.020, 0.526, 0.0000044365, 0.0000000063, 8, 0.0000043731, 0.0000000132, 19, 0.960, 1.00, 0.99
13, 0.0000022714, 0.0000000090, 2, 0.020, 0.070, 0.0000022714, 0.0000000090, 1, 0.0000022714, 0.0000000090, 1, 0.051, 1.00, 1.00
14, 0.0034029223, 0.0000002416, 52, 1.358, 1.409, 10000000000.0000000000, 0.0000000000, 1, 10000000000.0000000000, 0.0000000000, 1, 0.051, 2938650671525.76, 2938650671525.76
15, 0.0001529172, 0.0000013437, 33, 0.230, 0.736, 0.0001545752, 0.0000000057, 3, 0.0000866447, 0.0000000077, 334, 16.879, 1.01, 0.57
16, 0.0002460799, 0.0000000191, 14, 0.066, 0.571, 0.0002460799, 0.0000000191, 5, 0.0000625234, 0.0000000011, 200, 10.107, 1.00, 0.25
17, 0.0000023692, 0.0000000103, 12, 0.043, 0.549, 0.0000023692, 0.0000000103, 8, 0.0000022777, 0.0000000009, 39, 1.971, 1.00, 0.96
TOP: 50
Layer, DPMeta time(s), DPMeta std(s), DPMeta trials, DPMeta Tuning(min), DPMeta+Meta tuning(min), Meta-50 time(s), Meta-50 std(s), trials-50, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-50, speedup-10k
0, 0.0000996194, 0.0000001581, 18, 0.199, 2.726, 0.0000996194, 0.0000001581, 10, 0.0000943525, 0.0000001843, 873, 44.118, 1.00, 0.95
1, 0.0000212549, 0.0000000497, 2, 0.021, 0.072, 0.0000212549, 0.0000000497, 1, 0.0000212549, 0.0000000497, 1, 0.051, 1.00, 1.00
2, 0.0001232212, 0.0000002416, 30, 0.394, 2.921, 0.0001304543, 0.0000009324, 14, 0.0000909042, 0.0000010939, 976, 49.323, 1.06, 0.74
3, 0.0000113302, 0.0000000020, 2, 0.021, 0.172, 0.0000113302, 0.0000000020, 3, 0.0000113302, 0.0000000020, 3, 0.152, 1.00, 1.00
4, 0.0000899153, 0.0000010145, 18, 0.192, 2.719, 0.0000899153, 0.0000010145, 3, 0.0000682810, 0.0000009192, 395, 19.962, 1.00, 0.76
5, 0.0002027619, 0.0000002089, 18, 0.190, 2.716, 0.0002027619, 0.0000002089, 46, 0.0001132625, 0.0000014897, 1047, 52.911, 1.00, 0.56
6, 0.0000029076, 0.0000000008, 2, 0.020, 0.778, 0.0000029076, 0.0000000008, 15, 0.0000029076, 0.0000000008, 15, 0.758, 1.00, 1.00
7, 0.0000795305, 0.0000006388, 41, 0.437, 2.964, 0.0001533800, 0.0000001451, 34, 0.0000877419, 0.0000010880, 899, 45.432, 1.93, 1.10
8, 0.0002225488, 0.0000002414, 35, 0.232, 2.759, 0.0002240849, 0.0000014821, 23, 0.0001669714, 0.0000022080, 1666, 84.193, 1.01, 0.75
9, 0.0000023245, 0.0000000022, 2, 0.020, 2.042, 0.0000023245, 0.0000000022, 40, 0.0000023245, 0.0000000022, 40, 2.021, 1.00, 1.00
10, 0.0001024101, 0.0000001824, 16, 0.097, 2.624, 0.0001024101, 0.0000001824, 6, 0.0000490637, 0.0000005538, 1051, 53.113, 1.00, 0.48
11, 0.0000022378, 0.0000000003, 2, 0.020, 1.334, 0.0000022378, 0.0000000003, 26, 0.0000022378, 0.0000000003, 26, 1.314, 1.00, 1.00
12, 0.0000043731, 0.0000000132, 2, 0.020, 0.980, 0.0000043731, 0.0000000132, 19, 0.0000043731, 0.0000000132, 19, 0.960, 1.00, 1.00
13, 0.0000022714, 0.0000000090, 2, 0.020, 0.070, 0.0000022714, 0.0000000090, 1, 0.0000022714, 0.0000000090, 1, 0.051, 1.00, 1.00
