BENCH: vgg19
TOP: 1
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
27, 0.00002603, 0.00000008, 36, 0.05, 0.00002603, 0.00000008, 1, 0.00000765, 0.00000002, 26, 1.00, 0.29
TOP: 10
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000701, 0.00000000, 10, 0.02, 0.00000701, 0.00000000, 1, 0.00000701, 0.00000000, 1, 1.00, 1.00
1, 0.00108074, 0.00000386, 90, 0.81, 0.00117168, 0.00000283, 7, 0.00086577, 0.00000034, 55, 1.08, 0.80
2, 0.00010471, 0.00000678, 14, 0.06, 0.00023682, 0.00000110, 2, 0.00023682, 0.00000110, 2, 2.26, 2.26
3, 0.01606414, 0.00002278, 76, 0.92, 0.01693167, 0.00010187, 9, 0.01313428, 0.00000236, 591, 1.05, 0.82
4, 0.00003094, 0.00000080, 30, 0.11, 0.00003228, 0.00000003, 1, 0.00003224, 0.00000003, 27, 1.04, 1.04
5, 0.00814324, 0.00007009, 95, 1.06, 0.00970251, 0.00000127, 5, 0.00654899, 0.00000072, 345, 1.19, 0.80
6, 0.02346728, 0.00002859, 45, 1.04, 0.02417782, 0.00003442, 7, 0.01332918, 0.00001283, 455, 1.03, 0.57
7, 0.00001654, 0.00000001, 16, 0.05, 0.00001654, 0.00000001, 6, 0.00001654, 0.00000001, 6, 1.00, 1.00
8, 0.00000835, 0.00000000, 10, 0.03, 0.00000835, 0.00000000, 2, 0.00000835, 0.00000000, 2, 1.00, 1.00
9, 0.01367884, 0.00003086, 84, 1.21, 0.01607515, 0.00005862, 3, 0.00670901, 0.00000520, 372, 1.18, 0.49
10, 0.00006404, 0.00000036, 17, 0.06, 0.00006801, 0.00000022, 2, 0.00006801, 0.00000022, 2, 1.06, 1.06
11, 0.01942484, 0.00003182, 73, 1.20, 0.01948564, 0.00000189, 2, 0.01293754, 0.00001969, 1962, 1.00, 0.67
12, 0.00000795, 0.00000000, 16, 0.04, 0.00000795, 0.00000000, 3, 0.00000795, 0.00000002, 12, 1.00, 1.00
13, 0.00001879, 0.00000005, 10, 0.02, 0.00001879, 0.00000005, 1, 0.00001879, 0.00000005, 1, 1.00, 1.00
14, 0.01243298, 0.00002253, 97, 1.07, 0.01376471, 0.00001372, 9, 0.00666516, 0.00000521, 387, 1.11, 0.54
15, 0.00003412, 0.00000041, 14, 0.05, 0.00003457, 0.00000001, 2, 0.00003457, 0.00000001, 2, 1.01, 1.01
16, 0.00003527, 0.00000061, 10, 0.02, 0.00003541, 0.00000005, 1, 0.00003541, 0.00000005, 1, 1.00, 1.00
17, 0.03279744, 0.00004757, 100, 1.69, 0.04275150, 0.00004652, 6, 0.01280353, 0.00000681, 1635, 1.30, 0.39
18, 0.00000523, 0.00000001, 16, 0.03, 0.00000523, 0.00000001, 1, 0.00000523, 0.00000001, 1, 1.00, 1.00
19, 0.00001146, 0.00000003, 10, 0.02, 0.00001146, 0.00000003, 1, 0.00001146, 0.00000003, 1, 1.00, 1.00
20, 0.00451027, 0.00000663, 94, 0.95, 0.00467730, 0.00000517, 3, 0.00329449, 0.00000164, 769, 1.04, 0.73
21, 0.00000379, 0.00000000, 23, 0.08, 0.00000379, 0.00000000, 8, 0.00000379, 0.00000000, 8, 1.00, 1.00
22, 0.00000245, 0.00000003, 42, 0.11, 0.00000350, 0.00000001, 7, 0.00000350, 0.00000001, 7, 1.43, 1.43
23, 0.00000758, 0.00000002, 10, 0.02, 0.00000758, 0.00000002, 1, 0.00000758, 0.00000002, 1, 1.00, 1.00
24, 0.01201143, 0.00000554, 1, 0.93, 0.01201143, 0.00000554, 1, 0.01143325, 0.00000529, 569, 1.00, 0.95
25, 0.00185409, 0.00000062, 1, 0.19, 0.00185409, 0.00000062, 6, 0.00160330, 0.00000009, 92, 1.00, 0.86
26, 0.00007735, 0.00000005, 1, 0.09, 0.00007735, 0.00000005, 10, 0.00004659, 0.00000004, 37, 1.00, 0.60
27, 0.00000421, 0.00000003, 100, 0.16, 0.00000766, 0.00000001, 3, 0.00000765, 0.00000002, 26, 1.82, 1.82
TOP: 25
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000701, 0.00000000, 10, 0.02, 0.00000701, 0.00000000, 1, 0.00000701, 0.00000000, 1, 1.00, 1.00
1, 0.00092330, 0.00001560, 100, 0.38, 0.00095701, 0.00000090, 22, 0.00086577, 0.00000034, 55, 1.04, 0.94
2, 0.00009400, 0.00000508, 14, 0.06, 0.00023682, 0.00000110, 2, 0.00023682, 0.00000110, 2, 2.52, 2.52
3, 0.01609542, 0.00005840, 67, 0.86, 0.01693167, 0.00010187, 9, 0.01313428, 0.00000236, 591, 1.05, 0.82
4, 0.00003205, 0.00000034, 30, 0.11, 0.00003228, 0.00000003, 1, 0.00003224, 0.00000003, 27, 1.01, 1.01
5, 0.00835887, 0.00001754, 77, 0.55, 0.00836170, 0.00000531, 20, 0.00654899, 0.00000072, 345, 1.00, 0.78
6, 0.02347719, 0.00001472, 41, 1.09, 0.02417782, 0.00003442, 7, 0.01332918, 0.00001283, 455, 1.03, 0.57
7, 0.00001654, 0.00000001, 16, 0.06, 0.00001654, 0.00000001, 6, 0.00001654, 0.00000001, 6, 1.00, 1.00
8, 0.00000835, 0.00000000, 10, 0.02, 0.00000835, 0.00000000, 2, 0.00000835, 0.00000000, 2, 1.00, 1.00
9, 0.01368511, 0.00002988, 100, 1.33, 0.01607515, 0.00005862, 3, 0.00670901, 0.00000520, 372, 1.17, 0.49
10, 0.00006504, 0.00000133, 10, 0.03, 0.00006801, 0.00000022, 2, 0.00006801, 0.00000022, 2, 1.05, 1.05
11, 0.01923029, 0.00003612, 96, 1.46, 0.01948564, 0.00000189, 2, 0.01293754, 0.00001969, 1962, 1.01, 0.67
12, 0.00000795, 0.00000002, 16, 0.04, 0.00000795, 0.00000002, 12, 0.00000795, 0.00000002, 12, 1.00, 1.00
13, 0.00001879, 0.00000005, 10, 0.02, 0.00001879, 0.00000005, 1, 0.00001879, 0.00000005, 1, 1.00, 1.00
14, 0.00984200, 0.00006148, 100, 1.23, 0.01017128, 0.00001590, 23, 0.00666516, 0.00000521, 387, 1.03, 0.68
15, 0.00003457, 0.00000001, 10, 0.02, 0.00003457, 0.00000001, 2, 0.00003457, 0.00000001, 2, 1.00, 1.00
16, 0.00003541, 0.00000005, 10, 0.03, 0.00003541, 0.00000005, 1, 0.00003541, 0.00000005, 1, 1.00, 1.00
17, 0.02009064, 0.00022853, 45, 0.59, 0.02009064, 0.00022853, 14, 0.01280353, 0.00000681, 1635, 1.00, 0.64
18, 0.00000523, 0.00000001, 16, 0.03, 0.00000523, 0.00000001, 1, 0.00000523, 0.00000001, 1, 1.00, 1.00
19, 0.00001146, 0.00000003, 10, 0.02, 0.00001146, 0.00000003, 1, 0.00001146, 0.00000003, 1, 1.00, 1.00
20, 0.00448801, 0.00001136, 93, 1.01, 0.00467730, 0.00000517, 3, 0.00329449, 0.00000164, 769, 1.04, 0.73
21, 0.00000379, 0.00000000, 23, 0.07, 0.00000379, 0.00000000, 8, 0.00000379, 0.00000000, 8, 1.00, 1.00
22, 0.00000243, 0.00000002, 24, 0.06, 0.00000350, 0.00000001, 7, 0.00000350, 0.00000001, 7, 1.44, 1.44
23, 0.00000758, 0.00000002, 10, 0.02, 0.00000758, 0.00000002, 1, 0.00000758, 0.00000002, 1, 1.00, 1.00
24, 0.01193646, 0.00003497, 1, 0.81, 0.01193646, 0.00003497, 22, 0.01143325, 0.00000529, 569, 1.00, 0.96
25, 0.00185409, 0.00000062, 1, 0.20, 0.00185409, 0.00000062, 6, 0.00160330, 0.00000009, 92, 1.00, 0.86
26, 0.00007735, 0.00000005, 1, 0.10, 0.00007735, 0.00000005, 10, 0.00004659, 0.00000004, 37, 1.00, 0.60
27, 0.00000425, 0.00000002, 100, 0.16, 0.00000766, 0.00000001, 3, 0.00000765, 0.00000002, 26, 1.80, 1.80
TOP: 50
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000701, 0.00000000, 10, 0.02, 0.00000701, 0.00000000, 1, 0.00000701, 0.00000000, 1, 1.00, 1.00
1, 0.00091103, 0.00000798, 86, 0.29, 0.00095701, 0.00000090, 22, 0.00086577, 0.00000034, 55, 1.05, 0.95
2, 0.00008789, 0.00000582, 20, 0.10, 0.00023682, 0.00000110, 2, 0.00023682, 0.00000110, 2, 2.69, 2.69
3, 0.01613516, 0.00000369, 73, 0.82, 0.01693167, 0.00010187, 9, 0.01313428, 0.00000236, 591, 1.05, 0.81
4, 0.00003185, 0.00000038, 25, 0.08, 0.00003224, 0.00000003, 27, 0.00003224, 0.00000003, 27, 1.01, 1.01
5, 0.00836170, 0.00000531, 40, 0.35, 0.00836170, 0.00000531, 20, 0.00654899, 0.00000072, 345, 1.00, 0.78
6, 0.01559578, 0.00000315, 74, 1.11, 0.01562739, 0.00000328, 39, 0.01332918, 0.00001283, 455, 1.00, 0.85
7, 0.00001654, 0.00000001, 16, 0.05, 0.00001654, 0.00000001, 6, 0.00001654, 0.00000001, 6, 1.00, 1.00
8, 0.00000835, 0.00000000, 10, 0.02, 0.00000835, 0.00000000, 2, 0.00000835, 0.00000000, 2, 1.00, 1.00
9, 0.00857173, 0.00001022, 40, 0.86, 0.00857173, 0.00001022, 35, 0.00670901, 0.00000520, 372, 1.00, 0.78
10, 0.00006463, 0.00000025, 14, 0.04, 0.00006801, 0.00000022, 2, 0.00006801, 0.00000022, 2, 1.05, 1.05
11, 0.01913244, 0.00002971, 100, 1.27, 0.01941980, 0.00001110, 33, 0.01293754, 0.00001969, 1962, 1.02, 0.68
12, 0.00000795, 0.00000002, 16, 0.04, 0.00000795, 0.00000002, 12, 0.00000795, 0.00000002, 12, 1.00, 1.00
13, 0.00001879, 0.00000005, 10, 0.02, 0.00001879, 0.00000005, 1, 0.00001879, 0.00000005, 1, 1.00, 1.00
14, 0.00911992, 0.00006040, 98, 0.99, 0.00978119, 0.00000462, 40, 0.00666516, 0.00000521, 387, 1.07, 0.73
15, 0.00003401, 0.00000004, 10, 0.04, 0.00003457, 0.00000001, 2, 0.00003457, 0.00000001, 2, 1.02, 1.02
16, 0.00003541, 0.00000005, 10, 0.02, 0.00003541, 0.00000005, 1, 0.00003541, 0.00000005, 1, 1.00, 1.00
17, 0.02009064, 0.00022853, 45, 0.59, 0.02009064, 0.00022853, 14, 0.01280353, 0.00000681, 1635, 1.00, 0.64
18, 0.00000523, 0.00000001, 16, 0.03, 0.00000523, 0.00000001, 1, 0.00000523, 0.00000001, 1, 1.00, 1.00
19, 0.00001146, 0.00000003, 10, 0.02, 0.00001146, 0.00000003, 1, 0.00001146, 0.00000003, 1, 1.00, 1.00
20, 0.00448442, 0.00001035, 98, 1.02, 0.00467730, 0.00000517, 3, 0.00329449, 0.00000164, 769, 1.04, 0.73
21, 0.00000379, 0.00000000, 23, 0.08, 0.00000379, 0.00000000, 8, 0.00000379, 0.00000000, 8, 1.00, 1.00
22, 0.00000247, 0.00000004, 35, 0.07, 0.00000350, 0.00000001, 7, 0.00000350, 0.00000001, 7, 1.42, 1.42
23, 0.00000758, 0.00000002, 10, 0.02, 0.00000758, 0.00000002, 1, 0.00000758, 0.00000002, 1, 1.00, 1.00
24, 0.01150734, 0.00000193, 1, 0.92, 0.01150734, 0.00000193, 26, 0.01143325, 0.00000529, 569, 1.00, 0.99
25, 0.00185409, 0.00000062, 1, 0.20, 0.00185409, 0.00000062, 6, 0.00160330, 0.00000009, 92, 1.00, 0.86
26, 0.00004659, 0.00000004, 1, 0.12, 0.00004659, 0.00000004, 37, 0.00004659, 0.00000004, 37, 1.00, 1.00
27, 0.00000765, 0.00000002, 33, 0.05, 0.00000765, 0.00000002, 26, 0.00000765, 0.00000002, 26, 1.00, 1.00
TOP: 100
Layer, Droplet time(s), Droplet std(s), Droplet trials, Droplet Tuning(min), Meta-{top} time(s), Meta-{top} std(s), trials-{top}, Meta 10k time(s), Meta 10k std(s), trials-10k, speedup-{top}, speedup-10k
0, 0.00000701, 0.00000000, 10, 0.02, 0.00000701, 0.00000000, 1, 0.00000701, 0.00000000, 1, 1.00, 1.00
1, 0.00080363, 0.00000422, 74, 0.39, 0.00086577, 0.00000034, 55, 0.00086577, 0.00000034, 55, 1.08, 1.08
2, 0.00011928, 0.00001321, 14, 0.06, 0.00023682, 0.00000110, 2, 0.00023682, 0.00000110, 2, 1.99, 1.99
3, 0.01497784, 0.00000616, 99, 1.17, 0.01500278, 0.00001010, 95, 0.01313428, 0.00000236, 591, 1.00, 0.88
4, 0.00003073, 0.00000072, 25, 0.08, 0.00003224, 0.00000003, 27, 0.00003224, 0.00000003, 27, 1.05, 1.05
5, 0.00709315, 0.00001571, 82, 0.90, 0.00724005, 0.00000954, 97, 0.00654899, 0.00000072, 345, 1.02, 0.92
6, 0.01395598, 0.00005257, 78, 1.28, 0.01426887, 0.00001820, 86, 0.01332918, 0.00001283, 455, 1.02, 0.96
7, 0.00001654, 0.00000001, 16, 0.05, 0.00001654, 0.00000001, 6, 0.00001654, 0.00000001, 6, 1.00, 1.00
8, 0.00000835, 0.00000000, 10, 0.02, 0.00000835, 0.00000000, 2, 0.00000835, 0.00000000, 2, 1.00, 1.00
9, 0.00740054, 0.00001239, 100, 1.83, 0.00756476, 0.00000504, 74, 0.00670901, 0.00000520, 372, 1.02, 0.91
10, 0.00006441, 0.00000055, 10, 0.03, 0.00006801, 0.00000022, 2, 0.00006801, 0.00000022, 2, 1.06, 1.06
11, 0.01411971, 0.00002085, 100, 1.68, 0.01570789, 0.00002317, 77, 0.01293754, 0.00001969, 1962, 1.11, 0.92
12, 0.00000795, 0.00000002, 16, 0.04, 0.00000795, 0.00000002, 12, 0.00000795, 0.00000002, 12, 1.00, 1.00
13, 0.00001879, 0.00000005, 10, 0.02, 0.00001879, 0.00000005, 1, 0.00001879, 0.00000005, 1, 1.00, 1.00
14, 0.00792994, 0.00000604, 40, 0.47, 0.00792994, 0.00000604, 77, 0.00666516, 0.00000521, 387, 1.00, 0.84
15, 0.00003409, 0.00000046, 14, 0.04, 0.00003457, 0.00000001, 2, 0.00003457, 0.00000001, 2, 1.01, 1.01
16, 0.00003541, 0.00000005, 10, 0.02, 0.00003541, 0.00000005, 1, 0.00003541, 0.00000005, 1, 1.00, 1.00
17, 0.01536175, 0.00001950, 82, 1.14, 0.01556913, 0.00001152, 82, 0.01280353, 0.00000681, 1635, 1.01, 0.83
18, 0.00000523, 0.00000001, 16, 0.03, 0.00000523, 0.00000001, 1, 0.00000523, 0.00000001, 1, 1.00, 1.00
19, 0.00001146, 0.00000003, 10, 0.02, 0.00001146, 0.00000003, 1, 0.00001146, 0.00000003, 1, 1.00, 1.00
20, 0.00379136, 0.00003047, 98, 0.85, 0.00386915, 0.00000103, 80, 0.00329449, 0.00000164, 769, 1.02, 0.87
21, 0.00000379, 0.00000000, 23, 0.07, 0.00000379, 0.00000000, 8, 0.00000379, 0.00000000, 8, 1.00, 1.00
22, 0.00000245, 0.00000003, 46, 0.16, 0.00000350, 0.00000001, 7, 0.00000350, 0.00000001, 7, 1.43, 1.43
23, 0.00000758, 0.00000002, 10, 0.02, 0.00000758, 0.00000002, 1, 0.00000758, 0.00000002, 1, 1.00, 1.00
24, 0.01144880, 0.00000120, 1, 0.85, 0.01144880, 0.00000120, 75, 0.01143325, 0.00000529, 569, 1.00, 1.00
25, 0.00160330, 0.00000009, 1, 0.18, 0.00160330, 0.00000009, 92, 0.00160330, 0.00000009, 92, 1.00, 1.00
26, 0.00004659, 0.00000004, 1, 0.10, 0.00004659, 0.00000004, 37, 0.00004659, 0.00000004, 37, 1.00, 1.00
27, 0.00000765, 0.00000002, 33, 0.05, 0.00000765, 0.00000002, 26, 0.00000765, 0.00000002, 26, 1.00, 1.00
TOP: 200
