Sun Dec 17 00:54:49 EST 2023
workergpu064
Greetings from !
Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
18, 0.00000548, 20.34, 488.98, 13, 0.00000548, 468.64, 64, 0.00000548, 468.64, 64, 1.00, 1.00, 0.96, 0.96
19, 0.00001095, 45.38, 514.01, 41, 0.00001157, 468.64, 64, 0.00001157, 468.64, 64, 1.06, 1.06, 0.91, 0.91
20, 0.00001657, 24.30, 492.94, 14, 0.00001657, 468.64, 64, 0.00001657, 468.64, 64, 1.00, 1.00, 0.95, 0.95
21, 0.00001235, 59.74, 528.38, 56, 0.00001642, 468.64, 64, 0.00001642, 468.64, 64, 1.33, 1.33, 0.89, 0.89
22, 0.00001542, 30.92, 968.20, 21, 0.00001549, 937.28, 128, 0.00001549, 937.28, 128, 1.00, 1.00, 0.97, 0.97
23, 0.00001241, 26.93, 964.21, 15, 0.00001241, 937.28, 128, 0.00001241, 937.28, 128, 1.00, 1.00, 0.97, 0.97
24, 0.00001096, 24.59, 961.87, 11, 0.00001096, 937.28, 128, 0.00001096, 937.28, 128, 1.00, 1.00, 0.97, 0.97
25, 0.00001466, 33.33, 970.61, 13, 0.00001466, 937.28, 128, 0.00001466, 937.28, 128, 1.00, 1.00, 0.97, 0.97
26, 0.00000917, 28.57, 497.21, 15, 0.00000917, 468.64, 64, 0.00000917, 468.64, 64, 1.00, 1.00, 0.94, 0.94
27, 0.00001848, 43.45, 980.73, 26, 0.00001862, 937.28, 128, 0.00001862, 937.28, 128, 1.01, 1.01, 0.96, 0.96
28, 0.00001224, 28.13, 965.41, 21, 0.00001314, 937.28, 128, 0.00001314, 937.28, 128, 1.07, 1.07, 0.97, 0.97
29, 0.00000655, 20.94, 489.58, 13, 0.00000655, 468.64, 64, 0.00000655, 468.64, 64, 1.00, 1.00, 0.96, 0.96
30, 0.00001137, 22.35, 959.63, 15, 0.00001137, 937.28, 128, 0.00001137, 937.28, 128, 1.00, 1.00, 0.98, 0.98
31, 0.00001391, 27.55, 964.83, 11, 0.00001391, 937.28, 128, 0.00001391, 937.28, 128, 1.00, 1.00, 0.97, 0.97
32, 0.00002161, 29.56, 966.84, 23, 0.00002184, 937.28, 128, 0.00002184, 937.28, 128, 1.01, 1.01, 0.97, 0.97
33, 0.00001859, 20.68, 489.32, 11, 0.00001859, 468.64, 64, 0.00001859, 468.64, 64, 1.00, 1.00, 0.96, 0.96
34, 0.00001115, 34.08, 502.72, 29, 0.00001207, 468.64, 64, 0.00001207, 468.64, 64, 1.08, 1.08, 0.93, 0.93
35, 0.00000488, 34.60, 503.24, 23, 0.00000506, 468.64, 64, 0.00000506, 468.64, 64, 1.04, 1.04, 0.93, 0.93
36, 0.00002347, 26.39, 963.66, 11, 0.00002347, 937.28, 128, 0.00002347, 937.28, 128, 1.00, 1.00, 0.97, 0.97
37, 0.00001746, 53.47, 522.11, 43, 0.00001807, 468.64, 64, 0.00001807, 468.64, 64, 1.03, 1.03, 0.90, 0.90
38, 0.00000932, 37.46, 506.10, 29, 0.00000961, 468.64, 64, 0.00000961, 468.64, 64, 1.03, 1.03, 0.93, 0.93
39, 0.00001204, 47.88, 1512.38, 13, 0.00001204, 1464.50, 200, 0.00001185, 4686.39, 640, 1.00, 0.98, 0.97, 3.10
40, 0.00001157, 64.22, 532.86, 34, 0.00001306, 468.64, 64, 0.00001306, 468.64, 64, 1.13, 1.13, 0.88, 0.88
41, 0.00001865, 20.75, 489.39, 11, 0.00001865, 468.64, 64, 0.00001865, 468.64, 64, 1.00, 1.00, 0.96, 0.96
42, 0.00001922, 37.36, 974.64, 15, 0.00001922, 937.28, 128, 0.00001922, 937.28, 128, 1.00, 1.00, 0.96, 0.96
43, 0.00001377, 31.95, 969.22, 25, 0.00001426, 937.28, 128, 0.00001426, 937.28, 128, 1.04, 1.04, 0.97, 0.97
44, 0.00000877, 30.57, 967.85, 15, 0.00000877, 937.28, 128, 0.00000877, 937.28, 128, 1.00, 1.00, 0.97, 0.97
45, 0.00001756, 22.24, 490.88, 15, 0.00001756, 468.64, 64, 0.00001756, 468.64, 64, 1.00, 1.00, 0.95, 0.95
46, 0.00001541, 57.04, 525.68, 30, 0.00001789, 468.64, 64, 0.00001789, 468.64, 64, 1.16, 1.16, 0.89, 0.89
47, 0.00001417, 65.40, 534.04, 44, 0.00001741, 468.64, 64, 0.00001741, 468.64, 64, 1.23, 1.23, 0.88, 0.88
48, 0.00002103, 22.12, 959.40, 11, 0.00002103, 937.28, 128, 0.00002103, 937.28, 128, 1.00, 1.00, 0.98, 0.98
49, 0.00001229, 37.69, 1502.18, 11, 0.00001229, 1464.50, 200, 0.00001122, 7498.23, 1024, 1.00, 0.91, 0.97, 4.99
50, 0.00002029, 28.46, 965.74, 15, 0.00002029, 937.28, 128, 0.00002029, 937.28, 128, 1.00, 1.00, 0.97, 0.97
