Mon Dec 18 14:48:00 EST 2023
workergpu061
Greetings from !
Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
55, 0.00001388, 23.62, 509.98, 13, 0.00001388, 486.35, 64, 0.00001388, 486.35, 64, 1.00, 1.00, 0.95, 0.95
56, 0.00004262, 18.85, 505.20, 11, 0.00004262, 486.35, 64, 0.00004262, 486.35, 64, 1.00, 1.00, 0.96, 0.96
57, 0.00003301, 20.88, 507.24, 13, 0.00003301, 486.35, 64, 0.00003301, 486.35, 64, 1.00, 1.00, 0.96, 0.96
58, 0.00003332, 24.33, 784.26, 11, 0.00003332, 759.93, 100, 0.00003332, 972.71, 128, 1.00, 1.00, 0.97, 1.24
59, 0.00000984, 18.98, 505.34, 14, 0.00000984, 486.35, 64, 0.00000984, 486.35, 64, 1.00, 1.00, 0.96, 0.96
60, 0.00001245, 34.87, 794.79, 11, 0.00001245, 759.93, 100, 0.00001133, 3890.82, 512, 1.00, 0.91, 0.96, 4.90
61, 0.00003439, 31.90, 518.26, 22, 0.00003456, 486.35, 64, 0.00003456, 486.35, 64, 1.00, 1.00, 0.94, 0.94
62, 0.00004446, 30.10, 516.45, 17, 0.00004446, 486.35, 64, 0.00004446, 486.35, 64, 1.00, 1.00, 0.94, 0.94
63, 0.00003232, 34.00, 793.93, 15, 0.00003232, 759.93, 100, 0.00003232, 972.71, 128, 1.00, 1.00, 0.96, 1.23
64, 0.00002873, 50.78, 537.13, 37, 0.00002885, 486.35, 64, 0.00002885, 486.35, 64, 1.00, 1.00, 0.91, 0.91
65, 0.00002443, 19.69, 506.05, 13, 0.00002443, 486.35, 64, 0.00002443, 486.35, 64, 1.00, 1.00, 0.96, 0.96
66, 0.00001606, 19.52, 505.87, 11, 0.00001606, 486.35, 64, 0.00001606, 486.35, 64, 1.00, 1.00, 0.96, 0.96
67, 0.00001043, 30.02, 516.37, 15, 0.00001043, 486.35, 64, 0.00001043, 486.35, 64, 1.00, 1.00, 0.94, 0.94
68, 0.00002526, 38.51, 798.44, 25, 0.00002536, 759.93, 100, 0.00002351, 972.71, 128, 1.00, 0.93, 0.95, 1.22
69, 0.00003992, 35.85, 522.21, 28, 0.00004539, 486.35, 64, 0.00004539, 486.35, 64, 1.14, 1.14, 0.93, 0.93
70, 0.00003513, 21.92, 781.85, 11, 0.00003513, 759.93, 100, 0.00003513, 972.71, 128, 1.00, 1.00, 0.97, 1.24
71, 0.00002412, 23.23, 509.58, 15, 0.00002412, 486.35, 64, 0.00002412, 486.35, 64, 1.00, 1.00, 0.95, 0.95
72, 0.00002933, 23.91, 783.84, 11, 0.00002933, 759.93, 100, 0.00001140, 6322.58, 832, 1.00, 0.39, 0.97, 8.07
73, 0.00002150, 37.05, 523.40, 30, 0.00002533, 486.35, 64, 0.00002533, 486.35, 64, 1.18, 1.18, 0.93, 0.93
74, 0.00004339, 78.10, 564.45, 52, 0.00004594, 486.35, 64, 0.00004594, 486.35, 64, 1.06, 1.06, 0.86, 0.86
75, 0.00002884, 35.96, 522.31, 30, 0.00003333, 486.35, 64, 0.00003333, 486.35, 64, 1.16, 1.16, 0.93, 0.93
76, 0.00002250, 31.70, 791.63, 15, 0.00002250, 759.93, 100, 0.00002250, 972.71, 128, 1.00, 1.00, 0.96, 1.23
77, 0.00000758, 19.65, 506.00, 12, 0.00000758, 486.35, 64, 0.00000758, 486.35, 64, 1.00, 1.00, 0.96, 0.96
78, 0.00003415, 17.10, 503.45, 11, 0.00003415, 486.35, 64, 0.00003415, 486.35, 64, 1.00, 1.00, 0.97, 0.97
79, 0.00001288, 40.42, 526.77, 29, 0.00001604, 486.35, 64, 0.00001604, 486.35, 64, 1.25, 1.25, 0.92, 0.92
80, 0.00003209, 25.85, 512.21, 15, 0.00003209, 486.35, 64, 0.00003209, 486.35, 64, 1.00, 1.00, 0.95, 0.95
81, 0.00001167, 28.02, 514.37, 25, 0.00001211, 486.35, 64, 0.00001211, 486.35, 64, 1.04, 1.04, 0.95, 0.95
82, 0.00003631, 27.29, 513.64, 16, 0.00003631, 486.35, 64, 0.00003631, 486.35, 64, 1.00, 1.00, 0.95, 0.95
83, 0.00003387, 24.09, 510.44, 11, 0.00003387, 486.35, 64, 0.00003387, 486.35, 64, 1.00, 1.00, 0.95, 0.95
84, 0.00001792, 40.68, 527.04, 30, 0.00001982, 486.35, 64, 0.00001982, 486.35, 64, 1.11, 1.11, 0.92, 0.92
85, 0.00002322, 26.03, 785.95, 11, 0.00002322, 759.93, 100, 0.00001989, 2918.12, 384, 1.00, 0.86, 0.97, 3.71
86, 0.00002734, 49.23, 535.58, 36, 0.00002880, 486.35, 64, 0.00002880, 486.35, 64, 1.05, 1.05, 0.91, 0.91
87, 0.00002520, 22.56, 782.48, 11, 0.00002520, 759.93, 100, 0.00002520, 972.71, 128, 1.00, 1.00, 0.97, 1.24
