Thu Jan 25 11:00:54 EST 2024
workergpu039
Greetings from !
Top 300 resnet34
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), std Ansor-300, tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k, p-value
2, 0.00003067, 0.00000012, 46.95, 2139.46, 21, 0.00003157, 0.00000002, 2092.51, 300, 0.00003138, 0.00000000, 4464.03, 640, 1.03, 1.02, 0.98, 2.09, 0.00101322
3, 0.00005392, 0.00000002, 26.80, 2119.31, 11, 0.00005392, 0.00000002, 2092.51, 300, 0.00005038, 0.00000002, 6696.05, 960, 1.00, 0.93, 0.99, 3.16, 0.00000001
4, 0.00000486, 0.00000010, 38.54, 931.35, 26, 0.00000502, 0.00000000, 892.81, 128, 0.00000502, 0.00000000, 892.81, 128, 1.03, 1.03, 0.96, 0.96, 0.09239530
5, 0.00002880, 0.00000000, 29.96, 2122.48, 11, 0.00002880, 0.00000000, 2092.51, 300, 0.00002875, 0.00000001, 4017.63, 576, 1.00, 1.00, 0.99, 1.89, 0.00054888
6, 0.00000315, 0.00000000, 17.37, 463.77, 11, 0.00000315, 0.00000000, 446.40, 64, 0.00000315, 0.00000000, 446.40, 64, 1.00, 1.00, 0.96, 0.96, 1.00000000
7, 0.00008165, 0.00000009, 29.65, 2122.16, 11, 0.00008165, 0.00000009, 2092.51, 300, 0.00007331, 0.00000004, 9820.87, 1408, 1.00, 0.90, 0.99, 4.63, 0.00000003
8, 0.00000519, 0.00000000, 19.75, 912.56, 13, 0.00000519, 0.00000000, 892.81, 128, 0.00000519, 0.00000000, 892.81, 128, 1.00, 1.00, 0.98, 0.98, 1.00000000
9, 0.00009442, 0.00000002, 21.29, 2113.80, 11, 0.00009442, 0.00000002, 2092.51, 300, 0.00007307, 0.00000005, 9374.46, 1344, 1.00, 0.77, 0.99, 4.43, 0.00000000
10, 0.00019462, 0.00000019, 21.70, 2114.21, 11, 0.00019462, 0.00000019, 2092.51, 300, 0.00015148, 0.00000018, 19641.74, 2816, 1.00, 0.78, 0.99, 9.29, 0.00000000
11, 0.00000329, 0.00000000, 17.13, 463.54, 11, 0.00000329, 0.00000000, 446.40, 64, 0.00000329, 0.00000000, 446.40, 64, 1.00, 1.00, 0.96, 0.96, 1.00000000
12, 0.00005843, 0.00000004, 36.73, 2129.24, 11, 0.00005843, 0.00000004, 2092.51, 300, 0.00005670, 0.00000002, 7588.85, 1088, 1.00, 0.97, 0.98, 3.56, 0.00000047
Thu Jan 25 12:00:24 EST 2024

Completed

