BENCH: densenet201
layer, droplet-300 exec, droplet-300 tuning, droplet-300 trials, random-300 exec, random-300 tuning, random-300 trials, exec speedup, tuning speedup
34, 0.00023772, 72.27, 34, 0.00087058, 228.81, 100, 0.27, 0.32
35, 0.00022637, 68.70, 53, 0.00031361, 192.77, 100, 0.72, 0.36
36, 0.00009729, 54.52, 43, 0.00024614, 251.89, 100, 0.40, 0.22
37, 0.00099915, 58.93, 38, 0.00291433, 215.15, 100, 0.34, 0.27
38, 0.00048828, 48.76, 38, 0.00317719, 146.34, 100, 0.15, 0.33
39, 0.00007072, 66.90, 57, 0.00009641, 184.03, 100, 0.73, 0.36
40, 0.00023569, 51.68, 49, 0.00044988, 186.80, 100, 0.52, 0.28
41, 0.00012760, 55.90, 43, 0.00017238, 157.37, 100, 0.74, 0.36
42, 0.00000467, 1.09, 2, 0.00000558, 3.92, 4, 0.84, 0.28
43, 0.00038227, 54.66, 45, 0.00085890, 122.85, 100, 0.45, 0.44
44, 0.00010087, 82.01, 73, 0.00016325, 192.10, 100, 0.62, 0.43
45, 0.00035278, 67.68, 57, 0.00231821, 163.74, 100, 0.15, 0.41
46, 0.00017156, 59.98, 58, 0.00045849, 247.87, 100, 0.37, 0.24
47, 0.00028141, 62.49, 56, 0.00063082, 184.03, 100, 0.45, 0.34
48, 0.00001215, 60.15, 60, 0.00001231, 99.33, 100, 0.99, 0.61
49, 0.00009517, 76.78, 52, 0.00011604, 128.35, 100, 0.82, 0.60
50, 0.00032661, 60.84, 61, 0.00059745, 174.67, 100, 0.55, 0.35
51, 0.00006499, 63.98, 56, 0.00009823, 249.49, 100, 0.66, 0.26
52, 0.00018379, 45.01, 45, 0.00039883, 133.74, 100, 0.46, 0.34
53, 0.00042696, 43.62, 38, 0.00073604, 138.68, 100, 0.58, 0.31
54, 0.00005858, 59.77, 50, 0.00013158, 155.81, 100, 0.45, 0.38
55, 0.00019210, 18.38, 19, 0.00034659, 123.68, 100, 0.55, 0.15
56, 0.00052283, 48.13, 43, 0.00151654, 154.47, 100, 0.34, 0.31
57, 0.00026194, 82.99, 43, 0.00021109, 158.56, 100, 1.24, 0.52
58, 0.00028961, 76.56, 53, 0.00083091, 164.87, 100, 0.35, 0.46
59, 0.00056600, 42.79, 43, 0.00058708, 142.11, 100, 0.96, 0.30
60, 0.00009699, 63.97, 55, 0.00054355, 179.12, 100, 0.18, 0.36
61, 0.00016592, 62.65, 49, 0.00028842, 130.27, 100, 0.58, 0.48
62, 0.00049302, 28.99, 28, 0.00122180, 119.16, 100, 0.40, 0.24
63, 0.00263747, 79.55, 45, 0.00465383, 221.95, 100, 0.57, 0.36
64, 0.00027320, 53.21, 38, 0.00035538, 161.78, 100, 0.77, 0.33
65, 0.00052908, 55.39, 43, 0.00278018, 259.84, 100, 0.19, 0.21
66, 0.00010188, 46.96, 45, 0.00036178, 168.90, 100, 0.28, 0.28
67, 0.00016273, 71.72, 58, 0.00092895, 163.24, 100, 0.18, 0.44
68, 0.00023210, 54.97, 43, 0.00035774, 141.19, 100, 0.65, 0.39
69, 0.00012969, 84.07, 71, 0.00016134, 149.83, 100, 0.80, 0.56
70, 0.00040247, 18.44, 19, 0.00054783, 109.94, 100, 0.73, 0.17
71, 0.00043653, 41.51, 38, 0.00090136, 163.44, 100, 0.48, 0.25
72, 0.00017243, 17.24, 18, 0.00087374, 113.03, 100, 0.20, 0.15
73, 0.00011025, 74.58, 63, 0.00023158, 147.29, 100, 0.48, 0.51
74, 0.00033763, 114.17, 56, 0.00247317, 201.92, 100, 0.14, 0.57
75, 0.00059968, 120.15, 43, 0.00545667, 147.24, 100, 0.11, 0.82
76, 0.00000779, 0.97, 2, 0.00000699, 3.87, 4, 1.11, 0.25
77, 0.00019941, 81.22, 43, 0.00117518, 154.59, 100, 0.17, 0.53
78, 0.00007978, 48.07, 45, 0.00028640, 188.80, 100, 0.28, 0.25
79, 0.00111367, 43.37, 43, 0.00231521, 210.76, 100, 0.48, 0.21
80, 0.00015211, 87.22, 67, 0.00093630, 205.20, 100, 0.16, 0.43
81, 0.00045568, 48.20, 43, 0.00053015, 178.49, 100, 0.86, 0.27
82, 0.00008937, 86.81, 75, 0.00028795, 131.81, 100, 0.31, 0.66
83, 0.00051157, 56.44, 43, 0.00137975, 121.40, 100, 0.37, 0.46
84, 0.00009081, 77.94, 53, 0.00017589, 144.99, 100, 0.52, 0.54
85, 0.00015628, 50.63, 43, 0.00036554, 122.51, 100, 0.43, 0.41
86, 0.00016482, 49.59, 36, 0.00012410, 123.39, 100, 1.33, 0.40
87, 0.00024241, 78.08, 58, 0.00069647, 128.54, 100, 0.35, 0.61
88, 0.00008728, 60.20, 55, 0.00009058, 194.58, 100, 0.96, 0.31
89, 0.00065724, 18.48, 18, 0.00105753, 116.27, 100, 0.62, 0.16
90, 0.00013391, 52.92, 51, 0.00027206, 160.90, 100, 0.49, 0.33
91, 0.00015422, 116.14, 69, 0.00018872, 144.58, 100, 0.82, 0.80
92, 0.00038661, 71.90, 43, 0.00044697, 186.28, 100, 0.86, 0.39
93, 0.00109097, 43.80, 43, 0.00793076, 205.74, 100, 0.14, 0.21
94, 0.00010691, 68.99, 43, 0.00034446, 146.72, 100, 0.31, 0.47
95, 0.00062266, 64.90, 43, 0.00210229, 264.44, 100, 0.30, 0.25
96, 0.00010664, 54.14, 52, 0.00014822, 142.77, 100, 0.72, 0.38
97, 0.00053004, 51.81, 43, 0.00235978, 133.68, 100, 0.22, 0.39
98, 0.00001943, 8.98, 10, 0.00001794, 80.03, 80, 1.08, 0.11
99, 0.00059587, 60.36, 43, 0.00073813, 160.68, 100, 0.81, 0.38
100, 0.00021666, 64.61, 43, 0.00091017, 220.92, 100, 0.24, 0.29
101, 0.00081253, 61.48, 43, 0.00132783, 197.40, 100, 0.61, 0.31
102, 0.00019331, 55.68, 38, 0.00010453, 143.02, 100, 1.85, 0.39
103, 0.00030747, 44.63, 43, 0.00027288, 146.97, 100, 1.13, 0.30
104, 0.00059715, 46.93, 43, 0.00085335, 191.68, 100, 0.70, 0.24
105, 0.00043402, 59.09, 38, 0.00111669, 142.84, 100, 0.39, 0.41
106, 0.00006917, 65.56, 53, 0.00012240, 127.51, 100, 0.57, 0.51
107, 0.00016618, 43.94, 43, 0.00023314, 149.45, 100, 0.71, 0.29
108, 0.00035697, 82.35, 61, 0.00121518, 132.07, 100, 0.29, 0.62
109, 0.00031936, 65.78, 43, 0.00050863, 145.75, 100, 0.63, 0.45
110, 0.00026471, 68.38, 58, 0.00016055, 155.52, 100, 1.65, 0.44
111, 0.00002956, 57.06, 36, 0.00009042, 155.26, 100, 0.33, 0.37
112, 0.00036609, 67.81, 64, 0.00122824, 173.73, 100, 0.30, 0.39
