Thu Dec 14 08:31:11 EST 2023
fj001
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
8, 0.00044942, 76.39, 710.69, 21, 0.00046236, 634.30, 200, 0.00035140, 5074.41, 1600, 1.03, 0.78, 0.89, 7.14
9, 0.00023361, 34.53, 668.83, 11, 0.00023361, 634.30, 200, 0.00010323, 3247.62, 1024, 1.00, 0.44, 0.95, 4.86
10, 0.00004913, 55.55, 689.85, 11, 0.00004913, 634.30, 200, 0.00004913, 1014.88, 320, 1.00, 1.00, 0.92, 1.47
11, 0.00023367, 95.15, 729.45, 19, 0.00024738, 634.30, 200, 0.00009203, 2638.70, 832, 1.06, 0.39, 0.87, 3.62
12, 0.00012048, 72.29, 706.59, 22, 0.00012333, 634.30, 200, 0.00007014, 2435.72, 768, 1.02, 0.58, 0.90, 3.45
13, 0.00003748, 34.07, 668.37, 11, 0.00003748, 634.30, 200, 0.00003151, 1217.86, 384, 1.00, 0.84, 0.95, 1.82
14, 0.00019589, 93.71, 728.01, 15, 0.00021957, 634.30, 200, 0.00010564, 3044.65, 960, 1.12, 0.54, 0.87, 4.18
15, 0.00002755, 0.68, 406.63, 1, 0.00002755, 405.95, 128, 0.00002755, 405.95, 128, 1.00, 1.00, 1.00, 1.00
16, 0.00005858, 24.73, 659.03, 11, 0.00005858, 634.30, 200, 0.00005558, 1014.88, 320, 1.00, 0.95, 0.96, 1.54
17, 0.00004372, 12.45, 621.38, 11, 0.00004372, 608.93, 192, 0.00004372, 608.93, 192, 1.00, 1.00, 0.98, 0.98
