Thu Dec 14 21:52:20 EST 2023
fj016
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
11, 0.00112757, 46.26, 936.62, 16, 0.00207794, 890.35, 200, 0.00050489, 4558.61, 1024, 1.84, 0.45, 0.95, 4.87
12, 0.00028510, 31.20, 921.56, 15, 0.00028510, 890.35, 200, 0.00025992, 2279.31, 512, 1.00, 0.91, 0.97, 2.47
Top 300
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k
0, 0.00010446, 137.26, 1472.79, 31, 0.00130896, 1335.53, 300, 0.00034878, 11396.53, 2560, 12.53, 3.34, 0.91, 7.74
1, 0.00014755, 107.60, 1443.13, 24, 0.00130492, 1335.53, 300, 0.00075400, 6553.01, 1472, 8.84, 5.11, 0.93, 4.54
2, 0.00002338, 15.04, 104.08, 3, 0.00002338, 89.04, 20, 0.00002338, 89.04, 20, 1.00, 1.00, 0.86, 0.86
3, 0.00003570, 19.03, 873.77, 10, 0.00007576, 854.74, 192, 0.00007576, 854.74, 192, 2.12, 2.12, 0.98, 0.98
4, 0.00002573, 3.69, 92.72, 3, 0.00002573, 89.04, 20, 0.00002573, 89.04, 20, 1.00, 1.00, 0.96, 0.96
5, 0.00022662, 3.48, 1339.01, 2, 0.00184012, 1335.53, 300, 0.00039790, 5413.35, 1216, 8.12, 1.76, 1.00, 4.04
6, 0.00005116, 18.44, 588.26, 15, 0.00005116, 569.83, 128, 0.00005116, 569.83, 128, 1.00, 1.00, 0.97, 0.97
7, 0.00054447, 50.99, 1386.52, 14, 0.00054447, 1335.53, 300, 0.00046674, 3988.79, 896, 1.00, 0.86, 0.96, 2.88
8, 0.00144338, 16.60, 1352.13, 8, 0.00278663, 1335.53, 300, 0.00051408, 8547.40, 1920, 1.93, 0.36, 0.99, 6.32
9, 0.00000312, 0.66, 285.57, 1, 0.00000312, 284.91, 64, 0.00000312, 284.91, 64, 1.00, 1.00, 1.00, 1.00
10, 0.00002752, 2.13, 91.17, 2, 0.00002752, 89.04, 20, 0.00002752, 89.04, 20, 1.00, 1.00, 0.98, 0.98
11, 0.00012336, 162.72, 1498.25, 42, 0.00182637, 1335.53, 300, 0.00050489, 4558.61, 1024, 14.80, 4.09, 0.89, 3.04
12, 0.00025992, 24.45, 1359.98, 11, 0.00025992, 1335.53, 300, 0.00025992, 2279.31, 512, 1.00, 1.00, 0.98, 1.68
Top 1000
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1000 (s), tuning time Ansor-1000, task Ansor-1000, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1000, speedup 10k, speed tuning time top-1000, speed tuning time 10k
0, 0.00079519, 78.96, 4530.73, 14, 0.00120791, 4451.77, 1000, 0.00034878, 11396.53, 2560, 1.52, 0.44, 0.98, 2.52
1, 0.00074777, 166.39, 4618.16, 23, 0.00117224, 4451.77, 1000, 0.00075400, 6553.01, 1472, 1.57, 1.01, 0.96, 1.42
2, 0.00002333, 13.77, 102.81, 2, 0.00002338, 89.04, 20, 0.00002338, 89.04, 20, 1.00, 1.00, 0.87, 0.87
3, 0.00007576, 23.29, 878.03, 11, 0.00007576, 854.74, 192, 0.00007576, 854.74, 192, 1.00, 1.00, 0.97, 0.97
4, 0.00002573, 2.74, 91.78, 2, 0.00002573, 89.04, 20, 0.00002573, 89.04, 20, 1.00, 1.00, 0.97, 0.97
5, 0.00039790, 40.33, 4492.10, 11, 0.00039790, 4451.77, 1000, 0.00039790, 5413.35, 1216, 1.00, 1.00, 0.99, 1.21
6, 0.00005116, 29.52, 599.35, 21, 0.00005116, 569.83, 128, 0.00005116, 569.83, 128, 1.00, 1.00, 0.95, 0.95
7, 0.00005076, 53.88, 4042.67, 15, 0.00046674, 3988.79, 896, 0.00046674, 3988.79, 896, 9.19, 9.19, 0.99, 0.99
8, 0.00007207, 38.91, 4490.68, 16, 0.00122728, 4451.77, 1000, 0.00051408, 8547.40, 1920, 17.03, 7.13, 0.99, 1.90
9, 0.00000312, 0.66, 285.57, 1, 0.00000312, 284.91, 64, 0.00000312, 284.91, 64, 1.00, 1.00, 1.00, 1.00
10, 0.00002752, 1.56, 90.59, 2, 0.00002752, 89.04, 20, 0.00002752, 89.04, 20, 1.00, 1.00, 0.98, 0.98
11, 0.00050489, 39.30, 4491.07, 11, 0.00050489, 4451.77, 1000, 0.00050489, 4558.61, 1024, 1.00, 1.00, 0.99, 1.02
12, 0.00025992, 79.34, 2358.65, 16, 0.00025992, 2279.31, 512, 0.00025992, 2279.31, 512, 1.00, 1.00, 0.97, 0.97
Fri Dec 15 01:50:51 EST 2023

Completed

