Thu Jan  4 20:21:47 EST 2024
fj003
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
10, 0.00003127, 0.63, 8.75, 1, 0.00003127, 8.12,  1, 0.00002857, 162.43, 20, 1.00, 0.91, 0.93, 18.56
11, 0.00003703, 2.84, 10.96, 2, 0.00003703, 8.12,  1, 0.00002166, 162.43, 20, 1.00, 0.59, 0.74, 14.82
12, 0.00000830, 1.55, 9.68, 2, 0.00000834, 8.12,  1, 0.00000834, 519.77, 64, 1.00, 1.00, 0.84, 53.72
13, 0.28472600, 363.18, 371.30, 29, 0.36808567, 8.12,  1, 0.00301953, 12994.33, 1600, 1.29, 0.01, 0.02, 35.00
14, 0.00008585, 7.23, 15.35, 2, 0.00014956, 8.12,  1, 0.00003425, 162.43, 20, 1.74, 0.40, 0.53, 10.58
15, 0.02142693, 66.60, 74.73, 17, 0.02837327, 8.12,  1, 0.00169243, 8836.15, 1088, 1.32, 0.08, 0.11, 118.25
16, 0.00002891, 0.57, 8.69, 1, 0.00002891, 8.12,  1, 0.00002698, 162.43, 20, 1.00, 0.93, 0.93, 18.69
Top 10
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-10 (s), tuning time Ansor-10, task Ansor-10, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-10, speedup 10k, speed tuning time top-10, speed tuning time 10k
0, 0.00110751, 27.08, 108.29, 5, 0.00203673, 81.21, 10, 0.00023434, 1039.55, 128, 1.84, 0.21, 0.75, 9.60
1, 0.02648730, 41.10, 122.32, 10, 0.02648730, 81.21, 10, 0.00557766, 21310.71, 2624, 1.00, 0.21, 0.66, 174.22
2, 0.00015312, 20.37, 101.58, 11, 0.00015312, 81.21, 10, 0.00007296, 519.77, 64, 1.00, 0.48, 0.80, 5.12
3, 0.00002947, 0.58, 81.79, 1, 0.00002947, 81.21, 10, 0.00002947, 162.43, 20, 1.00, 1.00, 0.99, 1.99
4, 0.00353937, 79.85, 161.06, 20, 0.01493220, 81.21, 10, 0.00108080, 6237.28, 768, 4.22, 0.31, 0.50, 38.73
5, 0.03738807, 54.10, 135.32, 11, 0.03738807, 81.21, 10, 0.00120498, 11954.79, 1472, 1.00, 0.03, 0.60, 88.35
6, 0.00051246, 38.95, 120.16, 14, 0.00051246, 81.21, 10, 0.00042127, 2079.09, 256, 1.00, 0.82, 0.68, 17.30
7, 0.00005307, 53.35, 134.56, 48, 0.00007841, 81.21, 10, 0.00006044, 519.77, 64, 1.48, 1.14, 0.60, 3.86
8, 0.00836562, 186.74, 267.95, 18, 0.00836700, 81.21, 10, 0.00117200, 10395.47, 1280, 1.00, 0.14, 0.30, 38.80
9, 0.00378604, 275.27, 356.48, 41, 0.00402468, 81.21, 10, 0.00098948, 4158.19, 512, 1.06, 0.26, 0.23, 11.66
10, 0.00002857, 1.59, 82.81, 2, 0.00002857, 81.21, 10, 0.00002857, 162.43, 20, 1.00, 1.00, 0.98, 1.96
11, 0.00002169, 1.90, 83.12, 2, 0.00002169, 81.21, 10, 0.00002166, 162.43, 20, 1.00, 1.00, 0.98, 1.95
12, 0.00000830, 3.90, 85.12, 3, 0.00000834, 81.21, 10, 0.00000834, 519.77, 64, 1.01, 1.01, 0.95, 6.11
13, 0.00015532, 276.39, 357.61, 78, 0.01902687, 81.21, 10, 0.00301953, 12994.33, 1600, 122.50, 19.44, 0.23, 36.34
14, 0.00003425, 4.25, 85.46, 3, 0.00003425, 81.21, 10, 0.00003425, 162.43, 20, 1.00, 1.00, 0.95, 1.90
15, 0.00019187, 38.94, 120.15, 14, 0.02824400, 81.21, 10, 0.00169243, 8836.15, 1088, 147.20, 8.82, 0.68, 73.54
16, 0.00002658, 4.98, 86.20, 3, 0.00002698, 81.21, 10, 0.00002698, 162.43, 20, 1.01, 1.01, 0.94, 1.88
Top 25
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-25 (s), tuning time Ansor-25, task Ansor-25, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-25, speedup 10k, speed tuning time top-25, speed tuning time 10k
0, 0.00124435, 13.94, 216.97, 6, 0.00124792, 203.04, 25, 0.00023434, 1039.55, 128, 1.00, 0.19, 0.94, 4.79
