Thu Dec 14 21:44:32 EST 2023
fj014
python /lustre/home/gverma/.conda/envs/tvm/bin/python
TVM_HOME /lustre/projects/ML-group/gverma/tvm
PYTHONPATH /lustre/projects/ML-group/gverma/tvm/python
Currently Loaded Modulefiles:
 1) slurm/slurm/19.05.7  

Top 1
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k
3, 0.00004261, 76.05, 95.18, 11, 0.00004261, 19.13, 10, 0.00003219, 367.23, 192, 1.00, 0.76, 0.20, 3.86
4, 0.00002396, 9.67, 28.80, 7, 0.00002396, 19.13, 10, 0.00002023, 489.64, 256, 1.00, 0.84, 0.66, 17.00
5, 0.00003281, 62.54, 81.67, 11, 0.00003281, 19.13, 10, 0.00003083, 367.23, 192, 1.00, 0.94, 0.23, 4.50
6, 0.00005563, 147.71, 166.83, 36, 0.00006193, 19.13, 10, 0.00003926, 2570.61, 1344, 1.11, 0.71, 0.11, 15.41
7, 0.00003839, 8.46, 27.59, 5, 0.00005049, 19.13, 10, 0.00002210, 612.05, 320, 1.31, 0.58, 0.69, 22.19
8, 0.00004460, 19.24, 38.37, 15, 0.00004460, 19.13, 10, 0.00003520, 367.23, 192, 1.00, 0.79, 0.50, 9.57
9, 0.00011792, 19.88, 39.01, 5, 0.00012225, 19.13, 10, 0.00006227, 489.64, 256, 1.04, 0.53, 0.49, 12.55
10, 0.00002515, 17.42, 36.54, 6, 0.00002750, 19.13, 10, 0.00001771, 367.23, 192, 1.09, 0.70, 0.52, 10.05
11, 0.00020080, 83.36, 102.48, 36, 0.00035842, 19.13, 10, 0.00007826, 734.46, 384, 1.78, 0.39, 0.19, 7.17
12, 0.00003692, 38.30, 57.42, 5, 0.00005313, 19.13, 10, 0.00002451, 244.82, 128, 1.44, 0.66, 0.33, 4.26
13, 0.00006333, 27.32, 46.45, 11, 0.00006333, 19.13, 10, 0.00004583, 2570.61, 1344, 1.00, 0.72, 0.41, 55.34
14, 0.00020312, 102.43, 121.55, 25, 0.00038192, 19.13, 10, 0.00010817, 979.28, 512, 1.88, 0.53, 0.16, 8.06
15, 0.00003160, 62.43, 81.56, 9, 0.00003160, 19.13, 10, 0.00001980, 1224.10, 640, 1.00, 0.63, 0.23, 15.01
16, 0.00005722, 133.75, 152.87, 29, 0.00006453, 19.13, 10, 0.00004068, 5141.22, 2688, 1.13, 0.71, 0.13, 33.63
17, 0.00002642, 5.65, 24.78, 4, 0.00003800, 19.13, 10, 0.00002072, 244.82, 128, 1.44, 0.78, 0.77, 9.88
18, 0.00003726, 7.56, 26.69, 3, 0.00003726, 19.13, 10, 0.00003658, 281.16, 147, 1.00, 0.98, 0.72, 10.54
19, 0.00002207, 33.63, 52.76, 26, 0.00002907, 19.13, 10, 0.00002041, 244.82, 128, 1.32, 0.92, 0.36, 4.64
Top 25
Layer, Time Droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-25 (s), tuning time Ansor-25, task Ansor-25, Time Ansor 10k (s), tuning time 10k (s), tasks Ansor, speedup top-25, speedup 10k, speed tuning time top-25, speed tuning time 10k
0, 0.00002435, 29.34, 77.15, 8, 0.00003110, 47.82, 25, 0.00002264, 367.23, 192, 1.28, 0.93, 0.62, 4.76
1, 0.00009292, 33.84, 81.65, 8, 0.00015943, 47.82, 25, 0.00008487, 734.46, 384, 1.72, 0.91, 0.59, 9.00
2, 0.00002334, 36.63, 84.45, 12, 0.00019985, 47.82, 25, 0.00006871, 734.46, 384, 8.56, 2.94, 0.57, 8.70
3, 0.00004261, 80.98, 128.80, 13, 0.00004261, 47.82, 25, 0.00003219, 367.23, 192, 1.00, 0.76, 0.37, 2.85
