BENCH: inception_v3
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
19, 0.00002781, 0.00000000, 13.43, 196.61, 15, 0.00002781, 0.00000000, 183.17, 25, 0.00001665, 0.00000000, 937.84, 128, 1.00, 0.60, 0.93, 4.77, 0.00000000
20, 0.00002882, 0.00000004, 17.13, 200.30, 15, 0.00002882, 0.00000004, 183.17, 25, 0.00001351, 0.00000000, 1406.76, 192, 1.00, 0.47, 0.91, 7.02, 0.00000000
21, 0.00000605, 0.00000000, 10.94, 194.12, 12, 0.00000605, 0.00000000, 183.17, 25, 0.00000605, 0.00000000, 468.92, 64, 1.00, 1.00, 0.94, 2.42, 1.00000000
22, 0.00006065, 0.00000001, 19.87, 203.04, 11, 0.00006065, 0.00000001, 183.17, 25, 0.00001394, 0.00000001, 937.84, 128, 1.00, 0.23, 0.90, 4.62, 0.00000000
23, 0.00002544, 0.00000000, 11.00, 194.17, 11, 0.00002544, 0.00000000, 183.17, 25, 0.00001977, 0.00000000, 937.84, 128, 1.00, 0.78, 0.94, 4.83, 0.00000000
24, 0.00001855, 0.00000016, 30.67, 213.85, 29, 0.00002042, 0.00000002, 183.17, 25, 0.00000786, 0.00000000, 937.84, 128, 1.10, 0.42, 0.86, 4.39, 0.00000008
25, 0.00002587, 0.00000005, 21.96, 205.14, 11, 0.00002587, 0.00000005, 183.17, 25, 0.00001210, 0.00000000, 937.84, 128, 1.00, 0.47, 0.89, 4.57, 0.00000000
26, 0.00000314, 0.00000000, 10.41, 193.59, 11, 0.00000314, 0.00000000, 183.17, 25, 0.00000288, 0.00000000, 468.92, 64, 1.00, 0.92, 0.95, 2.42, 0.00000000
27, 0.00000590, 0.00000000, 11.97, 195.14, 11, 0.00000590, 0.00000000, 183.17, 25, 0.00000590, 0.00000000, 468.92, 64, 1.00, 1.00, 0.94, 2.40, 1.00000000
28, 0.00000634, 0.00000000, 13.11, 196.28, 11, 0.00000634, 0.00000000, 183.17, 25, 0.00000634, 0.00000000, 468.92, 64, 1.00, 1.00, 0.93, 2.39, 1.00000000
29, 0.00000902, 0.00000000, 14.43, 197.60, 14, 0.00000902, 0.00000000, 183.17, 25, 0.00000305, 0.00000000, 468.92, 64, 1.00, 0.34, 0.93, 2.37, 0.00000000
30, 0.00003929, 0.00000000, 22.63, 205.80, 11, 0.00003929, 0.00000000, 183.17, 25, 0.00002214, 0.00000003, 2813.53, 384, 1.00, 0.56, 0.89, 13.67, 0.00000000
31, 0.00000415, 0.00000000, 10.51, 193.69, 12, 0.00000415, 0.00000000, 183.17, 25, 0.00000415, 0.00000000, 468.92, 64, 1.00, 1.00, 0.95, 2.42, 1.00000000
32, 0.00016907, 0.00000000, 33.48, 216.65, 11, 0.00016907, 0.00000000, 183.17, 25, 0.00003608, 0.00000001, 2813.53, 384, 1.00, 0.21, 0.85, 12.99, 0.00000000
33, 0.00000858, 0.00000001, 14.00, 197.17, 15, 0.00000858, 0.00000001, 183.17, 25, 0.00000858, 0.00000001, 468.92, 64, 1.00, 1.00, 0.93, 2.38, 1.00000000
34, 0.00002150, 0.00000028, 30.18, 213.35, 38, 0.00002319, 0.00000001, 183.17, 25, 0.00001072, 0.00000000, 937.84, 128, 1.08, 0.50, 0.86, 4.40, 0.00000067
35, 0.00003754, 0.00000000, 14.14, 197.32, 11, 0.00003754, 0.00000000, 183.17, 25, 0.00001289, 0.00000001, 2344.61, 320, 1.00, 0.34, 0.93, 11.88, 0.00000000
36, 0.00004876, 0.00000000, 13.20, 196.38, 11, 0.00004876, 0.00000000, 183.17, 25, 0.00001818, 0.00000000, 937.84, 128, 1.00, 0.37, 0.93, 4.78, 0.00000000
37, 0.00006413, 0.00000000, 14.17, 197.34, 16, 0.00006413, 0.00000000, 183.17, 25, 0.00002789, 0.00000000, 937.84, 128, 1.00, 0.43, 0.93, 4.75, 0.00000000
38, 0.00011290, 0.00000042, 17.10, 200.27, 16, 0.00011290, 0.00000042, 183.17, 25, 0.00005510, 0.00000008, 2344.61, 320, 1.00, 0.49, 0.91, 11.71, 0.00000000
39, 0.00004244, 0.00000003, 17.60, 200.77, 12, 0.00004244, 0.00000003, 183.17, 25, 0.00001635, 0.00000000, 937.84, 128, 1.00, 0.39, 0.91, 4.67, 0.00000000
40, 0.00000558, 0.00000000, 10.84, 194.01, 12, 0.00000558, 0.00000000, 183.17, 25, 0.00000529, 0.00000000, 468.92, 64, 1.00, 0.95, 0.94, 2.42, 0.00000000
41, 0.00001305, 0.00000000, 31.22, 214.39, 15, 0.00001305, 0.00000000, 183.17, 25, 0.00000771, 0.00000001, 1406.76, 192, 1.00, 0.59, 0.85, 6.56, 0.00000000
