BENCH: squeezenet
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
3, 0.00000469, 0.00000000, 10.90, 754.26, 12, 0.00000469, 0.00000000, 743.36, 100, 0.00000467, 0.00000000, 1903.01, 256, 1.00, 1.00, 0.99, 2.52, 0.00000002
4, 0.00000630, 0.00000000, 17.45, 760.81, 15, 0.00000630, 0.00000000, 743.36, 100, 0.00000567, 0.00000000, 2378.76, 320, 1.00, 0.90, 0.98, 3.13, 0.00000000
5, 0.00000634, 0.00000000, 16.94, 760.30, 11, 0.00000634, 0.00000000, 743.36, 100, 0.00000619, 0.00000000, 2378.76, 320, 1.00, 0.98, 0.98, 3.13, 0.00000003
6, 0.00000539, 0.00000000, 19.00, 762.36, 17, 0.00000539, 0.00000000, 743.36, 100, 0.00000497, 0.00000001, 2378.76, 320, 1.00, 0.92, 0.98, 3.12, 0.00000016
7, 0.00000342, 0.00000000, 14.10, 757.46, 14, 0.00000342, 0.00000000, 743.36, 100, 0.00000340, 0.00000000, 1427.26, 192, 1.00, 0.99, 0.98, 1.88, 0.00018802
8, 0.00000404, 0.00000000, 16.39, 759.75, 11, 0.00000404, 0.00000000, 743.36, 100, 0.00000390, 0.00000000, 2854.51, 384, 1.00, 0.97, 0.98, 3.76, 0.00000000
9, 0.00000297, 0.00000000, 13.37, 756.73, 14, 0.00000297, 0.00000000, 743.36, 100, 0.00000283, 0.00000000, 2378.76, 320, 1.00, 0.95, 0.98, 3.14, 0.00000000
10, 0.00000977, 0.00000002, 13.75, 757.11, 16, 0.00000977, 0.00000002, 743.36, 100, 0.00000916, 0.00000000, 3330.27, 448, 1.00, 0.94, 0.98, 4.40, 0.00000083
11, 0.00000344, 0.00000000, 13.76, 757.13, 14, 0.00000344, 0.00000000, 743.36, 100, 0.00000344, 0.00000000, 1427.26, 192, 1.00, 1.00, 0.98, 1.89, 1.00000000
12, 0.00001254, 0.00000000, 14.34, 757.71, 11, 0.00001254, 0.00000000, 743.36, 100, 0.00001039, 0.00000002, 7136.28, 960, 1.00, 0.83, 0.98, 9.42, 0.00000001
13, 0.00001254, 0.00000000, 19.00, 762.37, 11, 0.00001254, 0.00000000, 743.36, 100, 0.00000884, 0.00000000, 6184.78, 832, 1.00, 0.71, 0.98, 8.11, 0.00000000
14, 0.00000257, 0.00000000, 5.79, 637.65, 2, 0.00000257, 0.00000000, 631.86, 85, 0.00000257, 0.00000000, 631.86, 85, 1.00, 1.00, 0.99, 0.99, 1.00000000
15, 0.00000364, 0.00000000, 16.52, 759.88, 11, 0.00000364, 0.00000000, 743.36, 100, 0.00000350, 0.00000001, 2378.76, 320, 1.00, 0.96, 0.98, 3.13, 0.00001608
16, 0.00001795, 0.00000001, 15.28, 758.65, 11, 0.00001795, 0.00000001, 743.36, 100, 0.00001204, 0.00000002, 8087.79, 1088, 1.00, 0.67, 0.98, 10.66, 0.00000000
17, 0.00001212, 0.00000000, 30.40, 773.76, 11, 0.00001212, 0.00000000, 743.36, 100, 0.00000977, 0.00000000, 6660.53, 896, 1.00, 0.81, 0.96, 8.61, 0.00000000
18, 0.00000405, 0.00000000, 12.69, 756.06, 11, 0.00000405, 0.00000000, 743.36, 100, 0.00000363, 0.00000000, 2854.51, 384, 1.00, 0.90, 0.98, 3.78, 0.00000000
19, 0.00000874, 0.00000000, 15.71, 759.08, 15, 0.00000874, 0.00000000, 743.36, 100, 0.00000806, 0.00000000, 2854.51, 384, 1.00, 0.92, 0.98, 3.76, 0.00000000
20, 0.00000363, 0.00000000, 6.04, 637.90, 2, 0.00000363, 0.00000000, 631.86, 85, 0.00000363, 0.00000000, 631.86, 85, 1.00, 1.00, 0.99, 0.99, 1.00000000
21, 0.00000418, 0.00000001, 23.75, 767.11, 12, 0.00000418, 0.00000001, 743.36, 100, 0.00000405, 0.00000000, 1427.26, 192, 1.00, 0.97, 0.97, 1.86, 0.00001017
22, 0.00000634, 0.00000000, 15.05, 758.41, 13, 0.00000634, 0.00000000, 743.36, 100, 0.00000544, 0.00000000, 2378.76, 320, 1.00, 0.86, 0.98, 3.14, 0.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-200 (s), std Ansor-200, tuning time Ansor-200, task Ansor-200, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-200, speedup 10k, speed tuning time top-200, speed tuning time 10k, p-value
0, 0.00000378, 0.00000000, 17.50, 1444.76, 15, 0.00000378, 0.00000000, 1427.26, 192, 0.00000378, 0.00000000, 1427.26, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
1, 0.00003285, 0.00000005, 16.79, 1503.51, 11, 0.00003285, 0.00000005, 1486.73, 200, 0.00003240, 0.00000001, 10942.30, 1472, 1.00, 0.99, 0.99, 7.28, 0.00018445
2, 0.00000215, 0.00000001, 9.32, 381.00, 11, 0.00000215, 0.00000001, 371.68, 50, 0.00000215, 0.00000001, 371.68, 50, 1.00, 1.00, 0.98, 0.98, 1.00000000
3, 0.00000467, 0.00000000, 11.22, 1497.95, 13, 0.00000467, 0.00000000, 1486.73, 200, 0.00000467, 0.00000000, 1903.01, 256, 1.00, 1.00, 0.99, 1.27, 1.00000000
4, 0.00000591, 0.00000001, 28.83, 1515.56, 13, 0.00000591, 0.00000001, 1486.73, 200, 0.00000567, 0.00000000, 2378.76, 320, 1.00, 0.96, 0.98, 1.57, 0.00000151
5, 0.00000632, 0.00000001, 20.64, 1507.37, 11, 0.00000632, 0.00000001, 1486.73, 200, 0.00000619, 0.00000000, 2378.76, 320, 1.00, 0.98, 0.99, 1.58, 0.00000584
6, 0.00000498, 0.00000000, 34.10, 1520.82, 17, 0.00000498, 0.00000000, 1486.73, 200, 0.00000497, 0.00000001, 2378.76, 320, 1.00, 1.00, 0.98, 1.56, 0.14891876
7, 0.00000340, 0.00000000, 17.79, 1445.05, 13, 0.00000340, 0.00000000, 1427.26, 192, 0.00000340, 0.00000000, 1427.26, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
8, 0.00000391, 0.00000000, 12.26, 1498.98, 11, 0.00000391, 0.00000000, 1486.73, 200, 0.00000390, 0.00000000, 2854.51, 384, 1.00, 1.00, 0.99, 1.90, 0.00000561
9, 0.00000283, 0.00000000, 13.62, 1500.34, 14, 0.00000283, 0.00000000, 1486.73, 200, 0.00000283, 0.00000000, 2378.76, 320, 1.00, 1.00, 0.99, 1.59, 0.04265487
10, 0.00000930, 0.00000001, 16.43, 1503.16, 16, 0.00000930, 0.00000001, 1486.73, 200, 0.00000916, 0.00000000, 3330.27, 448, 1.00, 0.99, 0.99, 2.22, 0.00002557
11, 0.00000344, 0.00000000, 13.72, 1440.97, 14, 0.00000344, 0.00000000, 1427.26, 192, 0.00000344, 0.00000000, 1427.26, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
12, 0.00001079, 0.00000001, 17.38, 1504.10, 10, 0.00001079, 0.00000001, 1486.73, 200, 0.00001039, 0.00000002, 7136.28, 960, 1.00, 0.96, 0.99, 4.74, 0.00001571
13, 0.00001059, 0.00000000, 16.09, 1502.81, 11, 0.00001059, 0.00000000, 1486.73, 200, 0.00000884, 0.00000000, 6184.78, 832, 1.00, 0.83, 0.99, 4.12, 0.00000000
14, 0.00000257, 0.00000000, 5.79, 637.65, 2, 0.00000257, 0.00000000, 631.86, 85, 0.00000257, 0.00000000, 631.86, 85, 1.00, 1.00, 0.99, 0.99, 1.00000000
15, 0.00000351, 0.00000000, 12.99, 1499.72, 12, 0.00000351, 0.00000000, 1486.73, 200, 0.00000350, 0.00000001, 2378.76, 320, 1.00, 1.00, 0.99, 1.59, 0.77076011
16, 0.00001310, 0.00000001, 29.87, 1516.60, 11, 0.00001310, 0.00000001, 1486.73, 200, 0.00001204, 0.00000002, 8087.79, 1088, 1.00, 0.92, 0.98, 5.33, 0.00000059
17, 0.00000989, 0.00000001, 27.52, 1514.25, 11, 0.00000989, 0.00000001, 1486.73, 200, 0.00000977, 0.00000000, 6660.53, 896, 1.00, 0.99, 0.98, 4.40, 0.00014631
