BENCH: alexnet
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
11, 0.00004680, 0.00000003, 29.33, 1210.77, 16, 0.00004680, 0.00000003, 1181.44, 200, 0.00003982, 0.00000012, 4536.72, 768, 1.00, 0.85, 0.98, 3.75, 0.00000016
12, 0.00009101, 0.00000058, 12.41, 1193.85, 12, 0.00009101, 0.00000058, 1181.44, 200, 0.00008797, 0.00000014, 9451.50, 1600, 1.00, 0.97, 0.99, 7.92, 0.00198447
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), std Ansor-300, tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k, p-value
0, 0.00005069, 0.00000015, 26.20, 1798.36, 13, 0.00005069, 0.00000015, 1772.16, 300, 0.00004951, 0.00000012, 5670.90, 960, 1.00, 0.98, 0.99, 3.15, 0.00097413
1, 0.00003742, 0.00000012, 17.14, 1789.29, 13, 0.00003742, 0.00000012, 1772.16, 300, 0.00003503, 0.00000001, 3780.60, 640, 1.00, 0.94, 0.99, 2.11, 0.00000928
2, 0.00000218, 0.00000000, 9.79, 387.85, 11, 0.00000218, 0.00000000, 378.06, 64, 0.00000218, 0.00000000, 378.06, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
3, 0.00004361, 0.00000002, 23.93, 1796.08, 11, 0.00004361, 0.00000002, 1772.16, 300, 0.00004270, 0.00000011, 4914.78, 832, 1.00, 0.98, 0.99, 2.74, 0.00036812
4, 0.00018951, 0.00000039, 16.33, 1788.48, 13, 0.00018951, 0.00000039, 1772.16, 300, 0.00018592, 0.00000025, 20037.18, 3392, 1.00, 0.98, 0.99, 11.20, 0.00038871
5, 0.00000302, 0.00000000, 12.59, 390.65, 14, 0.00000302, 0.00000000, 378.06, 64, 0.00000302, 0.00000000, 378.06, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
6, 0.00006054, 0.00000015, 21.13, 1793.29, 11, 0.00006054, 0.00000015, 1772.16, 300, 0.00006005, 0.00000008, 6427.02, 1088, 1.00, 0.99, 0.99, 3.58, 0.01370357
7, 0.00000415, 0.00000000, 10.30, 766.42, 12, 0.00000415, 0.00000000, 756.12, 128, 0.00000415, 0.00000000, 756.12, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
8, 0.00001875, 0.00000006, 56.20, 1828.35, 11, 0.00001875, 0.00000006, 1772.16, 300, 0.00001875, 0.00000006, 2268.36, 384, 1.00, 1.00, 0.97, 1.24, 1.00000000
9, 0.00000216, 0.00000000, 6.14, 384.20, 2, 0.00000216, 0.00000000, 378.06, 64, 0.00000216, 0.00000000, 378.06, 64, 1.00, 1.00, 0.98, 0.98, 1.00000000
10, 0.00000217, 0.00000000, 9.16, 387.22, 11, 0.00000217, 0.00000000, 378.06, 64, 0.00000217, 0.00000000, 378.06, 64, 1.00, 1.00, 0.98, 0.98, 1.00000000
11, 0.00004330, 0.00000004, 30.19, 1802.34, 16, 0.00004330, 0.00000004, 1772.16, 300, 0.00003982, 0.00000012, 4536.72, 768, 1.00, 0.92, 0.98, 2.52, 0.00000261
12, 0.00009077, 0.00000055, 12.81, 1784.96, 12, 0.00009077, 0.00000055, 1772.16, 300, 0.00008797, 0.00000014, 9451.50, 1600, 1.00, 0.97, 0.99, 5.30, 0.00212568
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1000 (s), std Ansor-1000, tuning time Ansor-1000, task Ansor-1000, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1000, speedup 10k, speed tuning time top-1000, speed tuning time 10k, p-value
0, 0.00004951, 0.00000012, 26.04, 5696.95, 13, 0.00004951, 0.00000012, 5670.90, 960, 0.00004951, 0.00000012, 5670.90, 960, 1.00, 1.00, 1.00, 1.00, 1.00000000
1, 0.00003503, 0.00000001, 20.08, 3800.68, 13, 0.00003503, 0.00000001, 3780.60, 640, 0.00003503, 0.00000001, 3780.60, 640, 1.00, 1.00, 0.99, 0.99, 1.00000000
2, 0.00000218, 0.00000000, 9.80, 387.86, 11, 0.00000218, 0.00000000, 378.06, 64, 0.00000218, 0.00000000, 378.06, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
3, 0.00004270, 0.00000011, 29.44, 4944.22, 11, 0.00004270, 0.00000011, 4914.78, 832, 0.00004270, 0.00000011, 4914.78, 832, 1.00, 1.00, 0.99, 0.99, 1.00000000
4, 0.00018908, 0.00000035, 17.41, 5924.59, 15, 0.00018908, 0.00000035, 5907.19, 1000, 0.00018592, 0.00000025, 20037.18, 3392, 1.00, 0.98, 1.00, 3.38, 0.00047010
5, 0.00000302, 0.00000000, 12.54, 390.60, 14, 0.00000302, 0.00000000, 378.06, 64, 0.00000302, 0.00000000, 378.06, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
6, 0.00006005, 0.00000008, 26.56, 5933.75, 11, 0.00006005, 0.00000008, 5907.19, 1000, 0.00006005, 0.00000008, 6427.02, 1088, 1.00, 1.00, 1.00, 1.08, 1.00000000
7, 0.00000415, 0.00000000, 10.25, 766.37, 12, 0.00000415, 0.00000000, 756.12, 128, 0.00000415, 0.00000000, 756.12, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
8, 0.00001875, 0.00000006, 56.18, 2324.54, 11, 0.00001875, 0.00000006, 2268.36, 384, 0.00001875, 0.00000006, 2268.36, 384, 1.00, 1.00, 0.98, 0.98, 1.00000000
9, 0.00000216, 0.00000000, 6.16, 384.22, 2, 0.00000216, 0.00000000, 378.06, 64, 0.00000216, 0.00000000, 378.06, 64, 1.00, 1.00, 0.98, 0.98, 1.00000000
10, 0.00000217, 0.00000000, 9.15, 387.21, 11, 0.00000217, 0.00000000, 378.06, 64, 0.00000217, 0.00000000, 378.06, 64, 1.00, 1.00, 0.98, 0.98, 1.00000000
11, 0.00003982, 0.00000012, 38.36, 4575.08, 16, 0.00003982, 0.00000012, 4536.72, 768, 0.00003982, 0.00000012, 4536.72, 768, 1.00, 1.00, 0.99, 0.99, 1.00000000
12, 0.00009077, 0.00000055, 12.76, 5919.95, 12, 0.00009077, 0.00000055, 5907.19, 1000, 0.00008797, 0.00000014, 9451.50, 1600, 1.00, 0.97, 1.00, 1.60, 0.00212568
