BENCH: densenet169
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
74, 0.00003800, 0.00000016, 28.21, 35.32, 23, 0.00012271, 0.00000001, 7.11,  1, 0.00002231, 0.00000005, 455.14, 64, 3.23, 0.59, 0.20, 12.89, 0.00000002
75, 0.00006597, 0.00000018, 30.51, 37.63, 33, 0.00013004, 0.00000029, 7.11,  1, 0.00001298, 0.00000000, 455.14, 64, 1.97, 0.20, 0.19, 12.10, 0.00000000
76, 0.00005986, 0.00000000, 11.55, 18.66, 11, 0.00005986, 0.00000000, 7.11,  1, 0.00001455, 0.00000000, 910.28, 128, 1.00, 0.24, 0.38, 48.78, 0.00000000
77, 0.00013790, 0.00000028, 21.01, 28.13, 22, 0.00023595, 0.00000063, 7.11,  1, 0.00001947, 0.00000000, 455.14, 64, 1.71, 0.14, 0.25, 16.18, 0.00000000
78, 0.00010408, 0.00000000, 15.89, 23.01, 15, 0.00010408, 0.00000000, 7.11,  1, 0.00002301, 0.00000000, 455.14, 64, 1.00, 0.22, 0.31, 19.78, 0.00000000
79, 0.00024346, 0.00000001, 22.47, 29.59, 11, 0.00024346, 0.00000001, 7.11,  1, 0.00002330, 0.00000000, 910.28, 128, 1.00, 0.10, 0.24, 30.77, 0.00000000
80, 0.00007099, 0.00000000, 37.21, 44.33, 54, 0.00020658, 0.00000034, 7.11,  1, 0.00001755, 0.00000000, 455.14, 64, 2.91, 0.25, 0.16, 10.27, 0.00000000
81, 0.00019103, 0.00000030, 34.69, 41.80, 39, 0.00029846, 0.00000002, 7.11,  1, 0.00002161, 0.00000000, 910.28, 128, 1.56, 0.11, 0.17, 21.78, 0.00000000
82, 0.00002697, 0.00000000, 13.80, 20.91, 11, 0.00002697, 0.00000000, 7.11,  1, 0.00002147, 0.00000000, 455.14, 64, 1.00, 0.80, 0.34, 21.77, 0.00000000
83, 0.00002649, 0.00000006, 10.96, 18.07, 11, 0.00002649, 0.00000006, 7.11,  1, 0.00001298, 0.00000003, 455.14, 64, 1.00, 0.49, 0.39, 25.18, 0.00000000
84, 0.00245659, 0.00000031, 35.63, 42.74, 11, 0.00245659, 0.00000031, 7.11,  1, 0.00001568, 0.00000004, 455.14, 64, 1.00, 0.01, 0.17, 10.65, 0.00000000
85, 0.00008023, 0.00000001, 11.86, 18.97, 16, 0.00008023, 0.00000001, 7.11,  1, 0.00001346, 0.00000001, 910.28, 128, 1.00, 0.17, 0.37, 47.99, 0.00000000
86, 0.00033307, 0.00000001, 17.06, 24.17, 13, 0.00033307, 0.00000001, 7.11,  1, 0.00002342, 0.00000003, 455.14, 64, 1.00, 0.07, 0.29, 18.83, 0.00000000
87, 0.00000625, 0.00000000, 10.08, 17.19, 11, 0.00000625, 0.00000000, 7.11,  1, 0.00000368, 0.00000000, 419.58, 59, 1.00, 0.59, 0.41, 24.40, 0.00000000
88, 0.00002935, 0.00000028, 22.34, 29.45, 22, 0.00003988, 0.00000000, 7.11,  1, 0.00002264, 0.00000000, 455.14, 64, 1.36, 0.77, 0.24, 15.45, 0.00000445
89, 0.00001775, 0.00000000, 15.26, 22.37, 15, 0.00001775, 0.00000000, 7.11,  1, 0.00001046, 0.00000002, 455.14, 64, 1.00, 0.59, 0.32, 20.35, 0.00000000
90, 0.00013323, 0.00000016, 28.45, 35.56, 38, 0.00015480, 0.00000020, 7.11,  1, 0.00001559, 0.00000000, 455.14, 64, 1.16, 0.12, 0.20, 12.80, 0.00000000
91, 0.00001607, 0.00000000, 11.28, 18.39, 15, 0.00001607, 0.00000000, 7.11,  1, 0.00001294, 0.00000003, 455.14, 64, 1.00, 0.81, 0.39, 24.75, 0.00000001
92, 0.00006528, 0.00000000, 13.50, 20.61, 11, 0.00006528, 0.00000000, 7.11,  1, 0.00002068, 0.00000000, 455.14, 64, 1.00, 0.32, 0.34, 22.08, 0.00000000
93, 0.00004823, 0.00000000, 12.73, 19.84, 15, 0.00004823, 0.00000000, 7.11,  1, 0.00001604, 0.00000000, 455.14, 64, 1.00, 0.33, 0.36, 22.94, 0.00000000
