BENCH: resnet50
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
27, 0.00003393, 0.00000007, 14.45, 1308.90, 11, 0.00003393, 0.00000007, 1294.45, 200, 0.00003393, 0.00000007, 2071.13, 320, 1.00, 1.00, 0.99, 1.58, 1.00000000
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-300 (s), std Ansor-300, tuning time Ansor-300, task Ansor-300, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-300, speedup 10k, speed tuning time top-300, speed tuning time 10k, p-value
0, 0.00001544, 0.00000001, 21.54, 849.99, 15, 0.00001544, 0.00000001, 828.45, 128, 0.00001544, 0.00000001, 828.45, 128, 1.00, 1.00, 0.97, 0.97, 1.00000000
1, 0.00003682, 0.00000007, 15.78, 1957.47, 11, 0.00003682, 0.00000007, 1941.68, 300, 0.00003682, 0.00000007, 2071.13, 320, 1.00, 1.00, 0.99, 1.06, 1.00000000
2, 0.00000579, 0.00000000, 16.66, 430.89, 13, 0.00000579, 0.00000000, 414.23, 64, 0.00000579, 0.00000000, 414.23, 64, 1.00, 1.00, 0.96, 0.96, 1.00000000
3, 0.00002417, 0.00000000, 16.30, 1258.98, 15, 0.00002417, 0.00000000, 1242.68, 192, 0.00002417, 0.00000000, 1242.68, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
4, 0.00000412, 0.00000000, 11.04, 425.26, 13, 0.00000412, 0.00000000, 414.23, 64, 0.00000412, 0.00000000, 414.23, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
5, 0.00002651, 0.00000007, 18.67, 1261.35, 15, 0.00002651, 0.00000007, 1242.68, 192, 0.00002651, 0.00000007, 1242.68, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
6, 0.00009555, 0.00000000, 19.83, 1961.51, 17, 0.00009555, 0.00000000, 1941.68, 300, 0.00009555, 0.00000000, 3728.03, 576, 1.00, 1.00, 0.99, 1.90, 1.00000000
7, 0.00002436, 0.00000011, 12.41, 1954.09, 15, 0.00002436, 0.00000011, 1941.68, 300, 0.00002060, 0.00000003, 2899.58, 448, 1.00, 0.85, 0.99, 1.48, 0.00000109
8, 0.00002380, 0.00000004, 19.98, 1262.66, 17, 0.00002380, 0.00000004, 1242.68, 192, 0.00002380, 0.00000004, 1242.68, 192, 1.00, 1.00, 0.98, 0.98, 1.00000000
9, 0.00010403, 0.00000009, 13.84, 1955.52, 15, 0.00010403, 0.00000009, 1941.68, 300, 0.00010115, 0.00000011, 4142.25, 640, 1.00, 0.97, 0.99, 2.12, 0.00000915
10, 0.00001321, 0.00000003, 23.46, 1965.14, 17, 0.00001321, 0.00000003, 1941.68, 300, 0.00001311, 0.00000004, 2485.35, 384, 1.00, 0.99, 0.99, 1.26, 0.04081241
11, 0.00003532, 0.00000009, 15.79, 1957.48, 16, 0.00003532, 0.00000009, 1941.68, 300, 0.00003532, 0.00000009, 2899.58, 448, 1.00, 1.00, 0.99, 1.48, 1.00000000
12, 0.00002717, 0.00000007, 77.55, 1320.22, 11, 0.00002717, 0.00000007, 1242.68, 192, 0.00002717, 0.00000007, 1242.68, 192, 1.00, 1.00, 0.94, 0.94, 1.00000000
13, 0.00003408, 0.00000006, 25.76, 1682.67, 15, 0.00003408, 0.00000006, 1656.90, 256, 0.00003408, 0.00000006, 1656.90, 256, 1.00, 1.00, 0.98, 0.98, 1.00000000
14, 0.00003129, 0.00000004, 20.60, 1962.28, 13, 0.00003129, 0.00000004, 1941.68, 300, 0.00002957, 0.00000004, 3728.03, 576, 1.00, 0.95, 0.99, 1.90, 0.00000211
15, 0.00000305, 0.00000000, 12.21, 426.44, 13, 0.00000305, 0.00000000, 414.23, 64, 0.00000305, 0.00000000, 414.23, 64, 1.00, 1.00, 0.97, 0.97, 1.00000000
16, 0.00001605, 0.00000002, 16.31, 1258.99, 15, 0.00001605, 0.00000002, 1242.68, 192, 0.00001605, 0.00000002, 1242.68, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
17, 0.00001684, 0.00000001, 14.20, 1955.88, 14, 0.00001684, 0.00000001, 1941.68, 300, 0.00001684, 0.00000001, 2071.13, 320, 1.00, 1.00, 0.99, 1.06, 1.00000000
18, 0.00005735, 0.00000008, 22.69, 1964.37, 13, 0.00005735, 0.00000008, 1941.68, 300, 0.00005689, 0.00000000, 4556.48, 704, 1.00, 0.99, 0.99, 2.32, 0.00118635
19, 0.00003723, 0.00000006, 17.47, 1959.15, 13, 0.00003723, 0.00000006, 1941.68, 300, 0.00003381, 0.00000006, 6627.60, 1024, 1.00, 0.91, 0.99, 3.38, 0.00000045
