BENCH: mobilenet_v2
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
16, 0.00000305, 0.00000000, 13.49, 718.98, 14, 0.00000305, 0.00000000, 705.49, 100, 0.00000305, 0.00000000, 903.03, 128, 1.00, 1.00, 0.98, 1.26, 0.18484915
17, 0.00000396, 0.00000000, 14.46, 719.95, 11, 0.00000396, 0.00000000, 705.49, 100, 0.00000396, 0.00000000, 903.03, 128, 1.00, 1.00, 0.98, 1.25, 1.00000000
18, 0.00000528, 0.00000001, 23.45, 728.94, 13, 0.00000528, 0.00000001, 705.49, 100, 0.00000525, 0.00000000, 1354.54, 192, 1.00, 0.99, 0.97, 1.86, 0.00608208
19, 0.00000350, 0.00000000, 15.42, 720.91, 13, 0.00000350, 0.00000000, 705.49, 100, 0.00000323, 0.00000000, 1354.54, 192, 1.00, 0.92, 0.98, 1.88, 0.00000000
20, 0.00000380, 0.00000000, 13.51, 719.00, 11, 0.00000380, 0.00000000, 705.49, 100, 0.00000380, 0.00000000, 903.03, 128, 1.00, 1.00, 0.98, 1.26, 1.00000000
21, 0.00000717, 0.00000000, 14.65, 720.14, 15, 0.00000717, 0.00000000, 705.49, 100, 0.00000647, 0.00000001, 1806.06, 256, 1.00, 0.90, 0.98, 2.51, 0.00000012
22, 0.00002010, 0.00000000, 13.91, 719.40, 16, 0.00002010, 0.00000000, 705.49, 100, 0.00001039, 0.00000000, 4515.14, 640, 1.00, 0.52, 0.98, 6.28, 0.00000000
23, 0.00000738, 0.00000000, 14.60, 720.09, 11, 0.00000738, 0.00000000, 705.49, 100, 0.00000725, 0.00000001, 1806.06, 256, 1.00, 0.98, 0.98, 2.51, 0.00003528
24, 0.00001045, 0.00000002, 28.41, 733.90, 15, 0.00001045, 0.00000002, 705.49, 100, 0.00000688, 0.00000000, 1806.06, 256, 1.00, 0.66, 0.96, 2.46, 0.00000000
25, 0.00000785, 0.00000000, 16.33, 721.82, 15, 0.00000785, 0.00000000, 705.49, 100, 0.00000592, 0.00000000, 4063.63, 576, 1.00, 0.75, 0.98, 5.63, 0.00000000
26, 0.00000281, 0.00000000, 15.99, 721.48, 11, 0.00000281, 0.00000000, 705.49, 100, 0.00000281, 0.00000000, 903.03, 128, 1.00, 1.00, 0.98, 1.25, 1.00000000
27, 0.00000557, 0.00000000, 16.06, 721.55, 13, 0.00000557, 0.00000000, 705.49, 100, 0.00000506, 0.00000000, 1354.54, 192, 1.00, 0.91, 0.98, 1.88, 0.00000000
28, 0.00000421, 0.00000000, 15.01, 720.50, 15, 0.00000421, 0.00000000, 705.49, 100, 0.00000371, 0.00000000, 1806.06, 256, 1.00, 0.88, 0.98, 2.51, 0.00000000
29, 0.00000407, 0.00000000, 16.26, 721.75, 15, 0.00000407, 0.00000000, 705.49, 100, 0.00000368, 0.00000000, 3160.60, 448, 1.00, 0.90, 0.98, 4.38, 0.00000000
30, 0.00000741, 0.00000000, 15.56, 721.05, 11, 0.00000741, 0.00000000, 705.49, 100, 0.00000642, 0.00000000, 1354.54, 192, 1.00, 0.87, 0.98, 1.88, 0.00000000
31, 0.00000813, 0.00000002, 13.73, 719.22, 12, 0.00000813, 0.00000002, 705.49, 100, 0.00000795, 0.00000000, 2257.57, 320, 1.00, 0.98, 0.98, 3.14, 0.00035722
32, 0.00000735, 0.00000001, 16.23, 721.72, 15, 0.00000735, 0.00000001, 705.49, 100, 0.00000565, 0.00000000, 3612.11, 512, 1.00, 0.77, 0.98, 5.00, 0.00000001
