BENCH: mnasnet1_0
Layer, Time Droplet (s), std droplet (s), Tuning time Droplet (s), Tuning time Droplet+Ansor (s), tasks Droplet, Time Ansor-1 (s), std Ansor-1, tuning time Ansor-1, task Ansor-1, Time Ansor 10k (s), std Ansor 10k, tuning time 10k (s), tasks Ansor, speedup top-1, speedup 10k, speed tuning time top-1, speed tuning time 10k, p-value
10, 0.00000375, 0.00000000, 13.63, 1381.74, 11, 0.00000375, 0.00000000, 1368.11, 192, 0.00000375, 0.00000000, 1368.11, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
11, 0.00000413, 0.00000000, 10.64, 1435.75, 12, 0.00000413, 0.00000000, 1425.12, 200, 0.00000410, 0.00000001, 2280.19, 320, 1.00, 0.99, 0.99, 1.59, 0.00467302
12, 0.00001748, 0.00000006, 13.48, 1438.60, 15, 0.00001748, 0.00000006, 1425.12, 200, 0.00001739, 0.00000004, 3192.26, 448, 1.00, 1.00, 0.99, 2.22, 0.18136462
13, 0.00000311, 0.00000001, 11.33, 1436.44, 11, 0.00000311, 0.00000001, 1425.12, 200, 0.00000311, 0.00000001, 1824.15, 256, 1.00, 1.00, 0.99, 1.27, 1.00000000
14, 0.00000763, 0.00000002, 12.56, 1437.68, 11, 0.00000763, 0.00000002, 1425.12, 200, 0.00000763, 0.00000002, 2736.23, 384, 1.00, 1.00, 0.99, 1.90, 1.00000000
15, 0.00000308, 0.00000000, 12.14, 924.22, 13, 0.00000308, 0.00000000, 912.08, 128, 0.00000308, 0.00000000, 912.08, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
16, 0.00000417, 0.00000001, 14.54, 1382.65, 13, 0.00000417, 0.00000001, 1368.11, 192, 0.00000417, 0.00000001, 1368.11, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
17, 0.00000494, 0.00000001, 16.65, 1384.77, 15, 0.00000494, 0.00000001, 1368.11, 192, 0.00000494, 0.00000001, 1368.11, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
18, 0.00000340, 0.00000000, 13.43, 1381.54, 12, 0.00000340, 0.00000000, 1368.11, 192, 0.00000340, 0.00000000, 1368.11, 192, 1.00, 1.00, 0.99, 0.99, 1.00000000
19, 0.00000320, 0.00000000, 11.57, 923.64, 11, 0.00000320, 0.00000000, 912.08, 128, 0.00000320, 0.00000000, 912.08, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
20, 0.00000315, 0.00000000, 12.73, 924.81, 11, 0.00000315, 0.00000000, 912.08, 128, 0.00000315, 0.00000000, 912.08, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
21, 0.00001841, 0.00000001, 14.39, 1439.51, 15, 0.00001841, 0.00000001, 1425.12, 200, 0.00001582, 0.00000000, 7752.64, 1088, 1.00, 0.86, 0.99, 5.39, 0.00000000
22, 0.00000281, 0.00000000, 6.62, 462.66, 2, 0.00000281, 0.00000000, 456.04, 64, 0.00000281, 0.00000000, 456.04, 64, 1.00, 1.00, 0.99, 0.99, 1.00000000
23, 0.00000386, 0.00000000, 12.31, 924.38, 11, 0.00000386, 0.00000000, 912.08, 128, 0.00000386, 0.00000000, 912.08, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
24, 0.00000922, 0.00000000, 13.18, 1438.30, 12, 0.00000922, 0.00000000, 1425.12, 200, 0.00000918, 0.00000000, 1824.15, 256, 1.00, 0.99, 0.99, 1.27, 0.00000009
25, 0.00000313, 0.00000000, 13.15, 925.22, 15, 0.00000313, 0.00000000, 912.08, 128, 0.00000313, 0.00000000, 912.08, 128, 1.00, 1.00, 0.99, 0.99, 1.00000000
26, 0.00000731, 0.00000000, 16.01, 1441.13, 11, 0.00000731, 0.00000000, 1425.12, 200, 0.00000704, 0.00000000, 2736.23, 384, 1.00, 0.96, 0.99, 1.90, 0.00000000
